Station Name;Reference Station;Longitude;Latitude;Timezone;Hmin (High Tide Time Add);Hmpy (High Tide Level Multiply);Hoff (High Tide Level Add);Lmin (Low Tide Time Add);Lmpy (Low Tide Level Multiply);Loff (Low Tide Level Add);HW1_Zeit;HW1_Stand;HW2_Zeit;HW2_Stand;NW1_Zeit;NW1_Stand;NW2_Zeit;NW2_Stand
La Paz;La Paz, Baja California Sur, Mexico;-110,3;24,15;-7:0;0;1;0;0;1;0;05:31;0,90;19:36;0,55;13:07;0,10;23:25;0,46
San Felipe;Puerto Penasco, Sonora, Mexico;-111;31,3;-8:0;-60;1;0;-60;1;0;09:50;3,02;22:49;3,59;04:08;1,27;16:09;0,43
Isla Guadalupe;Isla Guadalupe, Baja California Norte, Mexico;-116,2833;28,8667;-8:0;0;1;0;0;1;0;05:14;1,31;18:25;0,80;12:24;0,17;23:09;0,47
Sooke, Vancouver Isl;Victoria, British Columbia;-123,7333;48,3667;-8:0;-11;1;0,8;-33;1;0,5;10:10;3,56;;;18:13;1,63;;
Esquimalt, Vancouver Isl;Victoria, British Columbia;-123,4333;48,4333;-8:0;12;1;0;17;1;-0,1;10:33;2,76;;;19:03;1,03;;
Victoria, Vancouver Isl;Victoria, British Columbia;-123,3833;48,4333;-8:0;0;1;0;0;1;0;10:21;2,76;;;18:46;1,13;;
Ola Anchorage, Tauiskaya Bay;Simonoseki Sanbasi, Yamaguti, Japan;151,2667;59,5667;11:0;12;1;3,7;24;1;2,2;04:33;5,31;16:54;5,41;10:50;3,04;23:41;2,85
Nagaeva Bay, Tauiskaya Bay;Simonoseki Sanbasi, Yamaguti, Japan;150,6833;59,5167;11:0;-9;1,61;2,3;-18;1,61;2,3;04:12;4,89;16:33;5,05;10:08;3,65;22:59;3,35
Okhotsk;Simonoseki Sanbasi, Yamaguti, Japan;143,1667;59,35;10:0;182;1;3,7;175;1;2,2;07:23;5,31;19:44;5,41;13:21;3,04;02:12;2,85
Ayan Bay;Brisbane Bar, Australia;138,15;56,45;10:0;213;1;2,2;205;1;1,3;08:57;3,79;20:56;3,79;14:50;1,89;03:14;1,55
Udskaya Bay;Brisbane Bar, Australia;135,3;54,7;10:0;428;1;2,7;419;1;1;12:32;4,29;00:31;4,29;18:24;1,59;06:48;1,25
Levyazhya Bay, Feklistov Isl;Brisbane Bar, Australia;136,7667;54,9;10:0;397;2,5;0,7;389;2,5;0,7;12:01;4,67;00:00;4,67;17:54;2,17;06:18;1,32
Abrek Bay, Little Shantar Isl;Brisbane Bar, Australia;137,6167;54,4;10:0;410;2,12;0,2;402;2,12;0,2;12:14;3,57;00:13;3,57;18:07;1,45;06:31;0,73
Rausu Hakuchi;Kamaisi, Iwate, Japan;145,2;44,0167;9:0;-47;0,65;0,4;-47;0,65;0,4;09:56;1,20;;;03:25;0,87;17:29;0,77
Nemuro Ko;Kamaisi, Iwate, Japan;145,5833;43,3333;9:0;-32;1;0,1;-34;1;0;10:11;1,33;;;03:38;0,73;17:42;0,57
Hanasaki;Kamaisi, Iwate, Japan;145,5833;43,2833;9:0;-7;1;-0,3;-5;1;-0,1;10:36;0,93;;;04:07;0,63;18:11;0,47
Ochiishi Wan;Kamaisi, Iwate, Japan;145,5167;43,1667;9:0;-22;1;-0,1;-25;1;0;10:21;1,13;;;03:47;0,73;17:51;0,57
Kiritappu Jima, Hamanaka Wan;Kamaisi, Iwate, Japan;145,1667;43,0667;9:0;-28;1;-0,2;-30;1;-0,1;10:15;1,03;;;03:42;0,63;17:46;0,47
Akkeshi Wan;Kamaisi, Iwate, Japan;144,85;43,0333;9:0;-23;1;-0,2;-25;1;-0,2;10:20;1,03;;;03:47;0,53;17:51;0,37
Kushiro Ko;Kamaisi, Iwate, Japan;144,3667;42,9667;9:0;-8;1;0;-15;1;0;10:35;1,23;;;03:57;0,73;18:01;0,57
Rubeshibetsu Saki;Kamaisi, Iwate, Japan;143,3333;42,2;9:0;-26;1;-0,2;-28;1;-0,1;10:17;1,03;;;03:44;0,63;17:48;0,47
Utaro;Kamaisi, Iwate, Japan;143,2;41,9667;9:0;-16;1;0;-18;1;-0,1;10:27;1,23;;;03:54;0,63;17:58;0,47
Muroran Ko;Kamaisi, Iwate, Japan;140,9667;42,3167;9:0;-29;1;0,6;-19;1;0,3;10:14;1,83;;;03:53;1,03;17:57;0,87
Usu Wan, Iburi Wan;Kamaisi, Iwate, Japan;140,7667;42,5167;9:0;-14;1;0,3;-16;1;0;10:29;1,53;;;03:56;0,73;18:00;0,57
Mori Ko, Iburi Wan;Kamaisi, Iwate, Japan;140,6;42,1167;9:0;-19;1;0;-21;1;-0,1;10:24;1,23;;;03:51;0,63;17:55;0,47
Usujiri Wan;Kamaisi, Iwate, Japan;140,95;41,9333;9:0;-15;1;-0,2;-17;1;-0,1;10:28;1,03;;;03:55;0,63;17:59;0,47
Shiokubi Saki;Kamaisi, Iwate, Japan;140,9667;41,7167;9:0;16;1;0;14;1;0;10:59;1,23;;;04:26;0,73;18:30;0,57
Hakodate Ko;Kamaisi, Iwate, Japan;140,7167;41,7833;9:0;0;0,74;-0,2;10;0,74;-0,2;10:43;0,71;;;04:22;0,34;18:26;0,22
Wakimoto;Kamaisi, Iwate, Japan;140,4333;41,5667;9:0;9;0,65;-0,1;7;0,65;-0,1;10:52;0,70;;;04:19;0,37;18:23;0,27
Yoshioka;Kamaisi, Iwate, Japan;140,2333;41,45;9:0;38;0,48;-0,1;35;0,48;-0,1;11:21;0,49;;;04:47;0,25;18:51;0,17
Tappi Saki;Naha, Okinawa, Japan;140,35;41,25;9:0;-233;0,24;0,2;-233;0,24;0,2;23:08;0,52;11:15;0,59;04:49;0,39;18:09;0,34
Mimmaya, Mimaya Wan;Naha, Okinawa, Japan;140,4333;41,2;9:0;-247;0,24;0;-248;0,24;0;22:54;0,32;11:01;0,39;04:34;0,19;17:54;0,14
Aomori Ko, Mutsu Kaiwan;Naha, Okinawa, Japan;140,7333;40,8333;9:0;-251;0,34;0;-252;0,34;0;22:50;0,46;10:57;0,55;04:30;0,27;17:50;0,19
Shiranai Wan, Mutsu Kaiwan;Naha, Okinawa, Japan;140,9667;40,95;9:0;-249;0,32;0;-250;0,32;0;22:52;0,43;10:59;0,52;04:32;0,25;17:52;0,18
Ominato Ko, Mutsu Kaiwan;Naha, Okinawa, Japan;141,15;41,25;9:0;-252;0,32;0;-229;0,28;0;22:49;0,43;10:56;0,52;04:53;0,22;18:13;0,16
Oma;Naha, Okinawa, Japan;140,9;41,5333;9:0;-249;0,37;0;-250;0,37;0;22:52;0,50;10:59;0,60;04:32;0,29;17:52;0,21
Ohata;Naha, Okinawa, Japan;141,1667;41,4;9:0;-251;0,49;0,4;-252;0,49;0,4;22:50;1,06;10:57;1,19;04:30;0,79;17:50;0,68
Shiriya;Kamaisi, Iwate, Japan;141,45;41,4;9:0;-12;1;0,4;-15;1;0,2;10:31;1,63;;;03:57;0,93;18:01;0,77
Tomari;Kamaisi, Iwate, Japan;141,4;41,0833;9:0;-10;1;0,1;-13;1;-0,1;10:33;1,33;;;03:59;0,63;18:03;0,47
Hachinohe Ko;Kamaisi, Iwate, Japan;141,55;40,5333;9:0;-16;1;-0,2;-15;1;-0,1;10:27;1,03;;;03:57;0,63;18:01;0,47
Kuji Wan;Kamaisi, Iwate, Japan;141,8167;40,1833;9:0;-10;1;0,1;-13;1;0;10:33;1,33;;;03:59;0,73;18:03;0,57
Miyako Ko;Kamaisi, Iwate, Japan;141,9667;39,6333;9:0;0;1;-0,2;6;1;-0,1;10:43;1,03;;;04:18;0,63;18:22;0,47
Yamado Ko;Kamaisi, Iwate, Japan;141,9667;39,4667;9:0;-9;1;-0,1;-11;1;-0,1;10:34;1,13;;;04:01;0,63;18:05;0,47
Kesennuma Wan;Kamaisi, Iwate, Japan;141,6167;38,8833;9:0;2;1;-0,1;0;1;-0,1;10:45;1,13;;;04:12;0,63;18:16;0,47
Oginohama Ko;Kamaisi, Iwate, Japan;141,4333;38,3833;9:0;8;1;0,4;6;1;0,1;10:51;1,63;;;04:18;0,83;18:22;0,67
Same Ura, Nobiru Wan;Kamaisi, Iwate, Japan;141,1667;38,35;9:0;14;1;0,2;12;1;0,1;10:57;1,43;;;04:24;0,83;18:28;0,67
Hirakata Wan;Kamaisi, Iwate, Japan;140,8;36,85;9:0;11;1;-0,1;8;1;-0,1;10:54;1,13;;;04:20;0,63;18:24;0,47
Choshi Ko (Inside);Kamaisi, Iwate, Japan;140,8333;35,7333;9:0;48;0,65;0;45;0,65;0;11:31;0,80;;;04:57;0,47;19:01;0,37
