fingerprint,file,name,lat,lon,n_identical
cefcf4e0813beaa2ac8aad0c08bbcd6f,harmonics/att/harmonics_att_np203_secondary.txt,"Berenice Troglodytica (Baranis), Egypt",23.9385,35.4904,2
cefcf4e0813beaa2ac8aad0c08bbcd6f,harmonics/att/harmonics_att_np203_secondary.txt,"Jazirat an Nu'man, Saudi Arabia",27.1074,35.7563,2
674cb6e77cf35fa730c37422b68d1dc7,harmonics/att/harmonics_att_np208_secondary.txt,"Porto Moniz, Madeira, Portugal",32.8664,-17.1654,2
674cb6e77cf35fa730c37422b68d1dc7,harmonics/att/harmonics_att_np208_secondary.txt,"Porto da Cruz, Madeira, Portugal",32.7753,-16.8265,2
7fca8d806f22f85956cd46557718cf3a,harmonics/att/harmonics_att_np208_secondary.txt,"Horta (Faial), Açores, Portugal",38.5339,-28.6214,2
7fca8d806f22f85956cd46557718cf3a,harmonics/att/harmonics_att_np208_secondary.txt,"Angra do Heroísmo (Terceira), Açores, Portugal",38.6515,-27.2155,2
d6bb2a291f3a7edf3e46956c0b90f93a,harmonics/att/harmonics_att_np208_secondary.txt,"Benguela, Angola",-12.567,13.4,2
d6bb2a291f3a7edf3e46956c0b90f93a,harmonics/att/harmonics_att_np208_secondary.txt,"Baía dos Tigres, Angola",-16.599,11.7238,2
ddd692b56664418e57e9d9bde64fd55b,harmonics/att/harmonics_att_np208_secondary.txt,"Mehdya, Morocco",34.2667,-6.6667,2
ddd692b56664418e57e9d9bde64fd55b,harmonics/att/harmonics_att_np208_secondary.txt,"Souira Guedima, Morocco",32.0489,-9.3415,2
6e720938a16d22e48c6c299c6c7dafe9,harmonics/classic/harmonics-2004-06-14_mod.txt,"Neville Island, Labrador, Canada",52.55116,-56.111893,2
6e720938a16d22e48c6c299c6c7dafe9,harmonics/classic/harmonics-2004-06-14_mod.txt,"Port Hope Simpson, Labrador, Canada",52.54908,-56.296152,2
7cfb59cf7798e08b604d1c452e74cb4e,harmonics/classic/harmonics-2004-06-14_mod.txt,"St. Marks River Entrance, Florida",30.0783,-84.1783,2
7cfb59cf7798e08b604d1c452e74cb4e,harmonics/classic/harmonics-2004-06-14_mod.txt,"St. Marks River Entrance, Florida (2) (expired 1995-12-31)",30.0783,-84.1783,2
23425e30f8cee794205cb1402001dc51,harmonics/noaa/harmonics_noaa_amtt.txt,"Bahía Wood, Chile",-53.8167,-71.6333,2
23425e30f8cee794205cb1402001dc51,harmonics/noaa/harmonics_noaa_amtt.txt,"Puerto Gallant, Chile",-53.7,-72.0,2
3bfe1938198a57eef87f1fa135269c08,harmonics/noaa/harmonics_noaa_amtt.txt,"Cobija, Chile",-22.5667,-70.3,2
3bfe1938198a57eef87f1fa135269c08,harmonics/noaa/harmonics_noaa_amtt.txt,"Tocopilla, Chile",-22.1,-70.2333,2
57a6e695327d5df0ef80caec47a27c7c,harmonics/noaa/harmonics_noaa_amtt.txt,"Puerto de San Jose, Guatemala",13.9167,-90.8333,2
57a6e695327d5df0ef80caec47a27c7c,harmonics/noaa/harmonics_noaa_amtt.txt,"Champerico, Guatemala",14.3,-91.9333,2
6191b8676818e8bfb166d037e8f86ac9,harmonics/noaa/harmonics_noaa_amtt.txt,"Zapallar, Chile",-32.5333,-71.4833,2
6191b8676818e8bfb166d037e8f86ac9,harmonics/noaa/harmonics_noaa_amtt.txt,"Papudo, Chile",-32.5,-71.4667,2
69ef905e6fa88dc4ef073b63df94b362,harmonics/noaa/harmonics_noaa_amtt.txt,"Atkinson Point, Burrard Inlet, British Columbia, Canada",49.3167,-123.25,1
84ffb41c54e9bee0f39d23ca7f143bb4,harmonics/noaa/harmonics_noaa_amtt.txt,"Taltal, Chile",-25.4167,-70.4833,2
