# NP203 Ausgabe 2002, Part II -- Sekundaerhaefen des suedchinesischen/indonesischen
# Gebiets, die in Part III KEINE eigenen harmonischen Konstanten haben und
# deshalb per Transfer vom Bezugshafen abgeleitet werden muessen.
# Quelle: tide_tables/att/np203_2002_vollband.pdf, PDF-Seite = Buchseite - 164.
# Visuell von den Scanseiten gelesen; die OCR (tide_tables/yemen/ocr/part2_full.txt)
# ist in diesem Bereich unbrauchbar und dient nur als Suchraster.
#
# Zwei Differenztypen, je nach Gebiet -- steht in Spalte "typ":
#   S = semidiurn:  Zeiten MHW/MLW,  Hoehen MHWS MHWN MLWN MLWS
#   M = gemischt:   Zeiten MHW/LLW,  Hoehen MHHW MLHW MHLW MLLW
#                   (so gedruckt im Sungai-Sarawak- und Mekong-Gebiet)
#   D = diurn:      Zeiten HHW/LLW,  Hoehen MHHW MLHW MHLW MLLW
# "-" = im Buch ein Kreis (No data) -> Wert fehlt, nicht transferierbar.
# "~" = im Buch ein Dreieck ("Tide is usually diurnal") -> Groesse ist dort
#       nicht anwendbar, NICHT fehlend; MHHW/MLLW sind gedruckt und die
#       Station ist mit diurnaler Behandlung sehr wohl transferierbar.
#
# Spalten:
# att  name  ref_att  zone  typ  lat_g lat_m NS  lon_g lon_m EW  dt1 dt2  dh1 dh2 dh3 dh4  ml_z0  flags
#
# flags: x = ML inferred, * = see notes on page 310, B/I/U = Vorhersage in
#        Bangladesh/Indian/United States Tide Tables, t/d = wie im Buch.

# --- PDF 117 (Buch 281), Bangladesh, Zone -0600, Bezug 4496 Pussur River Entrance (Hiran Point)
5007	Basco	5032	-0800	S	20	27	N	121	58	E	+0005	+0005	-0.7	-0.6	-0.6	0.0	0.40	Pa

# --- PDF 129 (Buch 293): 16 Eintraege, alle mit eigenen Konstanten. Keine Transfers.
#     (OCR meldete hier 5044 und 5197 -- beide stehen nicht auf der Seite.)

# --- PDF 130 (Buch 294), Sulu-Archipel, Zone -0800
# 5088 Port Siasi: Zeitdifferenzen im Buch "No data" -> ohne Phasenbezug nicht
#      transferierbar; Hoehen trotzdem festgehalten.
5088	Port Siasi	4987	-0800	D	5	33	N	120	49	E	-	-	+0.2	+0.1	-0.2	+0.1	0.5	x

# --- PDF 131 (Buch 295), Sabah, Zone -0800
5111	Tambisan Island	5147	-0800	D	5	27	N	119	07	E	-0135	-0110	-0.2	~	~	-0.2	0.9	x
5113	Kinabatangan	5115	-0800	D	5	42	N	118	34	E	-0048	-0040	-0.4	-0.3	0.0	0.0	0.9	x

# --- PDF 132 (Buch 296), Sarawak/Brunei, Zone -0800
# OFFEN: Bezugshafen 5172 Sungai Sarawak (Pulau Lakei) ist im Buch mit der
# gemischten Zeitbeschriftung "MHW / LLW" gedruckt (bei 400 dpi geprueft),
# waehrend die Hoehenspalten der Seite MHHW/MLHW/MHLW/MLLW sind. Weder rein
# semidiurn noch rein diurn -> hier als Typ "M" gefuehrt; die Transferrechnung
# braucht dafuer eine Festlegung, bevor 5155b/5156a/5156b/5156c gerechnet werden.
# Die OCR hatte hier 5156c uebersehen und dafuer 5161/5163b erfunden.
5139b	Pasar Lawas	5137	-0800	D	4	52	N	115	24	E	+0023	+0023	+0.1	+0.2	+0.3	-0.1	1.54	M
5155b	Tanjung Sidau	5172	-0800	M	2	26	N	111	35	E	+0135	+0130	-0.7	-0.7	-0.4	-0.2	2.62	*
5156a	Tanjung Bekakong	5172	-0800	M	2	22	N	111	23	E	+0044	+0044	-0.8	-0.8	-0.3	-0.2	2.59	*
5156b	Kampung Sepenah	5172	-0800	M	2	21	N	111	30	E	+0120	+0122	-1.1	-1.1	-0.5	-0.2	2.41	*
5156c	Tanjung Kamis	5172	-0800	M	2	21	N	111	36	E	+0153	+0156	-0.7	-0.9	-0.4	-0.2	2.61	*

# --- PDF 133 (Buch 297), Sungai Sarawak / Kalimantan, Zone -0800
# Die Kopfzeile DIESER Seite traegt selbst "MHW / LLW" ueber MHHW/MLHW/MHLW/MLLW.
# Die gemischte Beschriftung ist also die Konvention des Gebiets, kein Druckfehler.
5167	Kuala Sadong	5172	-0800	M	1	33	N	110	46	E	+0030	+0110	+0.1	+0.2	-0.1	0.0	3.20	d
5168	Sungai Ensengie	5172	-0800	M	1	25	N	110	39	E	+0100	+0240	+0.7	+0.8	-0.1	0.0	3.54	*d
5169	Simunjan	5172	-0800	M	1	24	N	110	45	E	+0125	+0330	+0.9	+0.9	-0.3	0.0	3.54	*d
5170a	Ulu Kuap	5172	-0800	M	1	28	N	110	22	E	+0041	+0023	+0.5	+0.5	+0.5	+0.6	3.67	-

# --- PDF 134-142 (Buch 298-306): Kalimantan, Sulawesi, Jawa, Bali, Molukken,
#     Irian Jaya. 26/28/32/25/25/21/25/26/34 Eintraege, alle mit eigenen
#     Konstanten in Part III. Keine Transfers.
#     (OCR meldete hier 5495 auf fuenf Seiten, 5443s und 5528q -- nichts davon
#     steht im Buch.)

# --- PDF 143 (Buch 307), Thailand
# 6878 Hua Hin ist im Buch mit "p" markiert (use harmonic constants, see Part III),
# steht aber in Part III NICHT: die Nummernspalte springt 6876 -> 6880. Toter
# Verweis der Ausgabe 2002, keine Transkriptionsluecke. Nicht darstellbar.

# --- PDF 144 (Buch 308), Kambodscha/Vietnam/Mekong-Delta, Zone -0700
# Kopfzeile der Seite: "MHW / LLW" ueber MHHW/MLHW/MHLW/MLLW -> Typ M (wie Sarawak).
# Der Mekong ist fast durchweg ohne Hoehendifferenzen gedruckt: von 24 Kandidaten
# haben nur 6934 und 6943 vier Hoehen UND ML. Der Rest ist nicht transferierbar
# und steht hier nur als Beleg, dass er geprueft und nicht vergessen wurde.
6909	Hon Rai	5147	-0700	M	9	48	N	104	38	E	-0725	-	-0.4	~	~	-0.1	0.8	tx
6913	Cua Song Bai Hap (off)	5147	-0700	M	8	39	N	104	45	E	-0925	-	-0.4	~	~	-0.4	0.8	tx
6917	Cua Batak	6938	-0700	M	9	28	N	106	13	E	+0115	+0145	+1.0	-	-	+0.1	2.93	d
6918	Mak Bat	6938	-0700	M	9	43	N	106	09	E	+0130	+0235	+0.4	-	-	-	-	*
6919	Cantho	6938	-0700	M	10	02	N	105	47	E	+0330	+0450	+1.0	-	-	-	3.5	*x
6920	Cho Long xuyen	6938	-0700	M	10	24	N	105	26	E	+0510	+0645	-0.7	-	-	-	-	*
6921	Chaudoc	6938	-0700	M	10	43	N	105	07	E	+0740	+0915	-	-	-	-	-	*
6926	Song Cua Tieu	6938	-0700	M	10	15	N	106	47	E	+0010	+0035	+0.2	-	-	0.0	-	-
6927	Mytho	6938	-0700	M	10	22	N	106	21	E	+0130	+0255	-0.3	-	-	-	-	*
6928	Caibe	6938	-0700	M	10	20	N	106	02	E	+0240	+0415	-0.6	-	-	-	-	*
6929	Culao Mi Xuong	6938	-0700	M	10	24	N	105	41	E	+0450	+0605	-	-	-	-	-	*
6930	Bouthan	6938	-0700	M	10	48	N	105	21	E	+0540	+0825	-	-	-	-	-	*
6931	Pnom Penh	6938	-0700	M	11	34	N	104	56	E	+0930	+1215	-	-	-	-	-	*
6933	Kompon-Luom	6938	-0700	M	11	50	N	104	48	E	+1040	+1325	-	-	-	-	-	*
6934	Cua Soirap	6938	-0700	M	10	23	N	106	48	E	+0028	+0125	0.0	0.0	0.0	0.0	2.4	x
6935	Song Vam Co Entrance	6938	-0700	M	10	30	N	106	44	E	+0040	-	0.0	-	-	-	-	-
6936	Rach-la Entrance	6938	-0700	M	10	26	N	106	35	E	+0110	+0145	0.0	-	-	-	-	-
6940	Les Quatre Bras	6938	-0700	M	10	32	N	106	55	E	+0006	+0018	+0.3	-	-	-0.1	-	*
6941	Banc de Corail	6938	-0700	M	10	37	N	106	51	E	+0051	+0123	+0.4	-	-	+0.5	-	*
6942	Pointe du Lazaret	6938	-0700	M	10	40	N	106	46	E	+0129	+0233	+0.3	-	-	+0.3	-	*
6943	Ho Chi Minh City (Sai Gon)	6938	-0700	M	10	46	N	106	42	E	+0430	+0430	-0.2	-0.1	-0.5	-0.2	2.3	*x
6944	Thu Dau Mot	6938	-0700	M	10	59	N	106	39	E	+0410	+0445	-0.4	-	-	-	-	*
6945	Bien Hoa	6938	-0700	M	10	56	N	106	49	E	+0340	+0435	-0.5	-	-	-	-	*
6946	Tan Huyen	6938	-0700	M	11	04	N	106	48	E	+0455	-	-	-	-	-	-	-

# --- PDF 145 (Buch 309), Vietnam/China, Zone -0700 (7050 China: -0800), Typ D
# 6979 Dong Hoi: zweiter toter "p"-Verweis -- Part III springt 6976 -> 6980.
# Hoehen sind gedruckt, Zeiten nicht; ohne Phasenbezug nicht transferierbar.
6979	Dong Hoi	5137	-0700	D	17	30	N	106	36	E	-	-	-1.3	-0.8	-0.8	-0.6	0.6	x
7000	Cua Nam Trieu	6996	-0700	D	20	46	N	106	50	E	-0024	-0024	-0.2	~	~	+0.2	1.8	x
7002	Xuy Nong Chao	6996	-0700	D	20	38	N	107	07	E	-0012	-0012	-0.2	~	~	+0.3	1.9	x
