band,no,name,ref,ref_druck,faktor,passt_zu,passt_km
cptt,1309,Jimu Dao (Gaojiao) [Mu-chi-tao Chiao],Dalian,,1.26,"QINGDAO (DA GANG) [Chingtao, Kaochou Wan]",178
cptt,1453,Ting-t'ou-o-shan,Hong Kong,,1.31,"SHANTOU (MAYU) [Swatow, Double Island]",340
cptt,1521,Wen Wei Rock,Hong Kong,,0.76,,
cptt,1575,Lochuc San {,Do Son,Paramushiru Island,1.62,,
cptt,1577,"Cu Xu, Kao Tao {",Do Son,Paramushiru Island,1.63,,
cptt,1579,Tsieng Mun {,Do Son,Paramushiru Island,1.63,,
cptt,1763,"Bojan, Bulan Strait",Kamaisi,,1.45,,
cptt,1765,"Oeban Point, Bintan Island",Kamaisi,,1.71,,
cptt,1767,"Tandjungpinang, Bintan Island",Kamaisi,,1.29,,
cptt,1769,"Dendang, Kidjang Strait",Kamaisi,,1.27,,
cptt,1773,"Pulo Beralas, Berhala Strait",Mui Vung Tau,,1.46,,
cptt,1775,"Kwala Ladjau, Indragiri River",Mui Vung Tau,,1.42,,
cptt,1777,"Tembilahan, Indragiri River",Mui Vung Tau,,1.31,,
cptt,1779,Kwala Niur,Mui Vung Tau,,1.45,,
cptt,1815,Tulangbawang River entrance {,Surabaja Strait,,1.29,,
cptt,1857,Tapaktuan,Kutei River Ent.,,1.5,,
cptt,1865,Pulau Rusa,Kutei River Ent.,,1.35,,
cptt,1881,"Surabaja, Surabaja Strait",Hong Kong,,1.61,BARITO RIVER (outer bar) },450
cptt,1883,"Surabaja Strait, east entrance",Hong Kong,,1.47,BARITO RIVER (outer bar) },455
cptt,1885,"Pasuruan, Madura Strait",Hong Kong,,1.46,BARITO RIVER (outer bar) },484
cptt,1887,"Gading, Madura Island",Hong Kong,,1.49,BARITO RIVER (outer bar) },440
cptt,1889,"Kalianget, Madura Island",Hong Kong,,1.65,,
cptt,1903,"Labuhan, Sunda Strait",Belawan Channel,,1.28,,
cptt,1963,Lingkobu,Shantou,,0.77,,
cptt,2043,"Pamangkat, Sambas-besar River",Cebu,,0.64,,
cptt,2045,Tandjung Datu,Darwin,,1.3,,
cptt,2071,Tigabu Island,Cebu,,0.58,"JOLO, Jolo Island }",399
cptt,2073,Lankayan Island,Cebu,,0.61,,
cptt,2075,Sandakan,Cebu,,0.61,,
cptt,2191,Tandag,Legaspi Port,,1.5,,
cptt,2921,Akaroa,Auckland,,1.48,,
cptt,2923,Timaru,Auckland,,0.77,,
cptt,2925,Oamaru,Auckland,,0.67,,
cptt,2927,Otago Harbor entrance,Auckland,,1.4,,
cptt,2929,"Port Chalmers, Otago Harbor",Auckland,,1.4,,
cptt,3097,"Auki Harbor, Malaita Island",Cebu,,0.65,,
cptt,3123,Blakeney Island {,Dreger Harbor,,1.37,,
cptt,3285,Rabbit Island,Port Phillip,,1.36,,
cptt,3287,"Winter Cove, Kent Islands",Port Phillip,,1.41,,
cptt,3289,Great Glennie Island,Port Phillip,,1.41,,
cptt,3311,Kingston,Port Adelaide,,0.72,PORT PHILLIP (Point Lonsdale),451
cptt,3339,"Albany, Princess Royal Harbor }",Djakarta,,1.29,,
cptt,3341,Bunbury Harbor {,Djakarta,,1.36,,
cptt,3343,"Fremantle, Swan River entrance }",Djakarta,,1.3,,
cptt,3345,Champion Bay },Djakarta,,1.33,,
cptt,3397,Macquarie Island,Apia,,0.79,,
cptt,3449,Chaungtha River entrance,Sagar,,1.28,"RANGOON, Rangoon River",186
cptt,3451,Andrew Bay,Sagar,,1.32,"RANGOON, Rangoon River",261
cptt,3455,"Kyaukpyu, Ramree Island",Sagar,,1.37,"RANGOON, Rangoon River",405
cptt,3457,Sittwe,Sagar,,1.52,"RANGOON, Rangoon River",509
cptt,3465,Kutubdia Island,Sagar,,1.53,,
cptt,3467,Chittagong,Sagar,,1.62,,
cptt,3495,Negapatam,Madras,,1.42,,
cptt,3533,Rajapur River entrance,Bombay,,0.75,,
cptt,3573,"Kardamum Island, Laccadive Islands",Colombo,,3.38,,
cptt,3575,"Cherbaniani Reef, Laccadive Islands",Colombo,,3.49,,
cptt,3587,Ghizri Creek,Karachi,Colombo,0.15,,
cptt,3621,"Bushahr, Persian Gulf",Hong Kong,,1.53,"MINA SALMAN, Bahrain Island",309
cptt,3715,Jazirat Yas {,Surabaja Strait,,1.41,"MINA SALMAN, Bahrain Island",296
cptt,3717,Jazirat Das {,Surabaja Strait,,1.39,"MINA SALMAN, Bahrain Island",258
cptt,3799,Ras Gharib,Suez,,1.32,,
cptt,3801,Ashrafi Island,Suez,,0.7,,
cptt,3835,Giuba River,Dar Es Salaam,,0.78,,
cptt,3857,Lindi River,Dar Es Salaam,,0.79,,
cptt,3945,"Port Refuge, Cocos Islands",Dar Es Salaam,,0.57,,
cptt,3947,Christmas Island,Dar Es Salaam,,0.58,,
cptt,3949,Amsterdam Island,Durban,,1.44,,
cptt,3997,Puerto Soberania,Yokohama,,1.42,,
ectt,115,"Cape Dyer, Baffin Island",Pictou,,4.77,,
ectt,119,Frobisher Bay,Pictou,,4.26,,
ectt,121,"Pikyulik Island, Payne River",Pictou,,5.76,,
ectt,127,"Ashe Inlet, Big Island",Pictou,,4.38,,
ectt,141,"Moosonee, James Bay",Quebec,,0.29,,
ectt,143,"Moose Factory, James Bay",Quebec,,0.29,,
ectt,145,"Charlton Island, James Bay",Quebec,,0.43,,
ectt,149,"Port de Boucherville, Nottingham Island",Quebec,,3.15,,
ectt,151,Wakeham Bay,Quebec,,1.64,,
ectt,153,Stupart Bay,Quebec,,1.63,,
ectt,155,Diana Bay,Quebec,,1.53,,
ectt,161,"Leaf Lake, Ungava Bay",Quebec,,1.52,,
ectt,165,"Port Burwell, Ungava Bay",Quebec,,1.88,,
ectt,167,Button Islands,Quebec,,2.58,,
ectt,169,Williams Harbour,Quebec,,1.6,,
ectt,213,Pistolet Bay,Halifax,,1.45,,
ectt,219,"Sops Island, White Bay",Halifax,,1.45,,
ectt,225,Valleyfield,Halifax,,1.28,,
ectt,229,"Random Head Harbour, Trinity Bay",Halifax,,1.35,,
ectt,231,"Harbour Grace, Conception Bay",Halifax,,1.41,,
ectt,233,St. John's,Halifax,,1.31,,
ectt,283,St. Barbe Bay,Harrington Harbour,,1.3,ARGENTIA,478
ectt,375,Point St. Peter,Pictou,,1.31,HALIFAX,443
ectt,395,Tracadie,Pictou,,1.53,,
ectt,453,Cheticamp,Pictou,,0.67,,
ectt,4769,Cabo San Antonio,San Juan,,0.22,,
ectt,4829,"Punta Mulas, Isla de Vieques",San Juan,,0.29,,
ectt,4831,Roosevelt Roads,San Juan,,0.27,,
ectt,4833,"Ensenada Honda, Culebra Island",San Juan,,0.27,,
ectt,4837,Playa de Fajardo,San Juan,,0.28,,
ectt,4843,Puerto Real,San Juan,,0.29,,
ectt,4913,"Bahia de Tablazos, Lake Maracaibo",Isla Zapara,,1.63,,
ectt,4915,Punta de Palmas,Isla Zapara,,1.43,,
ectt,5131,Bahia San Blas,Puerto Ingeniero White,,1.3,COMODORO RIVADAVIA,728
ectt,5219,Royal Bay (Moltke Harbor),Pictou,,2.17,,
eutt,35,"Porto Moniz, Madeira Island",Casablanca,,1.28,,
eutt,37,"Porto da Cruz, Madeira Island",Casablanca,,1.34,,
eutt,211,Upper Buchanan,Cape Town,,1.41,,
eutt,213,Junk River entrance,Cape Town,,1.41,,
eutt,215,"Marshall, Junk River",Cape Town,,1.29,,
eutt,217,"Harbel, Farmington River",Cape Town,,1.32,,
eutt,221,Cape Mount Bay,Cape Town,,1.58,,
eutt,223,Kerefe River,Casablanca,,1.36,,
eutt,261,Biombo,Casablanca,,1.72,,
eutt,265,Porto do Cacheu,Casablanca,,1.42,,
eutt,329,"Ceuta, Strait of Gibraltar",Gibraltar,,0.78,,
eutt,359,Tripoli (Tarabulus),Gibraltar,,0.31,,
eutt,365,Port Said,Gibraltar,,0.33,,
eutt,375,"Famagusta, Cyprus",Gibraltar,,0.75,,
eutt,385,Bar,Gibraltar,,0.46,,
eutt,387,Dubrovnik (Ragusa),Gibraltar,,1.42,,
