tafel,satz,datei,km,tafel_test_cm,tafel_dt_min,reihe,reihe_km,echt_cm,echt_versatz_min,eigen,nachbar_pct,empfehlung
Milford Haven,"Milford Haven, Wales, United Kingdom",harmonics_utide_observations.txt,0.71,9.7,1.4,MHA2309.txt,0.72,4.1,0,ja,,
Sudbrook,NEU tidetimes-Fit,(neu),0.0,52.9,6.1,,,,,,13.5,nicht aufnehmen (Nachbarn)
Sudbrook,"Second Severn Crossing, England, United Kingdom",harmonics_literature.txt,1.6,36.4,7.5,,,,,,,
Sudbrook,"Prince of Wales Bridge, England, United Kingdom",harmonics_ticon4_worldwide.txt,1.53,36.7,10.5,,,,,,,
Sudbrook,"Prince of Wales Bridge, England, United Kingdom",harmonics_utide_observations.txt,1.53,31.8,8.7,,,,,,10.8,
Portishead,NEU tidetimes-Fit,(neu),0.0,36.6,132.2,,,,,,95.4,nicht aufnehmen (Nachbarn)
Portishead,"Avonmouth (Port of Bristol), England, United Kingdom",harmonics_ticon4_worldwide.txt,2.7,24.4,4.4,,,,,,8.8,
Portishead,"Portbury, England, United Kingdom",harmonics_ticon4_worldwide.txt,1.5,25.1,5.1,,,,,,,
Hinkley Point,NEU tidetimes-Fit,(neu),0.0,56.0,4.3,HIN2309.txt,0.18,44.2,0,,8.1,nicht aufnehmen (Bestand aus Messung an diesem Pegel)
Hinkley Point,"Hinkley Point, England, United Kingdom",harmonics_ticon4_worldwide.txt,0.66,24.8,3.9,HIN2309.txt,0.18,14.1,0,,8.9,
Hinkley Point,"Hinkley Point, England, United Kingdom",harmonics_utide_observations.txt,0.66,23.1,2.9,HIN2309.txt,0.18,12.1,0,ja,,
Ilfracombe,NEU tidetimes-Fit,(neu),0.0,40.6,5.0,ILF2309.txt,0.75,35.5,0,,10.3,nicht aufnehmen (Bestand aus Messung an diesem Pegel)
Ilfracombe,"Ilfracombe, England, United Kingdom",harmonics_ticon4_worldwide.txt,0.75,13.8,2.7,ILF2309.txt,0.75,6.8,0,,12.7,
Ilfracombe,"Ilfracombe, England, United Kingdom",harmonics_utide_observations.txt,0.75,14.0,1.4,ILF2309.txt,0.75,5.0,0,ja,,
Port Isaac,NEU tidetimes-Fit,(neu),0.0,30.6,3.6,,,,,,6.9,nicht aufnehmen (unentschieden)
Port Isaac,"Port Isaac, England, United Kingdom",harmonics_ticon4_worldwide.txt,0.65,9.5,7.1,,,,,,8.0,
Port Isaac,"Port Isaac, England, United Kingdom",harmonics_utide_observations.txt,0.65,9.7,6.3,,,,,,,
Soldiers Point,NEU tidetimes-Fit,(neu),0.0,21.9,6.3,,,,,,8.1,nicht aufnehmen (unentschieden)
Soldiers Point,"Dundalk, Ireland",harmonics_ticon4_worldwide.txt,2.45,25.3,6.0,,,,,,7.1,
Soldiers Point,"Dundalk, Ireland",harmonics_utide_tidetables.txt,2.45,26.6,8.6,,,,,,,
Bangor,NEU tidetimes-Fit,(neu),0.0,16.0,3.7,BAN2309.txt,0.28,13.2,0,,5.8,nicht aufnehmen (Bestand aus Messung an diesem Pegel)
Bangor,"Bangor, Northern Ireland, United Kingdom",harmonics_ticon4_worldwide.txt,0.28,5.5,4.1,BAN2309.txt,0.28,3.5,0,,7.1,
Bangor,"Bangor, Northern Ireland, United Kingdom",harmonics_utide_observations.txt,0.28,5.8,2.8,BAN2309.txt,0.28,4.8,0,ja,,
Roonah Quay,NEU tidetimes-Fit,(neu),0.0,18.9,5.1,,,,,,3.1,nicht aufnehmen (unentschieden)
Roonah Quay,"Roonagh Pier, Ireland",harmonics_utide_observations.txt,0.53,11.5,6.8,,,,,,4.6,
Ringaskiddy,NEU tidetimes-Fit,(neu),0.0,18.7,3.1,,,,,,5.3,nicht aufnehmen (unentschieden)
Ringaskiddy,"Cobh, Ireland",harmonics-1997-05-25_mod.txt,2.38,13.4,15.2,,,,,,,
Ringaskiddy,"Ringaskiddy (NMCI), Ireland",harmonics_ticon4_worldwide.txt,0.78,8.9,15.6,,,,,,4.8,
Ringaskiddy,"Cobh, Ireland",harmonics_utide_tidetables.txt,2.38,20.8,14.0,,,,,,,
Rosslare Europort,NEU tidetimes-Fit,(neu),0.0,8.1,8.1,,,,,,26.9,nicht aufnehmen (unentschieden)
Rosslare Europort,"Rosslare, Ireland",harmonics_utide_observations.txt,0.52,6.6,9.8,,,,,,25.5,
Wexford Harbour,NEU tidetimes-Fit,(neu),0.0,5.8,4.2,,,,,,29.5,nicht aufnehmen (Nachbarn)
Wexford Harbour,"Wexford, Ireland",harmonics_ticon4_worldwide.txt,0.83,6.7,9.0,,,,,,,
Wexford Harbour,"Wexford, Ireland",harmonics_utide_observations.txt,0.83,5.7,7.9,,,,,,27.0,
St. Peter Port,NEU tidetimes-Fit,(neu),0.0,35.4,3.3,,,,,,,offen
St. Peter Port,"Saint Peter Port, Guernsey, Channel Islands",harmonics-pierre-lavergne-v10_mod.txt,0.83,18.4,6.5,,,,,,,
St. Peter Port,"Saint Peter Port, Guernsey, Channel Islands",harmonics_noaa_eutt.txt,0.83,33.2,16.3,,,,,,,
St. Peter Port,"Saint Peter Port, Guernsey, Channel Islands",harmonics_utide_tidetables.txt,0.83,16.5,2.6,,,,,,,
St. Helier,NEU tidetimes-Fit,(neu),0.0,39.3,4.7,JER2309.txt,0.0,34.7,0,,2.7,nicht aufnehmen (Bestand aus Messung an diesem Pegel)
St. Helier,"St Helier, Jersey, Channel Islands",harmonics_noaa_eutt.txt,0.0,38.9,17.6,JER2309.txt,0.0,42.1,0,,,
St. Helier,"St Helier, Jersey, Channel Islands",harmonics_ticon4_worldwide.txt,0.0,19.1,3.7,JER2309.txt,0.0,9.9,0,,4.1,
St. Helier,"St Helier, Jersey, Channel Islands",harmonics_utide_observations.txt,0.0,17.0,1.6,JER2309.txt,0.0,6.8,0,ja,,
Portsmouth (High Water Stand),NEU tidetimes-Fit,(neu),0.0,13.2,25.4,PTM2309.txt,1.6,21.8,-10,,6.3,nicht aufnehmen (Bestand aus Messung an diesem Pegel)
Portsmouth (High Water Stand),"Portsmouth, England, United Kingdom",harmonics_ticon4_worldwide.txt,1.65,9.9,32.8,PTM2309.txt,1.6,8.7,0,,8.2,
Portsmouth (High Water Stand),"Portsmouth, England, United Kingdom",harmonics_utide_observations.txt,1.65,7.1,27.0,PTM2309.txt,1.6,5.1,0,ja,,
Rossaveel,NEU tidetimes-Fit,(neu),0.0,19.9,4.7,,,,,,4.9,nicht aufnehmen (unentschieden)
Rossaveel,"Rossaveel Pier, Ireland",harmonics_ticon4_worldwide.txt,0.31,5.0,3.7,,,,,,4.7,
