np203_no,name_alt,lat,lon,kandidat,art,km,schrift,buchhafen,buchhafen_nr,buchhafen_km,name_neu
472a,Singapore Strait (NP203 472a) Current,1.2333,103.8150,Selat Tanjong Hakim,strait,2.86,,"Sembawang Shipyard, Singapore",4725,26.0,
472a,Singapore Strait (NP203 472a) Current,1.2333,103.8150,Keppel Harbour,strait,3.23,,"Sembawang Shipyard, Singapore",4725,26.0,
472b,Singapore Strait (NP203 472b) Current,1.1650,103.8000,Singapore Strait,strait,5.09,,"Sungai Changi, Malaysia",4721,33.1,"Semakau & Sebarok / Pulau Subar (Singapore Strait), Indonesia Current  "
472b,Singapore Strait (NP203 472b) Current,1.1650,103.8000,Selat Biola,strait,6.74,,"Sungai Changi, Malaysia",4721,33.1,
472b,Singapore Strait (NP203 472b) Current,1.1650,103.8000,Main Strait,strait,7.39,,"Sungai Changi, Malaysia",4721,33.1,
472d,Singapore Strait (NP203 472d) Current,1.2500,103.8200,Keppel Harbour,strait,1.36,,"Sembawang Shipyard, Singapore",4725,24.1,"Palawan / Sentosa (Singapore Strait), Singapore Current"
472d,Singapore Strait (NP203 472d) Current,1.2500,103.8200,Selat Sengkir,strait,1.72,,"Sembawang Shipyard, Singapore",4725,24.1,
472d,Singapore Strait (NP203 472d) Current,1.2500,103.8200,Selat Tanjong Hakim,strait,3.71,,"Sembawang Shipyard, Singapore",4725,24.1,
472e,Singapore Strait (NP203 472e) Current,1.2433,103.8500,Cooper Channel,strait,2.17,,"Sungai Changi, Malaysia",4721,22.9,"Pulau Buran / Sentosa (Cooper Channel), Singapore Current"
472e,Singapore Strait (NP203 472e) Current,1.2433,103.8500,Selat Sengkir,strait,2.28,,"Sungai Changi, Malaysia",4721,22.9,
472e,Singapore Strait (NP203 472e) Current,1.2433,103.8500,Selat Tanjong Hakim,strait,2.71,,"Sungai Changi, Malaysia",4721,22.9,
472f,Singapore Strait (NP203 472f) Current,1.2400,103.9167,Cooper Channel,strait,7.88,,"Sungai Changi, Malaysia",4721,19.3,"Southeast of Marina South (Cooper Channel), Singapore Current"
472f,Singapore Strait (NP203 472f) Current,1.2400,103.9167,Selat Tanjong Hakim,strait,8.96,,"Sungai Changi, Malaysia",4721,19.3,
472f,Singapore Strait (NP203 472f) Current,1.2400,103.9167,Selat Sengkir,strait,9.35,,"Sungai Changi, Malaysia",4721,19.3,
473,Singapore Strait E (NP203 473) Current,1.2900,104.1633,Tanjung Kapal,cape,5.86,,"Tanjung Ayam, Malaysia",4736,6.3,"Pengerang Anchorage (Singapore Strait), Malaysia Current"
473,Singapore Strait E (NP203 473) Current,1.2900,104.1633,Teluk Ampang,bay,5.91,,"Tanjung Ayam, Malaysia",4736,6.3,
473,Singapore Strait E (NP203 473) Current,1.2900,104.1633,Tanjung Setapa,cape,6.63,,"Tanjung Ayam, Malaysia",4736,6.3,
473a,Singapore Strait (NP203 473a) Current,1.2150,103.9533,Cooper Channel,strait,11.79,,"Tanjung Pengelih, Malaysia",4735,22.2,"Northwest of Pulau Batam (Singapore Strait), Indonesia Current"
473a,Singapore Strait (NP203 473a) Current,1.2150,103.9533,Selat Tanjong Hakim,strait,12.83,,"Tanjung Pengelih, Malaysia",4735,22.2,
473a,Singapore Strait (NP203 473a) Current,1.2150,103.9533,Selat Sengkir,strait,14.03,,"Tanjung Pengelih, Malaysia",4735,22.2,
473b,Singapore Strait (NP203 473b) Current,1.1950,103.8767,Cooper Channel,strait,4.56,,"Tanjung Pengelih, Malaysia",4735,29.9,"Batu Berhanti Lighthouse (Singapore Strait), Indonesia Current"
473b,Singapore Strait (NP203 473b) Current,1.1950,103.8767,Selat Tanjong Hakim,strait,5.23,,"Tanjung Pengelih, Malaysia",4735,29.9,
473b,Singapore Strait (NP203 473b) Current,1.1950,103.8767,Singapore Strait,strait,7.11,,"Tanjung Pengelih, Malaysia",4735,29.9,
473c,Singapore Strait E (NP203 473c) Current,1.3333,104.3333,Lima Channel,strait,6.22,,"Horsburgh Lighthouse, Malaysia",4738,7.4,"Falloden Hall Shoal (Singapore Strait), Malaysia Current"
473c,Singapore Strait E (NP203 473c) Current,1.3333,104.3333,South Channel,strait,9.33,,"Horsburgh Lighthouse, Malaysia",4738,7.4,
473c,Singapore Strait E (NP203 473c) Current,1.3333,104.3333,Tanjung Penyusuh,cape,6.97,,"Horsburgh Lighthouse, Malaysia",4738,7.4,
473d,Riau Archipelago (NP203 473d) Current,1.0000,104.2000,Tanjung Talu,cape,3.76,,"Tanjung Ayam, Malaysia",4736,37.1,"Tanjung Talu / Ngenang (Riau), Indonesia Current"
473d,Riau Archipelago (NP203 473d) Current,1.0000,104.2000,Tanjung Romin,cape,5.84,,"Tanjung Ayam, Malaysia",4736,37.1,
473d,Riau Archipelago (NP203 473d) Current,1.0000,104.2000,Tanjung Uban,cape,7.62,,"Tanjung Ayam, Malaysia",4736,37.1,
474,Riau Archipelago (NP203 474) Current,0.6167,104.4167,Pulau Korek Busung,island,10.99,,"Tanjungpinang, Indonesia",4741,33.4,"East of Pantai Cakang, Pulau Garang-baru (Riau), Indonesia Current"
474,Riau Archipelago (NP203 474) Current,0.6167,104.4167,Pulau Batubelobang,island,12.54,,"Tanjungpinang, Indonesia",4741,33.4,
474,Riau Archipelago (NP203 474) Current,0.6167,104.4167,Pulau Tadjungdahan,island,13.31,,"Tanjungpinang, Indonesia",4741,33.4,
474a,Riau Archipelago (NP203 474a) Current,0.8000,104.6217,Selat Maralimau,strait,4.41,,"Pelabuhan Kijang, Indonesia",4742,5.6,"Pulau Ngalih / Pulau Kelong (Riau), Indonesia Current"
474a,Riau Archipelago (NP203 474a) Current,0.8000,104.6217,Pulau Mantang,island,8.87,,"Pelabuhan Kijang, Indonesia",4742,5.6,
474a,Riau Archipelago (NP203 474a) Current,0.8000,104.6217,Pulau Malangorang,bare_rock,10.53,,"Pelabuhan Kijang, Indonesia",4742,5.6,
475,Karimata approaches Current,-0.2833,105.1667,,,,,"Tanjung Butun, Indonesia",4751,63.0,"Bulungkor (Pulau Lingga), Indonesia Current"
475a,Berhala Strait (NP203 475a) Current,-0.8667,104.3667,Berhala Strait,strait,5.77,,"Pulau Berhala, Indonesia",4756,3.7,"Pulau Berhala (Berhala Strait), Indonesia Current"
475a,Berhala Strait (NP203 475a) Current,-0.8667,104.3667,Pulau Ujung Batu,islet,6.16,,"Pulau Berhala, Indonesia",4756,3.7,
475a,Berhala Strait (NP203 475a) Current,-0.8667,104.3667,Pulau Lampu,coastline,4.24,,"Pulau Berhala, Indonesia",4756,3.7,
476,Berhala Strait (NP203 476) Current,-0.6667,103.7000,,,,,"Kuala Lajau, Indonesia",4760,34.1,"Northeast of Kuala Tungkal (Berhala Strait), Indonesia Current"
485,Bangka Strait (NP203 485) Current,-1.4000,105.1667,,,,,"Pulau Cebia, Indonesia",4854,24.1,"Pulau Cebia (Bangka Strait), Indonesia Current"
485a,Bangka Strait (NP203 485a) Current,-2.2167,105.2500,Brom-Brom Reef,reef,9.55,,"Tanjung Kelian, Indonesia",4857,21.0,"Southeast of Muntok (Bangka Strait), Indonesia Current"
485b,Gaspar Strait Current,-2.8833,106.0000,Pulau Besar,island,14.81,,"Pulau Besar, Indonesia",4859,14.8,"Pulau Besar (Gaspar Strait), Indonesia Current"
490,E Malaysia coast Current,3.9533,103.4583,Tanjung Gelang,cape,2.28,,"Chendering, Malaysia",4901,149.2,"Tanjung Gelang (Kuantan Port), Malaysia Current"
490,E Malaysia coast Current,3.9533,103.4583,Teluk Pak Long,bay,2.62,,"Chendering, Malaysia",4901,149.2,
490,E Malaysia coast Current,3.9533,103.4583,Teluk Air Tawar,bay,2.69,,"Chendering, Malaysia",4901,149.2,
496,Philippine Islands (NP203 496) Current,10.6833,122.5833,Nabitasan Lake Island,islet,4.04,,"Moalbual, Philippines",4961,122.2,"Iloilo Strait (Iloilo City), Philippines Current"
496,Philippine Islands (NP203 496) Current,10.6833,122.5833,Isla Verde,islet,6.24,,"Moalbual, Philippines",4961,122.2,
496,Philippine Islands (NP203 496) Current,10.6833,122.5833,Guimaras Island,island,11.68,,"Moalbual, Philippines",4961,122.2,
497,Philippine Islands (NP203 497) Current,10.2833,123.9000,Cebu Strait,strait,13.47,,"Nin Bay, Philippines",4970,227.0,"Shell Island (Cebu Strait), Philippines Current"
497,Philippine Islands (NP203 497) Current,10.2833,123.9000,Cansaga Bay,bay,10.80,,"Nin Bay, Philippines",4970,227.0,
497,Philippine Islands (NP203 497) Current,10.2833,123.9000,Magellan Bay,bay,14.13,,"Nin Bay, Philippines",4970,227.0,
503,San Bernardino Strait Current,12.5000,124.1167,Bato Island,island,7.55,,"Biri Island, Philippines",5034,31.9,"San Bernardino Strait (Calintaan, Capul Lighthouse), Philippines Current"
503,San Bernardino Strait Current,12.5000,124.1167,Capul Island,island,9.08,,"Biri Island, Philippines",5034,31.9,
503,San Bernardino Strait Current,12.5000,124.1167,Capul Lighthouse,light_major,3.37,,"Biri Island, Philippines",5034,31.9,
504,Philippine Islands (NP203 504) Current,11.2667,125.0000,San Juanico Strait,strait,10.37,,"Tacloban, Philippines",5043,1.9,"Tacloban / Bintac Point (San Juanico Strait), Philippines Current"
504,Philippine Islands (NP203 504) Current,11.2667,125.0000,Cancabato Bay,bay,4.90,,"Tacloban, Philippines",5043,1.9,
504,Philippine Islands (NP203 504) Current,11.2667,125.0000,Lazaretto Island,island,1.82,,"Tacloban, Philippines",5043,1.9,
504a,Philippine Islands (NP203 504a) Current,11.3667,124.9833,San Juanico Strait,strait,1.81,,"Santa Elena River, Philippines",5042,1.9,"Uban Point (San Juanico Strait), Leyte, Philippines Current"
504a,Philippine Islands (NP203 504a) Current,11.3667,124.9833,Caracapan Islands,island,0.00,,"Santa Elena River, Philippines",5042,1.9,
504a,Philippine Islands (NP203 504a) Current,11.3667,124.9833,Bagalibas Island,island,1.85,,"Santa Elena River, Philippines",5042,1.9,
506,Basilan Strait Current,6.9000,122.0667,Coast Guard Sub-station Rio Hondo,coastguard_station,2.23,,"Zamboanga, Philippines",5068,0.0,"Zamboanga (Basilan Strait), Philippines Current"
506,Basilan Strait Current,6.9000,122.0667,Little Santa Cruz Lighthouse,light_major,3.20,,"Zamboanga, Philippines",5068,0.0,
506,Basilan Strait Current,6.9000,122.0667,Little Santa Cruz Island,coastline,3.15,,"Zamboanga, Philippines",5068,0.0,
511,Off Borneo (NP203 511) Current,5.8317,118.1200,Sandakan Bay,bay,1.26,,"Sandakan, Malaysia",5115,0.4,"Teluk Sandakan, Malaysia Current"
511,Off Borneo (NP203 511) Current,5.8317,118.1200,Berhala Island,island,5.25,,"Sandakan, Malaysia",5115,0.4,
511,Off Borneo (NP203 511) Current,5.8317,118.1200,Berhala Island Lighthouse,light_major,5.32,,"Sandakan, Malaysia",5115,0.4,
514,Off Borneo (NP203 514) Current,5.2517,115.1333,Kuraman Island,island,2.97,,"Muara, Brunei",5143,25.4,"Pulau Kuraman (north), Malaysia Current"
514,Off Borneo (NP203 514) Current,5.2517,115.1333,Labuan Island,island,11.47,,"Muara, Brunei",5143,25.4,
514,Off Borneo (NP203 514) Current,5.2517,115.1333,Trident Shoal,reef,11.13,,"Muara, Brunei",5143,25.4,
514a,Off Borneo (NP203 514a) Current,5.2267,115.1567,Kuraman Island,island,2.55,,"Muara, Brunei",5143,23.7,"Pulau Kuraman (northeast), Malaysia Current"
514a,Off Borneo (NP203 514a) Current,5.2267,115.1567,Labuan Island,island,11.87,,"Muara, Brunei",5143,23.7,
514a,Off Borneo (NP203 514a) Current,5.2267,115.1567,Papan Island,islet,12.99,,"Muara, Brunei",5143,23.7,
532,Sulawesi (NP203 532) Current,-1.4367,125.1917,,,,,"Dofa, Indonesia",5328,48.2,"Pulau Taliabu (northeast), Indonesia Current"
532a,Sulawesi (NP203 532a) Current,-1.8000,125.3333,Kepulauan Sula,island,8.29,,"Dofa, Indonesia",5328,7.6,"Selat Capalulu (Pulau Taliabu / Mangoli), Indonesia Current"
532a,Sulawesi (NP203 532a) Current,-1.8000,125.3333,Pulau Ipa,island,10.86,,"Dofa, Indonesia",5328,7.6,
532a,Sulawesi (NP203 532a) Current,-1.8000,125.3333,Pulau Liku,coastline,10.16,,"Dofa, Indonesia",5328,7.6,
535,Sunda Strait Current,-5.9667,105.9167,Pulau Ular,island,4.72,,"Genteng (Westbaai), Indonesia",5351,168.1,"Sangiang (Sunda Strait), Indonesia Current"
535,Sunda Strait Current,-5.9667,105.9167,Sangiang Island,island,7.64,,"Genteng (Westbaai), Indonesia",5351,168.1,
535,Sunda Strait Current,-5.9667,105.9167,Pulau Merak,island,9.93,,"Genteng (Westbaai), Indonesia",5351,168.1,
537,Madura Strait Current,-7.1000,112.6667,Madura Strait,strait,10.79,,"Gading, Indonesia",5370,29.7,"Gresik / Junganyar (Madura Strait), Indonesia Current"
537,Madura Strait Current,-7.1000,112.6667,Lamong Bay,bay,11.80,,"Gading, Indonesia",5370,29.7,
537,Madura Strait Current,-7.1000,112.6667,Tanjung Perak,harbour,12.39,,"Gading, Indonesia",5370,29.7,
538,Lombok Strait Current,-8.7500,115.7500,Pulau Batuaba,island,13.57,,"Tanjung Pandanan, Indonesia",5386,14.6,"Nusa Penida / Tanjung Pandanan (Lombok Strait), Indonesia Current"
538,Lombok Strait Current,-8.7500,115.7500,Nusa Batuabah,coastline,13.57,,"Tanjung Pandanan, Indonesia",5386,14.6,
538,Lombok Strait Current,-8.7500,115.7500,Batujineng Kandik Timur,coastline,13.65,,"Tanjung Pandanan, Indonesia",5386,14.6,
550,Irian Jaya (NP203 550) Current,-1.4000,130.9667,Tanjung Kanyolo,cape,4.61,,"Sailolof, Indonesia",5500,25.7,"Selat Sele (Seget), Indonesia Current"
550,Irian Jaya (NP203 550) Current,-1.4000,130.9667,Tanjung Menonket,cape,13.16,,"Sailolof, Indonesia",5500,25.7,
550,Irian Jaya (NP203 550) Current,-1.4000,130.9667,Lugo Island,coastline,0.84,,"Sailolof, Indonesia",5500,25.7,
551,Irian Jaya (NP203 551) Current,-2.2267,133.6433,,,,,"Muturi Terminal, Indonesia",5514a,3.9,"Sungai Muturi, New Guinea, Indonesia Current"
