abstand_km,kennung_art,kennung,station,lat,lon,katalog_name,katalog_lat,katalog_lon,befund,datei,n_kennungen
19.4,psmsl_id,2024,"Funchal, Madeira, Portugal",32.6447,-16.9109,FUNCHAL B,32.6511,-17.1178,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
18.4,gloss_id,29,"Minicoy Island, Lakshadweep, India",8.2824,73.053,Minicoy,8.1170,73.0500,Position pruefen (Name passt),harmonics/classic/harmonics-1997-05-25_mod.txt,6
18.4,ssc_id,mini,"Minicoy Island, Lakshadweep, India",8.2824,73.053,Minicoy,8.1170,73.0500,Position pruefen (Name passt),harmonics/classic/harmonics-1997-05-25_mod.txt,6
18.4,uhslc_id,153,"Minicoy Island, Lakshadweep, India",8.2824,73.053,Minicoy,8.1170,73.0500,Position pruefen (Name passt),harmonics/classic/harmonics-1997-05-25_mod.txt,6
18.4,gloss_id,29,"Minicoy Island, Lakshadweep, India",8.2824,73.053,Minicoy,8.1170,73.0500,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,6
18.4,ssc_id,mini,"Minicoy Island, Lakshadweep, India",8.2824,73.053,Minicoy,8.1170,73.0500,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,6
18.4,uhslc_id,153,"Minicoy Island, Lakshadweep, India",8.2824,73.053,Minicoy,8.1170,73.0500,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,6
18.4,psmsl_id,1015,"Puerto Ángel, Oaxaca, Mexico",15.6656,-96.4914,PUERTO ANGEL,15.5000,-96.5000,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,7
18.4,psmsl_id,1015,"Puerto Ángel, Oaxaca, Mexico",15.6656,-96.4914,PUERTO ANGEL,15.5000,-96.5000,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,7
16.7,ssc_id,lero,"Fort-de-France, Martinique",14.6019,-61.0636,Le Robert,14.6833,-60.9333,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,5
16.7,uhslc_id,270,"Fort-de-France, Martinique",14.6019,-61.0636,Le Robert,14.6833,-60.9333,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,5
16.1,uhslc_id,271,"Le Robert, Martinique",14.6793,-60.9369,Fort-de-France,14.6017,-61.0633,Nachbarpegel -- Kennung pruefen,harmonics/ticon/harmonics_ticon4_worldwide.txt,5
15.9,ioc_code,lero,"Fort-de-France, Martinique",14.6019,-61.0636,Le Robert,14.6769,-60.9379,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,5
15.9,ptwc_code,lero,"Fort-de-France, Martinique",14.6019,-61.0636,Le Robert,14.6769,-60.9379,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,5
15.5,psmsl_id,1766,"Bridgetown, Barbados",13.111,-59.631,BRIDGETOWN (COAST GUARD),13.1667,-59.5000,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,7
15.3,psmsl_id,1025,"Gan, Maldives",-0.6878,73.152,GAN I,-0.5667,73.2167,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,7
15.0,ssc_id,bueno,"Buenos Aires (Muelle de Pescadores), Buenos Aires, Argentina",-34.561,-58.399,Buenos Aires,-34.6667,-58.5000,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,4
15.0,uhslc_id,285,"Buenos Aires (Muelle de Pescadores), Buenos Aires, Argentina",-34.561,-58.399,Buenos Aires,-34.6667,-58.5000,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,4
14.1,psmsl_id,1476,"Cox's Bazaar, Bangladesh",21.4511,91.9695,COX'S BAZAAR,21.4500,91.8333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,3
14.1,ssc_id,coxs,"Cox's Bazaar, Bangladesh",21.4511,91.9695,Cox's Bazaar,21.4500,91.8333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,3
14.1,uhslc_id,136,"Cox's Bazaar, Bangladesh",21.4511,91.9695,Cox's Bazaar,21.4500,91.8333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,3
13.8,psmsl_id,280,"Surabaya, Java, Indonesia",-7.208,112.725,SURABAYA I,-7.2000,112.6000,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,7
13.7,psmsl_id,4,"Bermuda Esso Pier, St. Georges, Bermuda",32.373,-64.703,IRELAND ISLAND,32.3167,-64.8333,Nachbarpegel -- Kennung pruefen,harmonics/ticon/harmonics_ticon4_worldwide.txt,12
13.6,ioc_code,inha,"Inhambane (Rio Matumba.), Mozambique",-23.868,35.377,Inhambane,-23.9167,35.5000,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,7
13.6,ptwc_code,inha,"Inhambane (Rio Matumba.), Mozambique",-23.868,35.377,Inhambane,-23.9167,35.5000,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,7
12.8,ioc_code,lpaz,"La Paz (Cuarta Zona Naval), Baja California Sur, Mexico",24.1519,-110.3314,La Paz,24.2673,-110.3328,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
12.8,ioc_code,lpaz2,"La Paz (Cuarta Zona Naval), Baja California Sur, Mexico",24.1519,-110.3314,La Paz2,24.2673,-110.3328,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,6
12.8,ptwc_code,lpaz,"La Paz (Cuarta Zona Naval), Baja California Sur, Mexico",24.1519,-110.3314,La Paz,24.2673,-110.3328,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
12.5,ioc_code,will,"Bullenbaai, Curaçao",12.187,-69.02,Willemstad,12.1043,-68.9416,Nachbarpegel -- Kennung pruefen,harmonics/ticon/harmonics_ticon4_worldwide.txt,6
12.5,ioc_code,will,"Bullen Bay, Curaçao",12.187,-69.02,Willemstad,12.1043,-68.9416,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,6
11.9,uhslc_id,65,"Lombrum, Manus, Papua New Guinea",-2.0416,147.3746,Manus,-2.0133,147.2717,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,7
11.8,psmsl_id,1690,"Port Sudan, Sudan",19.6128,37.2268,PORT SUDAN,19.6333,37.1167,Position pruefen (Name passt),harmonics/classic/harmonics_literature.txt,1
11.8,ioc_code,lomb,"Manus, Papua New Guinea",-2.013,147.272,Lombrum_Manus_Is_PG,-2.0421,147.3737,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,7
11.8,ptwc_code,lomb,"Manus, Papua New Guinea",-2.013,147.272,Lombrum_Manus_Is_PG,-2.0421,147.3737,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,7
11.8,psmsl_id,1860,"Manus, Papua New Guinea",-2.013,147.272,LOMBRUM,-2.0421,147.3738,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,7
11.8,uhslc_id,65,"Lombrum, Manus Is., Papua New Guinea",-2.037,147.375,Manus,-2.0133,147.2717,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,7
11.7,ioc_code,atka2,"Atka, Nazan Bay, Atka Island, Alaska",52.2319,-174.1725,"Atka, AK",52.2317,-174.0000,Position pruefen (Name passt),harmonics/classic/harmonics-dwf-20251228-free.txt,4
11.7,gloss_id,331,"Manus, Papua New Guinea",-2.013,147.272,Lombrum,-2.0367,147.3750,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,7
11.7,ssc_id,lomb,"Manus, Papua New Guinea",-2.013,147.272,Lombrum,-2.0367,147.3750,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,7
11.7,uhslc_id,400,"Manus, Papua New Guinea",-2.013,147.272,Lombrum,-2.0367,147.3750,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,7
11.3,psmsl_id,988,"Esperanza (Hope Bay, Antarctica), Antártida Argentina, Argentina",-63.395,-56.995,BAHIA ESPERANZA,-63.3000,-56.9167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,7
11.1,psmsl_id,136,"Port Chalmers, Otago, New Zealand",-45.8147,170.6241,DUNEDIN II,-45.8787,170.5134,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,7
11.1,psmsl_id,252,"Port Chalmers, Otago, New Zealand",-45.8147,170.6241,DUNEDIN,-45.8787,170.5134,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,7
11.0,ssc_id,ccar,"Ciudad Del Carmen (Sector Naval), Campeche, Mexico",18.6318,-91.8318,Ciudad del Carmen,18.5333,-91.8333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
11.0,uhslc_id,779,"Ciudad Del Carmen (Sector Naval), Campeche, Mexico",18.6318,-91.8318,Ciudad del Carmen,18.5333,-91.8333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
10.4,ioc_code,ters,"West-Terschelling, Netherlands",53.363,5.2201,Terschelling Noordzee,53.4278,5.3328,Position pruefen (Name passt),harmonics/classic/harmonics-dwf-20100529-nonfree_mod.txt,2
10.4,gloss_id,354,"Makemo Atoll, Tuamotu Archipelago",-16.626998,-143.569212,Makemo,-16.5980,-143.6620,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,6
10.4,ssc_id,make,"Makemo Atoll, Tuamotu Archipelago",-16.626998,-143.569212,Makemo,-16.5980,-143.6620,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,6
10.4,uhslc_id,454,"Makemo Atoll, Tuamotu Archipelago",-16.626998,-143.569212,Makemo,-16.5980,-143.6620,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,6
10.4,gloss_id,354,"Makemo Atoll, Tuamotu Archipelago",-16.626998,-143.569212,Makemo,-16.5980,-143.6620,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
10.4,ssc_id,make,"Makemo Atoll, Tuamotu Archipelago",-16.626998,-143.569212,Makemo,-16.5980,-143.6620,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
