tafel,name,lat,lon,scheitel,neu_rms_cm,neu_dt_min,bestand,bestand_datei,bestand_rms_cm,bestand_dt_min,saetze
Padstow.json,Padstow,50.55,-4.9333333,1775,4.7,5.9,"Padstow, England, United Kingdom",harmonics_utide_tidetables.txt,32.6,4.0,2
Port_Sutton_Bridge.json,Port Sutton Bridge,52.7666667,0.2,3721,4.7,8.8,"Port Sutton Bridge, England, United Kingdom",harmonics_utide_tidetables.txt,24.8,9.0,1
Wyre_Lighthouse.json,Wyre Lighthouse,53.95,-3.0333333,1863,4.7,7.8,"Wyre Lighthouse, England, United Kingdom",harmonics_utide_tidetables.txt,48.7,23.2,1
Bur_Wick.json,Bur Wick,58.7333333,-2.9666667,3725,4.6,18.5,"Bur Wick, Scotland, United Kingdom",harmonics_utide_tidetables.txt,14.8,16.1,1
Dale_Roads.json,Dale Roads,51.7,-5.15,1765,4.6,5.4,"Dale Roads, Wales, United Kingdom",harmonics_utide_tidetables.txt,35.3,4.0,1
Luce_Bay_(Offshore_Platform).json,Luce Bay (Offshore Platform),54.8333333,-4.8833333,3725,4.6,6.6,"Luce Bay (Offshore Platform), Scotland, United Kingdom",harmonics_utide_tidetables.txt,27.3,4.1,1
Sennen_Cove.json,Sennen Cove,50.0833333,-5.7,1865,4.6,6.9,"Sennen Cove, England, United Kingdom",harmonics_utide_tidetables.txt,10.3,2.7,1
Tilbury.json,Tilbury,51.4633,0.3583,1762,4.6,16.1,,,,,0
Ulverston.json,Ulverston,54.1833333,-3.0666667,887,4.6,11.2,"Ulverston, England, United Kingdom",harmonics_utide_tidetables.txt,21.2,30.1,1
Formby.json,Formby,53.5333333,-3.1166667,3726,4.5,6.2,"Formby, England, United Kingdom",harmonics_utide_tidetables.txt,38.0,5.3,1
Hale_Head.json,Hale Head,53.3166667,-2.8,1863,4.5,6.3,"Hale Head, England, United Kingdom",harmonics_utide_tidetables.txt,33.0,2.3,1
