name,datei_a,rms_a_cm,datei_b,rms_b_cm,hub_m
"Bunker Island Wharf, Nova Scotia, Canada",harmonics_utide_tidetables.txt,7.9,harmonics-2004-06-14_mod.txt,6.4,4.70
"Burnt Church, New Brunswick, Canada",harmonics-2004-06-14_mod.txt,1.8,harmonics_utide_tidetables.txt,1.3,1.53
"Bénodet (L'Odet), France",harmonics_ticon4_worldwide.txt,4.5,harmonics_utide_tidetables.txt,4.0,5.12
"Cabedelo (Porto), Paraíba, Brazil",harmonics_att_np207.txt,3.5,harmonics_utide_tidetables.txt,1.8,2.64
"Cabo San Lucas, Baja California Sur, Mexico",harmonics_ticon4_worldwide.txt,5.4,harmonics_utide_observations.txt,5.3,2.08
"Cabot Point, Labrador, Canada",harmonics-2004-06-14_mod.txt,0.9,harmonics_utide_tidetables.txt,0.7,0.60
"Calamity Point, British Columbia, Canada",harmonics_utide_observations.txt,7.7,harmonics_utide_tidetables.txt,5.8,4.75
"Callao (La Punta), Peru",harmonics_ticon4_worldwide.txt,5.3,harmonics_utide_observations.txt,5.3,1.14
"Camaret-sur-Mer, France",harmonics-pierre-lavergne-v10_mod.txt,8.1,harmonics_utide_tidetables.txt,6.3,6.57
"Cambridge Narrows, New Brunswick, Canada",harmonics_utide_tidetables.txt,1.1,harmonics-2004-06-14_mod.txt,0.8,0.37
"Campbell River, British Columbia, Canada",harmonics_utide_observations.txt,7.6,harmonics_utide_tidetables.txt,7.6,4.06
"Canso Harbour, Nova Scotia, Canada",harmonics_utide_tidetables.txt,3.3,harmonics-2004-06-14_mod.txt,2.4,1.69
"Cape Aldrich, Nunavut, Canada",harmonics-2004-06-14_mod.txt,0.5,harmonics_utide_tidetables.txt,0.3,0.46
"Cape Dalhousie, Northwest Territories, Canada",harmonics-2004-06-14_mod.txt,1.2,harmonics_utide_tidetables.txt,1.1,0.73
"Cape Jack, Nova Scotia, Canada",harmonics-2004-06-14_mod.txt,2.2,harmonics_utide_tidetables.txt,2.1,1.35
"Cape Parry, Northwest Territories, Canada",harmonics_utide_tidetables.txt,0.8,harmonics-2004-06-14_mod.txt,0.5,0.49
"Cape Town, South Africa",harmonics_ticon4_worldwide.txt,9.2,harmonics_utide_observations.txt,9.2,1.85
"Carantec, Château du Taureau, France",harmonics-pierre-lavergne-v10_mod.txt,10.3,harmonics_utide_tidetables.txt,8.6,9.11
"Caraquet, New Brunswick, Canada",harmonics-2004-06-14_mod.txt,1.7,harmonics_utide_tidetables.txt,1.2,2.04
"Caravalla Cove, Labrador, Canada",harmonics_utide_tidetables.txt,0.9,harmonics-2004-06-14_mod.txt,0.9,0.74
"Carmanville, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.5,harmonics_utide_tidetables.txt,0.9,1.30
"Champlain, Québec, Canada",harmonics_ticon4_worldwide.txt,17.7,harmonics_utide_tidetables.txt,16.0,1.24
"Charlottetown, Prince Edward Island, Canada",harmonics_utide_observations.txt,3.9,harmonics_utide_tidetables.txt,2.4,2.75
"Cherbourg-en-Cotentin, France",harmonics_ticon4_worldwide.txt,14.7,harmonics_utide_observations.txt,13.9,6.55
"Cheticamp, Nova Scotia, Canada",harmonics-2004-06-14_mod.txt,1.8,harmonics_utide_tidetables.txt,1.7,1.18
"Chiba Light, Chiba, Japan",harmonics_ticon4_worldwide.txt,3.1,harmonics_utide_observations.txt,1.4,2.29
