name,datei_a,rms_a_cm,datei_b,rms_b_cm,hub_m
"Port-Haliguen, France",harmonics_utide_tidetables.txt,10.1,harmonics-pierre-lavergne-v10_mod.txt,8.0,5.33
"Port-Louis (Locmalo), France",harmonics-pierre-lavergne-v10_mod.txt,5.0,harmonics_utide_tidetables.txt,4.0,4.86
"Port-Maria, France",harmonics_utide_tidetables.txt,9.4,harmonics-pierre-lavergne-v10_mod.txt,8.4,5.13
"Port-Navalo, France",harmonics_utide_tidetables.txt,10.2,harmonics-pierre-lavergne-v10_mod.txt,9.4,5.02
"Port-Saint-François, Québec, Canada",harmonics_ticon4_worldwide.txt,18.2,harmonics_utide_tidetables.txt,17.3,1.96
"Portpatrick, Scotland, United Kingdom",harmonics_utide_observations.txt,4.5,harmonics_ticon4_worldwide.txt,4.3,4.28
"Portsmouth, England, United Kingdom",harmonics_ticon4_worldwide.txt,9.5,harmonics_utide_observations.txt,8.5,4.74
"Prince Rupert RoRo, British Columbia, Canada",harmonics_utide_observations.txt,7.0,harmonics_utide_tidetables.txt,6.0,6.43
"Prince Rupert, British Columbia, Canada",harmonics_utide_observations.txt,5.3,harmonics_utide_tidetables.txt,4.7,7.04
"Prospect, Nova Scotia, Canada",harmonics_utide_tidetables.txt,3.9,harmonics-2004-06-14_mod.txt,2.1,2.00
"Puerto Deseado, Santa Cruz, Argentina",harmonics_ticon4_worldwide.txt,15.7,harmonics_utide_observations.txt,15.6,5.60
"Punchbowl, Labrador, Canada",harmonics-2004-06-14_mod.txt,1.5,harmonics_utide_tidetables.txt,1.1,1.60
"Quepos, Costa Rica",harmonics_utide_observations.txt,7.0,harmonics_ticon4_worldwide.txt,7.0,3.37
"Reihoku (Shimoshima), Kumamoto, Japan",harmonics_ticon4_worldwide.txt,2.9,harmonics_utide_observations.txt,1.4,3.54
"Resolute, Nunavut, Canada",harmonics_ticon4_worldwide.txt,2.8,harmonics_utide_tidetables.txt,1.5,1.95
"Richards Bay, South Africa",harmonics_utide_observations.txt,10.7,harmonics_ticon4_worldwide.txt,10.4,2.38
"Richibucto Cape, New Brunswick, Canada",harmonics-2004-06-14_mod.txt,1.4,harmonics_utide_tidetables.txt,0.9,1.32
"Richibucto, New Brunswick, Canada",harmonics-2004-06-14_mod.txt,1.7,harmonics_utide_tidetables.txt,0.8,1.18
"Rigolet, Labrador, Canada",harmonics-2004-06-14_mod.txt,1.8,harmonics_utide_tidetables.txt,1.5,1.52
"Riviere-au-Renard, Québec, Canada",harmonics-dwf-20100529-nonfree_mod.txt,2.1,harmonics_utide_tidetables.txt,1.3,2.00
"Rivière-au-Renard, Québec, Canada",harmonics_utide_observations.txt,2.5,harmonics_utide_tidetables.txt,1.3,2.00
"Rochefort, Charente River, France",harmonics_noaa_eutt.txt,63.5,harmonics_utide_observations.txt,18.8,8.47
"Rumoi, Hokkaido, Japan",harmonics_ticon4_worldwide.txt,1.0,harmonics_utide_observations.txt,0.8,0.48
"Rørvik, Norway",harmonics_utide_observations.txt,17.1,harmonics_ticon4_worldwide.txt,16.5,3.00
"Saeki (Tsurumi Okimatsuura), Oita, Japan",harmonics_ticon4_worldwide.txt,2.5,harmonics_utide_observations.txt,1.2,2.24
"Saint-François-de-l'Île-d'Orléans, Québec, Canada",harmonics-dwf-20100529-nonfree_mod.txt,10.5,harmonics_utide_tidetables.txt,9.2,6.04
"Saint-Gilles-Croix-de-Vie, France",harmonics-pierre-lavergne-v10_mod.txt,7.1,harmonics_utide_tidetables.txt,4.7,5.17
"Saint-Guénolé (Pointe de Penmarch), France",harmonics-pierre-lavergne-v10_mod.txt,5.4,harmonics_utide_tidetables.txt,4.2,5.00
"Saint-Martin-de-Ré (Île de Ré), France",harmonics-pierre-lavergne-v10_mod.txt,9.0,harmonics_utide_tidetables.txt,6.3,5.79
"Saint-Nazaire, France",harmonics_utide_tidetables.txt,17.2,harmonics_utide_observations.txt,15.3,6.03
"Sakaiminato, Tottori, Japan",harmonics_ticon4_worldwide.txt,1.2,harmonics_utide_observations.txt,1.1,0.68
"Sakata, Yamagata, Japan",harmonics_ticon4_worldwide.txt,1.7,harmonics_utide_observations.txt,1.0,0.60
"Saldanha, South Africa",harmonics_att_np203_secondary.txt,10.4,harmonics_att_np208_secondary.txt,9.9,1.83
"Saldanha, South Africa",harmonics_noaa_eutt.txt,11.4,harmonics_att_np208_secondary.txt,9.9,1.83
"Sambro Harbour, Nova Scotia, Canada",harmonics_utide_tidetables.txt,3.4,harmonics-2004-06-14_mod.txt,2.4,1.88
"San Miguel de Cozumel, Quintana Roo, México",harmonics-1997-05-25_mod.txt,2.1,harmonics_utide_tidetables.txt,2.0,0.33
"San Quintin (Campo La Chorera), Baja California, Mexico",harmonics_utide_observations.txt,7.3,harmonics_ticon4_worldwide.txt,6.9,2.74
"Sand Heads Lighthouse, British Columbia, Canada",harmonics_utide_observations.txt,4.4,harmonics_utide_tidetables.txt,3.3,4.59
"Sandy Point, Nova Scotia, Canada",harmonics_utide_tidetables.txt,2.7,harmonics-2004-06-14_mod.txt,2.4,2.26
"Santa Marta, Colombia",harmonics_utide_observations.txt,5.2,harmonics_ticon4_worldwide.txt,4.5,0.62
"Sasebo, Nagasaki, Japan",harmonics_ticon4_worldwide.txt,3.3,harmonics_utide_observations.txt,1.0,3.59
"Savage Harbour, Prince Edward Island, Canada",harmonics-2004-06-14_mod.txt,1.1,harmonics_utide_tidetables.txt,0.6,0.93
"Seal Cove, British Columbia, Canada",harmonics_ticon4_worldwide.txt,7.7,harmonics_utide_tidetables.txt,4.8,6.97
"Seeadler Harbor, Manus, Admiralty Islands, Papua New Guinea",harmonics-1997-05-25_mod.txt,7.3,harmonics-2004-06-14_mod.txt,6.7,1.11
"Seeadler Harbor, Manus, Admiralty Islands, Papua New Guinea",harmonics_ticon4_worldwide.txt,6.7,harmonics-2004-06-14_mod.txt,6.7,1.11
"Sekinehama, Aomori, Japan",harmonics_ticon4_worldwide.txt,2.5,harmonics_utide_observations.txt,1.0,1.52
"Sept-Îles, Québec, Canada",harmonics-dwf-20100529-nonfree_mod.txt,2.5,harmonics_utide_tidetables.txt,2.2,3.24
"Setana, Hokkaido, Japan",harmonics_utide_observations.txt,1.6,harmonics_ticon4_worldwide.txt,1.3,0.52
"Sfax, Tunisia",harmonics_att_np208.txt,5.4,harmonics-1997-05-25_mod.txt,3.7,1.68
"Shelburne, Nova Scotia, Canada",harmonics_utide_tidetables.txt,3.9,harmonics-2004-06-14_mod.txt,2.7,2.37
"Shibushi, Kagoshima, Japan",harmonics-2004-06-14_mod.txt,4.2,harmonics_utide_observations.txt,1.8,2.56
"Shibushi, Kagoshima, Japan",harmonics_ticon4_worldwide.txt,3.8,harmonics_utide_observations.txt,1.8,2.56
"Shimoda, Shizuoka, Japan",harmonics_ticon4_worldwide.txt,2.6,harmonics_utide_observations.txt,1.8,2.00
"Shinminato (Horioka), Toyama, Japan",harmonics_utide_observations.txt,1.5,harmonics_ticon4_worldwide.txt,0.9,0.66
"Shiogama, Miyagi, Japan",harmonics-2004-06-14_mod.txt,0.7,harmonics_utide_observations.txt,0.5,1.94
"Ship Cove, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.2,harmonics_utide_tidetables.txt,0.7,1.14
"Shippagan, New Brunswick, Canada",harmonics-2004-06-14_mod.txt,2.2,harmonics_utide_tidetables.txt,1.4,1.95
"Shirahama (Iriomote), Okinawa, Japan",harmonics_utide_observations.txt,0.3,harmonics-2004-06-14_mod.txt,0.3,2.25
"Shirahama (Katata), Wakayama, Japan",harmonics_ticon4_worldwide.txt,2.7,harmonics_utide_observations.txt,1.2,2.27
"Shiraoiko, Hokkaido, Japan",harmonics_ticon4_worldwide.txt,2.7,harmonics_utide_observations.txt,1.3,1.72
"Shoal Cove, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.6,harmonics_utide_tidetables.txt,1.2,1.79
"Sibolga, Indonesia",harmonics_ticon4_worldwide.txt,8.9,harmonics_utide_observations.txt,8.9,1.33
"Silloth, England, United Kingdom",harmonics_utide_tidetables.txt,41.9,harmonics_noaa_eutt.txt,41.8,9.04
"Silva Bay, British Columbia, Canada",harmonics-2004-06-14_mod.txt,22.3,harmonics_utide_tidetables.txt,22.1,4.76
"Simon's Town, South Africa",harmonics_att_np203_secondary.txt,9.3,harmonics_ticon4_worldwide.txt,8.7,1.81
"Simon's Town, South Africa",harmonics_noaa_eutt.txt,10.8,harmonics_ticon4_worldwide.txt,8.7,1.81
"Simon's Town, South Africa",harmonics_utide_observations.txt,9.0,harmonics_ticon4_worldwide.txt,8.7,1.81
"Sittwe (Akyab), Myanmar",harmonics_utide_tidetables.txt,10.0,harmonics_ticon4_worldwide.txt,8.7,3.21
"Daajing Giids, British Columbia, Canada",harmonics_utide_observations.txt,6.1,harmonics_utide_tidetables.txt,4.9,7.32
"Soma, Fukushima, Japan",harmonics_ticon4_worldwide.txt,3.4,harmonics_utide_observations.txt,1.3,1.85
"Springdale, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.6,harmonics_utide_tidetables.txt,1.0,1.47
"Spry Harbour, Nova Scotia, Canada",harmonics_utide_tidetables.txt,5.5,harmonics-2004-06-14_mod.txt,4.9,1.86
"St. Anthony, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.4,harmonics_utide_tidetables.txt,0.9,1.40
"St. Helier, Jersey, Channel Islands",harmonics_ticon4_worldwide.txt,13.2,harmonics_utide_observations.txt,10.4,11.67
"Saint-Jean-de-Luz (Ciboure), France",harmonics_ticon4_worldwide.txt,10.3,harmonics_utide_observations.txt,9.9,4.44
"Saint-Jean-de-Luz (Socoa), France",harmonics_utide_observations.txt,9.5,harmonics_ticon4_worldwide.txt,9.5,4.49
"Saint-Laurent-de-l'Île-d'Orléans, Québec, Canada",harmonics_utide_observations.txt,12.6,harmonics_utide_tidetables.txt,10.5,5.79
"St. Lawrence, Newfoundland, Canada",harmonics_utide_observations.txt,2.8,harmonics_utide_tidetables.txt,1.7,2.02
"St. Stephen, New Brunswick, Canada",harmonics-2004-06-14_mod.txt,7.3,harmonics_utide_tidetables.txt,6.6,7.43
"Stavanger, Norway",harmonics_noaa_eutt.txt,15.9,harmonics_ticon4_worldwide.txt,15.1,0.88
"Stavanger, Norway",harmonics_utide_observations.txt,15.1,harmonics_ticon4_worldwide.txt,15.1,0.88
"Ste-Anne-Des-Monts, Québec, Canada",harmonics_ticon4_worldwide.txt,4.2,harmonics_utide_tidetables.txt,2.3,3.37
"Stephenville (Port Harmon), Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.8,harmonics_utide_tidetables.txt,1.0,1.56
"Stornoway (Isle of Lewis), Scotland, United Kingdom",harmonics_ticon4_worldwide.txt,6.5,harmonics_utide_observations.txt,5.9,5.40
"Summerside, Prince Edward Island, Canada",harmonics-2004-06-14_mod.txt,2.2,harmonics_utide_tidetables.txt,1.5,1.81
"Sunatsu (Kitakyushu), Fukuoka, Japan",harmonics-2004-06-14_mod.txt,5.3,harmonics_ticon4_worldwide.txt,4.3,2.08
"Surabaya, Java, Indonesia",harmonics_utide_observations.txt,11.3,harmonics_ticon4_worldwide.txt,9.2,2.82
"Tabira (Hiradoseto), Nagasaki, Japan",harmonics_ticon4_worldwide.txt,2.6,harmonics_utide_observations.txt,2.3,3.32
"Tadine, Maré (Îles Loyauté), New Caledonia",harmonics_utide_observations.txt,7.3,harmonics_ticon4_worldwide.txt,7.0,1.46
"Tadoussac, Québec, Canada",harmonics_ticon4_worldwide.txt,4.9,harmonics_utide_tidetables.txt,3.7,5.25
"Baie-Sainte-Catherine, Québec, Canada",harmonics_utide_observations.txt,4.5,harmonics_utide_tidetables.txt,3.6,5.25
"Tago, Shizuoka, Japan",harmonics_ticon4_worldwide.txt,2.5,harmonics_utide_observations.txt,1.2,1.92
"Tailevu, Viti Levu Island, Fiji",harmonics_noaa_cptt.txt,5.0,harmonics_noaa_pacif.txt,3.2,
"Tajiri, Tottori, Japan",harmonics_ticon4_worldwide.txt,1.1,harmonics_utide_observations.txt,0.9,0.71
"Takahama (Tsushima), Nagasaki, Japan",harmonics_ticon4_worldwide.txt,1.6,harmonics_utide_observations.txt,0.5,2.14
"Takamatsu, Kagawa, Japan",harmonics_ticon4_worldwide.txt,4.3,harmonics_utide_observations.txt,1.4,2.91
"Tanger, Morocco",harmonics_utide_tidetables.txt,1.9,harmonics-1997-05-25_mod.txt,1.9,2.31
"Tanger, Morocco",harmonics_utide_tidetables.txt,1.9,harmonics-1997-05-25_mod.txt,1.9,2.31
"Tannowa, Osaka, Japan",harmonics_ticon4_worldwide.txt,3.5,harmonics_utide_observations.txt,1.3,2.10
"Tappi, Aomori, Japan",harmonics_ticon4_worldwide.txt,1.6,harmonics_utide_observations.txt,0.9,0.75
"Taranaki, Taranaki, New Zealand",harmonics_utide_observations.txt,10.3,harmonics_ticon4_worldwide.txt,10.3,3.53
"Tateyama, Chiba, Japan",harmonics-2004-06-14_mod.txt,0.9,harmonics_utide_observations.txt,0.7,1.90
"Tilting Harbour, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.2,harmonics_utide_tidetables.txt,0.9,1.23
"Timaru Harbour, New Zealand",harmonics_ticon4_worldwide.txt,12.9,harmonics_utide_observations.txt,12.1,2.29
"Toba, Mie, Japan",harmonics_ticon4_worldwide.txt,3.4,harmonics_utide_observations.txt,1.0,2.46
"Tobishima, Yamagata, Japan",harmonics_ticon4_worldwide.txt,1.0,harmonics_utide_observations.txt,0.9,0.59
"Tokuyama, Yamaguchi, Japan",harmonics_ticon4_worldwide.txt,3.3,harmonics_utide_observations.txt,1.1,3.70
"Tomakomai (Higashiko), Hokkaido, Japan",harmonics_ticon4_worldwide.txt,3.2,harmonics_utide_observations.txt,1.3,1.69
"Tomakomai (Nishiko), Hokkaido, Japan",harmonics_ticon4_worldwide.txt,3.0,harmonics_utide_observations.txt,1.0,1.71
"Tomlee Bay, Nova Scotia, Canada",harmonics_utide_tidetables.txt,6.0,harmonics-2004-06-14_mod.txt,5.3,1.86
"Topolobampo, Sinaloa, Mexico",harmonics_ticon4_worldwide.txt,8.7,harmonics_utide_observations.txt,7.8,2.08
"Tosashimizu, Kochi, Japan",harmonics_ticon4_worldwide.txt,2.6,harmonics_utide_observations.txt,0.9,2.38
"Toyama, Toyama, Japan",harmonics_ticon4_worldwide.txt,1.0,harmonics_utide_observations.txt,0.7,0.67
"Trepassey, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,2.0,harmonics_utide_tidetables.txt,1.4,1.78
"Trinity, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.6,harmonics_utide_tidetables.txt,0.9,1.22
"Tromsø, Norway",harmonics_utide_observations.txt,15.7,harmonics_ticon4_worldwide.txt,15.2,3.22
"Trondheim, Norway",harmonics_utide_observations.txt,15.7,harmonics_ticon4_worldwide.txt,15.3,3.41
"Tsubota (Miyakeshima), Tokyo, Japan",harmonics_ticon4_worldwide.txt,3.5,harmonics_utide_observations.txt,2.3,1.89
"Tsuiyama, Hyogo, Japan",harmonics-2004-06-14_mod.txt,2.8,harmonics_utide_observations.txt,0.8,0.68
"Harumi, Tokyo, Japan",harmonics_ticon4_worldwide.txt,2.5,harmonics_utide_observations.txt,1.2,2.36
"Tsuruga, Fukui, Japan",harmonics_utide_observations.txt,1.5,harmonics_ticon4_worldwide.txt,1.4,0.69
"Tsushimahitakatsu, Nagasaki, Japan",harmonics_ticon4_worldwide.txt,1.1,harmonics_utide_observations.txt,1.0,1.52
"Tubuai, Austral Islands, French Polynesia (1)",harmonics_ticon4_worldwide.txt,0.8,harmonics_ticon4_worldwide.txt,0.8,0.69
"Tumbo Channel, British Columbia, Canada",harmonics_ticon4_worldwide.txt,9.1,harmonics_utide_tidetables.txt,8.4,4.01
"Twin Islands, British Columbia, Canada",harmonics-2004-06-14_mod.txt,4.6,harmonics_utide_tidetables.txt,3.5,5.17
"Tynemouth Lighthouse, England, United Kingdom",harmonics-pierre-lavergne-v10_mod.txt,7.2,harmonics-1997-05-25_mod.txt,7.2,5.86
"Ube, Yamaguchi, Japan",harmonics_ticon4_worldwide.txt,3.4,harmonics_utide_observations.txt,1.9,4.26
"Ullapool, Scotland, United Kingdom",harmonics_utide_observations.txt,6.0,harmonics_ticon4_worldwide.txt,4.8,5.62
"Kochi, Kochi, Japan",harmonics_ticon4_worldwide.txt,2.6,harmonics_utide_observations.txt,1.1,2.31
"Uragami, Wakayama, Japan",harmonics_ticon4_worldwide.txt,2.4,harmonics_utide_observations.txt,0.9,2.13
"Urakawa, Hokkaido, Japan",harmonics_ticon4_worldwide.txt,3.0,harmonics_utide_observations.txt,1.2,1.70
"Ushuaia, Tierra del Fuego, Argentina",harmonics_ticon4_worldwide.txt,19.1,harmonics_utide_observations.txt,18.9,2.11
"Uwajima, Ehime, Japan",harmonics_ticon4_worldwide.txt,2.9,harmonics_utide_observations.txt,1.1,2.68
"Vancouver (CRAB Park at Portside), British Columbia, Canada",harmonics_utide_observations.txt,12.0,harmonics_utide_tidetables.txt,11.9,4.78
"Vardø, Norway",harmonics_utide_observations.txt,16.1,harmonics_ticon4_worldwide.txt,15.5,3.69
"Veracruz, Veracruz, Mexico",harmonics_utide_observations.txt,10.6,harmonics_ticon4_worldwide.txt,7.8,0.99
"Victoria Harbour, British Columbia, Canada",harmonics_utide_observations.txt,5.8,harmonics-2004-06-14_mod.txt,5.3,3.23
"Victoria Harbour, British Columbia, Canada",harmonics_utide_tidetables.txt,5.5,harmonics-2004-06-14_mod.txt,5.3,3.23
"Vieux-Québec, Québec, Canada",harmonics_utide_observations.txt,12.4,harmonics_utide_tidetables.txt,11.3,5.49
"Wajima, Ishikawa, Japan",harmonics_ticon4_worldwide.txt,1.4,harmonics_utide_observations.txt,0.9,0.68
"Wakayama, Wakayama, Japan",harmonics_ticon4_worldwide.txt,3.0,harmonics_utide_observations.txt,1.1,2.34
"Wakkanai, Hokkaido, Japan",harmonics_ticon4_worldwide.txt,1.1,harmonics_utide_observations.txt,0.9,0.51
"Washizaki (Sado), Niigata, Japan",harmonics_ticon4_worldwide.txt,1.3,harmonics_utide_observations.txt,1.1,0.61
"Wellington, Wellington, New Zealand",harmonics_ticon4_worldwide.txt,10.5,harmonics_utide_observations.txt,10.4,1.42
"West Head, Nova Scotia, Canada",harmonics_utide_tidetables.txt,9.7,harmonics-2004-06-14_mod.txt,8.6,3.08
"West Newdy Quoddy, Nova Scotia, Canada",harmonics_utide_tidetables.txt,4.5,harmonics-2004-06-14_mod.txt,4.2,1.93
"Westport, Nova Scotia, Canada",harmonics_utide_tidetables.txt,7.2,harmonics-2004-06-14_mod.txt,5.3,6.09
"Weymouth, England, United Kingdom",harmonics_utide_observations.txt,7.2,harmonics_ticon4_worldwide.txt,6.5,2.71
"Marsden Point, Northland, New Zealand",harmonics_ticon4_worldwide.txt,8.7,harmonics_utide_observations.txt,7.6,2.62
"Whitby, England, United Kingdom",harmonics_literature.txt,5.0,harmonics_utide_observations.txt,4.6,5.80
"Wick, Scotland, United Kingdom",harmonics_utide_observations.txt,5.8,harmonics_ticon4_worldwide.txt,3.0,3.74
"Winter Harbour, British Columbia, Canada",harmonics_ticon4_worldwide.txt,5.1,harmonics_utide_tidetables.txt,2.6,4.10
"Winter Harbour, British Columbia, Canada",harmonics_utide_observations.txt,4.6,harmonics_utide_tidetables.txt,2.6,4.10
"Woods Harbour, Nova Scotia, Canada",harmonics_utide_tidetables.txt,5.9,harmonics-2004-06-14_mod.txt,3.6,3.36
"Yaizu, Shizuoka, Japan",harmonics_ticon4_worldwide.txt,2.6,harmonics_utide_observations.txt,1.2,2.00
"Yarmouth, New Brunswick, Canada",harmonics_utide_observations.txt,13.2,harmonics_ticon4_worldwide.txt,12.7,4.70
"Yatushiro, Kumamoto, Japan",harmonics_ticon4_worldwide.txt,3.9,harmonics_utide_observations.txt,2.0,4.42
"Yokkaichi Minato, Mie, Japan",harmonics-2004-06-14_mod.txt,4.0,harmonics_utide_observations.txt,1.1,2.89
"Yokohama (Shinko), Kanagawa, Japan",harmonics_ticon4_worldwide.txt,2.3,harmonics_utide_observations.txt,2.0,2.16
"Yokosuka, Kanagawa, Japan",harmonics_ticon4_worldwide.txt,2.9,harmonics_utide_observations.txt,1.2,2.03
"Yorke Island, British Columbia, Canada",harmonics-2004-06-14_mod.txt,4.6,harmonics_utide_tidetables.txt,3.4,4.98
"Yoshima, Kagawa, Japan",harmonics_ticon4_worldwide.txt,4.8,harmonics_utide_observations.txt,2.1,3.53
"Zeebrugge, Belgium",harmonics_ticon4_worldwide.txt,24.7,harmonics_utide_observations.txt,22.9,5.13
"Ålesund, Norway",harmonics_utide_observations.txt,17.3,harmonics_ticon4_worldwide.txt,16.9,2.35
"Île-d'Aix, France",harmonics_ticon4_worldwide.txt,7.0,harmonics_utide_tidetables.txt,6.2,6.15
"Île de Sein, France",harmonics-pierre-lavergne-v10_mod.txt,6.3,harmonics_utide_tidetables.txt,5.0,6.14
"Île-Molène, France",harmonics-pierre-lavergne-v10_mod.txt,7.0,harmonics_utide_tidetables.txt,6.2,7.22
"Îles du Salut, French Guiana",harmonics-1997-05-25_mod.txt,6.8,harmonics_utide_observations.txt,4.9,2.90
"Îles du Salut, French Guiana",harmonics_ticon4_worldwide.txt,5.2,harmonics_utide_observations.txt,4.9,2.90
"Îlet la Mère, French Guiana",harmonics_utide_observations.txt,7.9,harmonics_ticon4_worldwide.txt,7.4,3.04
