# IH Tabela de Mares Vol. I 2026, S. 3-2/3-3 "Concordancias de mares para locais proximos dos portos principais"
# vom Seitenbild abgelesen (14.09.2026). Zeiten in Minuten (PM = Hochwasser, BM = Niedrigwasser,
# AM = Nipptide, AV = Springtide), Hoehenkorrekturen in m, Relacao de amplitude AM/AV.
# Leer = im Buch nicht angegeben. Ueber mehrere Spalten gedruckte Werte (ein Wert fuer alle) stehen in jeder Spalte.
# Zeilen typ=STD: Standardhafen mit den veroeffentlichten Pegeln PMAM PMAV BMAM BMAV (= NM +-M2 +-S2).
# lat/lon dezimal (N positiv, E positiv).
typ	bezug	name	lat	lon	nm	t_pm_am	t_pm_av	t_bm_am	t_bm_av	h_pm_am	h_pm_av	h_bm_am	h_bm_av	r_am	r_av
SEC	SETÚBAL (TROIA)	Baliza 4	38.4650	-8.9617	2.00	-13	-18	-4	-11	-0.05	-0.08	0.05	0.10		
SEC	SETÚBAL (TROIA)	Outão	38.4933	-8.9333	2.00	-3	-3	0	0	-0.04	-0.07	0.02	0.04		
SEC	SETÚBAL (TROIA)	Cais Comercial	38.5200	-8.8900	2.00	9	6	4	5	-0.06	-0.07	-0.04	-0.06		
SEC	SETÚBAL (TROIA)	Desmagnetização	38.4583	-8.8517	2.00	10	13	5	7	0.02	0.03	-0.05	-0.10		
SEC	SETÚBAL (TROIA)	Lisnave (Setenave)	38.4700	-8.7917	2.00	14	19	6	9	0.06	0.10	-0.06	-0.13	1.11	1.11
SEC	SETÚBAL (TROIA)	Pinheiro	38.4383	-8.7150	2.00	35	35	35	35						
STD	LAGOS	Lagos	37.0988	-8.6683	2.00					2.65	3.38	1.35	0.62	
SEC	LAGOS	Baleeira	37.0017	-8.9333	2.00	0	0	-2	2					1.03	1.02
SEC	LAGOS	Portimão (interior)	37.1317	-8.5350	2.00	23	23	23	23					1.05	1.05
SEC	LAGOS	Portimão (exterior)	37.1267	-8.5283	2.00	0	0	0	0					1.00	1.00
SEC	LAGOS	Albufeira	37.0850	-8.2533	2.00	25	25	25	25					1.07	1.07
