name,fS,fN,rM,rS,rD,wahr_km,alt_pct,neu_pct,entscheidung
"Pepel, Sierra Leone",1.12,1.15,0.991,1.028,0.987,,,,schreiben (Gruppenbeleg NP208)
"Jui, Sierra Leone",1.04,1.0,1.013,0.963,1.02,,,,schreiben (Gruppenbeleg NP208)
"Shenge Point, Sierra Leone",0.92,1.0,0.972,1.095,0.958,,,,schreiben (Gruppenbeleg NP208)
"Titibul Creek, Sierra Leone",0.85,0.77,1.033,0.913,1.049,,,,schreiben (Gruppenbeleg NP208)
"Falcon Point, Sierra Leone",0.88,0.85,1.011,0.968,1.017,,,,schreiben (Gruppenbeleg NP208)
"Governor Hill Point, Sierra Leone",1.0,0.92,1.027,0.925,1.042,,,,schreiben (Gruppenbeleg NP208)
"Bonthe, Sierra Leone",0.62,0.69,0.963,1.131,0.947,,,,schreiben (Gruppenbeleg NP208)
"Shebar Entrance, Sierra Leone",0.31,0.05,1.39,0.541,1.722,,,,schreiben (Gruppenbeleg NP208)
"Gallinas River, Sierra Leone",0.35,0.05,1.404,0.534,1.75,,,,schreiben (Gruppenbeleg NP208)
"Robertsport (Cape Mount), Liberia",0.23,0.05,1.351,0.564,1.643,,,,schreiben (Gruppenbeleg NP208)
"Greenville (Sinoe Bay), Liberia",0.35,0.31,1.04,0.896,1.061,,,,schreiben (Gruppenbeleg NP208)
"King Williams Point, Liberia",0.39,0.16,1.243,0.633,1.418,,,,schreiben (Gruppenbeleg NP208)
"Subbubo Point (Chankali), Liberia",0.39,0.16,1.243,0.633,1.418,,,,schreiben (Gruppenbeleg NP208)
"Tabou, Ivory Coast",0.92,0.67,1.095,0.805,1.157,,,,schreiben (Gruppenbeleg NP208)
"San Pedro, Ivory Coast",0.77,1.0,0.912,1.369,0.87,0.0,5.11,4.59,schreiben
"Sassandra, Ivory Coast",0.77,1.0,0.912,1.369,0.87,0.0,4.67,3.88,schreiben
"Grand Lahou, Ivory Coast",1.08,1.0,1.024,0.938,1.038,,,,schreiben (Gruppenbeleg NP208)
"Axim, Ghana",1.16,1.17,0.997,1.008,0.996,,,,schreiben (Gruppenbeleg NP208)
"Dixcove, Ghana",1.16,1.17,0.997,1.008,0.996,,,,schreiben (Gruppenbeleg NP208)
"Cape Coast, Ghana",1.16,1.17,0.997,1.008,0.996,,,,schreiben (Gruppenbeleg NP208)
"Accra, Ghana",1.16,1.17,0.997,1.008,0.996,,,,schreiben (Gruppenbeleg NP208)
"Ada Foah (Volta River), Ghana",1.15,1.0,1.044,0.891,1.07,,,,schreiben (Gruppenbeleg NP208)
"Cotonou, Benin",1.23,1.15,1.023,0.936,1.034,0.0,6.28,6.59,behalten
"Lagos Bar, Nigeria",0.78,0.56,1.105,0.774,1.164,0.0,10.32,9.86,schreiben
"Badagry Creek, Nigeria",0.66,0.56,1.053,0.867,1.082,,,,schreiben (Gruppenbeleg NP208)
"Youngtown (Hely Creek / Benin River), Nigeria",0.66,0.12,1.375,0.549,1.692,,,,schreiben (Gruppenbeleg NP208)
"Koko (Benin River), Nigeria",0.66,0.12,1.375,0.549,1.692,,,,schreiben (Gruppenbeleg NP208)
"Sapele (Benin River), Nigeria",0.66,0.56,1.053,0.867,1.082,,,,schreiben (Gruppenbeleg NP208)
"Ogidigbe (Escravos River mouth), Nigeria",1.2,1.15,1.017,0.928,1.021,,,,schreiben (Gruppenbeleg NP208)
"Madagho (Escravos River), Nigeria",1.0,0.85,1.063,0.785,1.081,,,,schreiben (Gruppenbeleg NP208)
"Rugged Point (Escravos River), Nigeria",0.8,0.85,0.976,1.127,0.97,,,,schreiben (Gruppenbeleg NP208)
"Forcados River Bar (Niger Delta), Nigeria",1.2,1.15,1.017,0.928,1.021,,,,schreiben (Gruppenbeleg NP208)
"Forcados (Forcados River), Nigeria",1.1,1.0,1.037,0.857,1.048,,,,schreiben (Gruppenbeleg NP208)
"Burutu (Forcados River), Nigeria",1.1,1.0,1.037,0.857,1.048,,,,schreiben (Gruppenbeleg NP208)
"Brass (Brass River), Nigeria",0.73,0.58,1.074,0.827,1.115,,,,schreiben (Gruppenbeleg NP208)
"New Calabar River Bar, Nigeria",0.57,0.16,1.317,0.578,1.562,,,,schreiben (Gruppenbeleg NP208)
"Percival Point, Nigeria",0.84,0.68,1.069,0.834,1.105,,,,schreiben (Gruppenbeleg NP208)
"Bakana (New Calabar River), Nigeria",0.95,0.79,1.06,0.851,1.092,,,,schreiben (Gruppenbeleg NP208)
"Bonny River Approaches, Nigeria",0.79,0.68,1.05,0.872,1.075,,,,schreiben (Gruppenbeleg NP208)
"Bonny River Bar (Niger River Delta), Nigeria",0.95,0.89,1.022,0.938,1.033,,,,schreiben (Gruppenbeleg NP208)
"Port Harcourt (Bonny River), Nigeria",1.27,1.42,0.962,1.139,0.944,,,,schreiben (Gruppenbeleg NP208)
"Opobo River Entrance (Sandy Point), Nigeria",1.0,0.79,1.076,0.822,1.117,,,,schreiben (Gruppenbeleg NP208)
"Qua Iboe River Entrance, Nigeria",0.84,0.79,1.02,0.942,1.031,,,,schreiben (Gruppenbeleg NP208)
"Calabar River No. 2 Buoy, Nigeria",0.89,0.68,1.086,0.803,1.134,,,,schreiben (Gruppenbeleg NP208)
"Bakassi Bank, Nigeria",1.05,1.0,1.016,0.954,1.024,,,,schreiben (Gruppenbeleg NP208)
