name,bezug,lat,lon,satzname,standard,grundsatz,grund_cm,art,cm,hw,nw,bestand,entscheidung,grund,loeschen,loeschen_n,fes
Aproximação ao porto,BEIRA,-19.9333,37.3,,,,,,,,,,nicht,Laenge 37 18.0 E liegt 250 km vor Beira (Druckfehler),,,
Barra Cuama,CHINDE,-18.9017,36.3117,"Barra Cuama, Mozambique",Chinde,"harmonics-1997-05-25_mod.txt|Chinde (Zambezi River), Mozambique",5.6,nachgefuehrt,5.6,0,0,,neu,,,0,Buch -10 / FES -3 min: FES hier nicht brauchbar
Bóia de espera,MORRUBUNE,-18.0983,36.9867,"Bóia de espera (Barra de Quelimane), Mozambique",Ponta Tangalane (Barra de Quelimane),"harmonics_att_np203.txt|Morrubune (Rio dos Bons Sinais mouth), Mozambique (an die IH-Tafel nachgefuehrt)",3.0,uebertragen,3.0,0,0,,neu,,,0,Buch -20 / FES -69 min: FES hier nicht brauchbar
Barra,MORRUBUNE,-18.0833,36.9833,"Barra de Quelimane, Mozambique",Ponta Tangalane (Barra de Quelimane),"harmonics_att_np203.txt|Morrubune (Rio dos Bons Sinais mouth), Mozambique (an die IH-Tafel nachgefuehrt)",3.0,uebertragen,3.0,0,0,,neu,,,0,Buch -20 / FES -68 min: FES hier nicht brauchbar
Ponta Olinda,MORRUBUNE,-18.0533,36.9683,"Ponta Olinda (Quelimane), Mozambique",Ponta Tangalane (Barra de Quelimane),"harmonics_att_np203.txt|Morrubune (Rio dos Bons Sinais mouth), Mozambique (an die IH-Tafel nachgefuehrt)",3.0,uebertragen,3.0,0,0,,neu,,,0,Buch -10 / FES -66 min: FES hier nicht brauchbar
Salinas,MORRUBUNE,-17.96,36.8967,"Salinas (Rio dos Bons Sinais), Mozambique",Ponta Tangalane (Barra de Quelimane),"harmonics_att_np203.txt|Morrubune (Rio dos Bons Sinais mouth), Mozambique (an die IH-Tafel nachgefuehrt)",3.0,uebertragen,3.2,0,0,,neu,,,0,Buch +10 / FES +141 min: FES hier nicht brauchbar
Canal Quelimane-Sal,MORRUBUNE,-18.0117,36.9083,"Canal Quelimane-Sal, Mozambique",Ponta Tangalane (Barra de Quelimane),"harmonics_att_np203.txt|Morrubune (Rio dos Bons Sinais mouth), Mozambique (an die IH-Tafel nachgefuehrt)",3.0,uebertragen,3.0,0,0,,neu,,,0,Buch +0 / FES +119 min: FES hier nicht brauchbar
Minazene,MORRUBUNE,-17.91,36.9117,"Minazene, Mozambique",Ponta Tangalane (Barra de Quelimane),"harmonics_att_np203.txt|Morrubune (Rio dos Bons Sinais mouth), Mozambique (an die IH-Tafel nachgefuehrt)",3.0,uebertragen,3.3,0,0,,neu,,,0,Buch +20 / FES +146 min: FES hier nicht brauchbar
Porto de Quelimane,MORRUBUNE,-17.88,36.8817,"Porto de Quelimane, Mozambique",Ponta Tangalane (Barra de Quelimane),"harmonics_att_np203.txt|Morrubune (Rio dos Bons Sinais mouth), Mozambique (an die IH-Tafel nachgefuehrt)",3.0,nachgefuehrt,3.3,0,0,"harmonics_att_np203.txt|Quelimane, Mozambique [A 0.8 km] Tafel 20.0 cm -3/-13, Kurve 2.3 % ; harmonics-1997-05-25_mod.txt|Quelimane, Mozambique [A 0.8 km] Tafel 12.0 cm -12/-1, Kurve 2.1 % ; harmonics_noaa_cptt.txt|Quelimane, Mozambique [- 0.8 km] Tafel 15.4 cm -17/-7, Kurve 3.1 %",nicht,"Bestand am Ort gleichwertig: harmonics_att_np203.txt|Quelimane, Mozambique",,,Buch +30 / FES +146 min: FES hier nicht brauchbar
Macuse,MORRUBUNE,-17.7217,37.1883,"Macuse, Mozambique",Ponta Tangalane (Barra de Quelimane),"harmonics_att_np203.txt|Morrubune (Rio dos Bons Sinais mouth), Mozambique (an die IH-Tafel nachgefuehrt)",3.0,uebertragen,3.0,0,0,,neu,,,0,Buch +0 / FES -71 min: FES hier nicht brauchbar
Moebase,PEBANE,-17.0683,38.6883,"Moebase, Mozambique",Pebane,"harmonics-1997-05-25_mod.txt|Pebane (Rio Moniga), Mozambique",5.1,uebertragen,4.5,-1,0,,neu,,,0,Buch -6 / FES -2 min: FES hier nicht brauchbar
Casuarina,PEBANE,-17.1183,39.07,"Casuarina, Mozambique",Pebane,"harmonics-1997-05-25_mod.txt|Pebane (Rio Moniga), Mozambique",5.1,uebertragen,4.5,-1,0,,neu,,,0,Buch -16 / FES -8 min: FES hier nicht brauchbar
