name,bezug,lat,lon,satzname,standard,grundsatz,grund_cm,art,cm,hw,nw,bestand,entscheidung,grund,loeschen,loeschen_n,fes
Vagueira,AVEIRO,40.5617,-8.7583,"Vagueira (Canal de Mira), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,16.2,2,-3,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Areão,AVEIRO,40.51,-8.7767,,,,,,,,,,nicht,Zeitkorrektur fehlt,,,
S. Martinho do Porto,FIGUEIRA DA FOZ,39.5117,-9.14,"S. Martinho do Porto, Portugal",Figueira da Foz,"harmonics_utide_tidetables.txt|Figueira da Foz, Portugal",4.0,nachgefuehrt,4.0,0,0,"harmonics_utide_tidetables.txt|São Martinho do Porto, Portugal [B 0.0 km] Tafel 4.1 cm -2/+0, Kurve 0.4 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|São Martinho do Porto, Portugal",,,
Nazaré,PENICHE,39.585,-9.075,"Nazaré, Portugal",Peniche,IH-Konstanten,5.1,uebertragen,5.1,-1,0,"harmonics_noaa_eutt.txt|Nazaré, Portugal [- 0.1 km] Tafel 7.5 cm +15/+15, Kurve 3.3 % ; harmonics_ticon4_worldwide.txt|Nazaré, Portugal [A 0.1 km] Tafel 6.5 cm +6/+3, Kurve 2.2 % ; harmonics_utide_observations.txt|Nazaré, Portugal [A 0.1 km] Tafel 5.5 cm +6/+3, Kurve 2.0 %",nicht,"Bestand am Ort gleichwertig: harmonics_ticon4_worldwide.txt|Nazaré, Portugal",,,
Ericeira,CASCAIS,38.965,-9.4217,"Ericeira, Portugal",Cascais,"harmonics_ticon4_worldwide.txt|Cascais, Portugal",4.6,nachgefuehrt,3.3,0,0,"harmonics_utide_tidetables.txt|Ericeira, Portugal [B 0.0 km] Tafel 5.8 cm +2/+3, Kurve 0.9 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Ericeira, Portugal",,,
Paço de Arcos,LISBOA,38.6917,-9.2933,"Paço de Arcos, Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,4.9,0,0,"harmonics_att_np208.txt|Paço de Arcos, Portugal [A 0.5 km] Tafel 8.0 cm +1/+6, Kurve 1.0 %",nicht,"Bestand am Ort gleichwertig: harmonics_att_np208.txt|Paço de Arcos, Portugal",,,
Pedrouços,LISBOA,38.6933,-9.225,"Pedrouços, Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,uebertragen,4.8,0,1,,neu,,,0,
Trafaria,LISBOA,38.675,-9.2317,"Trafaria, Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,5.0,0,0,,neu,,,0,
Cacilhas,LISBOA,38.6883,-9.1483,"Cacilhas, Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,4.9,0,0,,neu,,,0,
Arsenal do Alfeite,LISBOA,38.6717,-9.1483,"Arsenal do Alfeite, Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,4.8,0,0,,neu,,,0,
