name_a,name_b,begruendung,km,kurve_prozent,dt_h,guete,namensueberlappung,spur,haufen,datei_a,datei_b,Neuer gemeinsamer Name
"Bulbinbeg, Ireland","Malin Head, Ireland",,0.00,5.4,+0.12,1000,0.00,N,1401,harmonics_utide_tidetables.txt,harmonics_utide_observations.txt,
"Porto de Leixoes (Matosinhos), Portugal","Porto de Leixões (Matosinhos), Portugal",,0.00,6.2,+0.12,1000,1.00,N,2007,harmonics_utide_observations.txt,harmonics_noaa_eutt.txt,
"Bulbinbeg, Ireland","Malin Head - Portmore Pier, Ireland",,0.00,6.3,+0.13,1000,0.00,N,1401,harmonics_utide_tidetables.txt,harmonics_utide_observations.txt,
"Luderitz Bay, Namibia","Lüderitz, Namibia",,0.00,6.8,-0.17,996,1.00,N,1377,harmonics_ticon4_worldwide.txt,harmonics_att_np208_secondary.txt,
"Bugatti Reef, Queensland, Australia","Whitetip Reef Rear, Queensland, Australia",,0.00,7.3,+0.33,998,0.67,N,317,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Bolama, Guinea-Bissau","Porto de Bolama, Guinea-Bissau",,0.00,7.8,+0.03,984,1.00,N,281,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"St. Helier, Bailiwick of Jersey, Channel Islands","St. Helier, Jersey, Channel Islands",,0.00,7.8,-0.07,998,1.00,N,2402,harmonics_noaa_eutt.txt,harmonics_utide_observations.txt,
"Port Navalo, Morbihan entrance, France","Port-Navalo, France",,0.00,8.5,-0.07,1000,1.00,N,1992,harmonics_noaa_eutt.txt,harmonics_utide_tidetables.txt,
"Grande-Île (Îles Chausey), France","Îles Chausey, France",,0.00,8.6,+0.10,997,1.00,N,820,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Luderitz, Namibia","Lüderitz, Namibia",,0.00,8.9,-0.28,996,1.00,N,1377,harmonics_utide_observations.txt,harmonics_att_np208_secondary.txt,
