Quelle;Station;Typ;Lat;Lon;Referenz-Quelle;Referenz-Station;Match-Typ;Distanz_km;Ø_Zeitdiff_min;Ø_Höhendiff_m;N_Events;Status
Classic 1997;Le Havre-Antifer (Terminal pétrolier), France;Ref;49.65;0.15;;;;;;;;Keine Referenz gefunden
Classic 1997;Leith, Scotland, United Kingdom;Ref;55.9833;-3.1667;UTide UK;Leith, England, United Kingdom;Proximity (1.2km);1.2;-11.2;0.171;8;OK
Classic 1997;Les Hattes, Rio Maroni entrance, French Guiana;Ref;5.75;-53.9667;;;;;;;;Keine Referenz gefunden
Classic 1997;Libreville, Gabon;Ref;0.4031;9.4324;;;;;;;;Keine Referenz gefunden
Classic 1997;Lifuka, Ha`apai Group, Tonga;Ref;-19.8;-174.3333;;;;;;;;Keine Referenz gefunden
Classic 1997;Lisboa, Portugal;Ref;38.7;-9.1333;;;;;;;;Keine Referenz gefunden
Classic 1997;Little Inagua Island, Bahamas;Ref;21.45;-73.0167;;;;;;;;Keine Referenz gefunden
Classic 1997;Lomé, Togo;Ref;6.1167;1.2167;;;;;;;;Keine Referenz gefunden
Classic 1997;London Bridge, England, United Kingdom;Ref;51.5076;-0.0878;;;;;;;;Keine Referenz gefunden
Classic 1997;Londonderry, Northern Ireland, United Kingdom, United Kingdom;Ref;55.0;-7.3167;;;;;;;;Keine Referenz gefunden
Classic 1997;Longyearbyen, Spitsbergen, Norway;Ref;78.2167;15.6333;;;;;;;;Keine Referenz gefunden
Classic 1997;Luanda, Angola;Ref;-8.7833;13.2333;;;;;;;;Keine Referenz gefunden
Classic 1997;Luba (Bioko), Equatorial Guinea;Ref;3.4612;8.5552;;;;;;;;Keine Referenz gefunden
Classic 1997;Lushun, China;Ref;38.8;121.25;;;;;;;;Keine Referenz gefunden
Classic 1997;Macau, Rio Acu, Brazil;Ref;-5.1167;-36.6333;;;;;;;;Keine Referenz gefunden
Classic 1997;Maceió, Brazil;Ref;-9.6833;-35.7167;;;;;;;;Keine Referenz gefunden
Classic 1997;Madras, India;Ref;13.1;80.3;;;;;;;;Keine Referenz gefunden
Classic 1997;Madre de Deus, Brazil;Ref;-12.7535;-38.6226;;;;;;;;Keine Referenz gefunden
Classic 1997;Makung, China;Ref;23.55;119.55;;;;;;;;Keine Referenz gefunden
