# NP203 Ausgabe 2002, Part III (Harmonic Constants) -- Suedchinesisches Meer
# und Indonesien, also der Bereich, den die Ausgabe 2015 nicht mehr enthaelt.
# Von den Scanseiten in tide_tables/att/np203_2002_vollband.pdf abgelesen
# (PDF-Seite = Buchseite - 164). Zahlen visuell gelesen, die OCR ist hier
# unbrauchbar (nur 101 von 849 Zeilen parsebar).
#
# Spalten (Tab-getrennt):
#   att  name  zone  z0  gM2 HM2  gS2 HS2  gK1 HK1  gO1 HO1  f4 F4  f6 F6
# z0 in Metern ueber Kartennull; "w" = Table VI (Wert aus Part II holen).
# Leere Flachwasserspalten stehen als "-".
# Zeilen mit "v" (grosse jahreszeitliche Schwankung) stehen mit dem Mittel
# aus der Monatstabelle derselben Buchseite drin; das ist jeweils vermerkt.
#
# STAND: vollstaendig. Buchseiten 322-338, 791 Stationen,
# att 4495-5542 sowie 6851-7050 (Thailand/Vietnam/China haben im Band einen
# eigenen Nummernblock). Positionen dazu in np203_2002_part2_scs_pos.tsv.
#
# PRUEFSTAND: einmal gelesen, Format maschinell geprueft (Phasen 000-359,
# Amplituden < 4 m, keine Dubletten). Die OCR taugt als Gegenprobe nicht (sie
# trifft im Schnitt nur 4 von 9 Zahlen je Zeile). Stattdessen gegen die
# unabhaengigen Sammlungen geprueft: 421 Stationen liegen naeher als 3 km an
# einer Station aus classic/ticon/utide/noaa; nach Umrechnung auf den
# GMT-Meridian betraegt die mittlere Abweichung 0.03 m in der M2-Amplitude
# und 4.6 Grad in der Phase. Bei classic, classic_original und TICON (71
# Paare) weicht keine einzige Phase um mehr als 60 Grad ab.
#
# att	name	zone	z0	gM2	HM2	gS2	HS2	gK1	HK1	gO1	HO1	f4	F4	f6	F6
# ===== Buchseite 322 -- INDIA EAST COAST; BANGLADESH; BURMA =====
4630	Pak Nam Ranong	-0700	2.34	291	1.06	325	0.56	311	0.11	292	0.06	-	-	-	-
4632	Ko Surin	-0700	1.50	295	0.82	336	0.41	333	0.15	304	0.06	-	-	-	-
4634	Chang Ko Phra Thong	-0700	1.40	293	0.90	337	0.40	330	0.10	281	0.10	-	-	-	-
4636	Ko Miang	-0700	1.40	290	0.70	336	0.40	330	0.10	276	0.10	-	-	-	-
4637	Klong Thung Maphrao	-0700	1.40	291	0.72	334	0.35	330	0.12	276	0.06	-	-	-	-
4639	Ko Taphao Noi (Phuket)	-0700	2.29	303	0.79	346	0.40	330	0.13	289	0.05	115	0.021	256	0.005
4640	Ao Nang (Krabi)	-0700	2.10	294	0.83	326	0.55	310	0.10	293	0.05	-	-	-	-
4643	Pak Nam Trang	-0700	1.85	320	0.87	004	0.51	329	0.10	309	0.06	-	-	-	-
4646	Goh Pe-Tra (Pulau Kapai)	-0700	1.52	310	0.81	353	0.44	333	0.15	278	0.04	-	-	-	-
4648	Goh Don (North Cone Island)	-0700	1.84	312	0.83	358	0.45	338	0.16	290	0.06	-	-	-	-
4649	Pulau Lela	-0700	1.88	315	0.85	000	0.49	329	0.19	273	0.05	115	0.022	-	-
4649a	Ko Koi Noi	-0700	2.07	325	0.82	358	0.51	328	0.15	276	0.06	-	-	-	-
4650	Ko Butang	-0800	1.70	341	0.70	027	0.40	351	0.20	296	0.10	-	-	-	-
4654	Pelabuhan Kuah	-0800	1.75	001	0.73	046	0.41	356	0.18	295	0.05	-	-	-	-
4655	Pulau Beras Basah	-0800	1.72	357	0.69	037	0.37	000	0.18	285	0.05	-	-	-	-
4657	Teluk Ewa	-0800	1.87	350	0.81	035	0.45	353	0.17	295	0.05	043	0.022	144	0.006
4658a	Sungai Kedah	-0800	1.60	009	0.70	054	0.40	358	0.20	292	0.10	-	-	-	-
4659	Pulau Bidan	-0800	1.56	009	0.64	058	0.41	354	0.21	320	0.05	-	-	-	-
4660	Tanjung Dawai	-0800	1.60	015	0.68	061	0.39	008	0.20	311	0.04	-	-	-	-
4663	Pinang (Bandar Raya Georgetown)	-0800	1.57	025	0.62	068	0.37	357	0.20	293	0.05	245	0.069	166	0.061
4664	Pulau Rimau	-0800	1.37	038	0.53	079	0.29	001	0.22	272	0.04	-	-	-	-
4670	Port Weld	-0800	1.20	064	0.60	107	0.30	349	0.20	264	0.10	-	-	-	-
4674	Lumut Pier	-0800	1.59	114	0.74	156	0.35	008	0.22	274	0.03	207	0.019	075	0.029
4678	Bagan Datoh	-0800	1.67	125	0.79	173	0.39	014	0.21	294	0.03	267	0.063	-	-
4679	Teluk Intan	-0800	2.65	151	0.93	200	0.64	029	0.24	140	0.09	273	0.065	-	-
4683	Sungai Selangor	-0800	2.70	156	1.33	211	0.62	043	0.16	099	0.10	262	0.032	-	-
4684	Pulau Angsa	-0800	3.13	147	1.30	202	0.66	033	0.21	335	0.01	187	0.024	090	0.014
# ===== Buchseite 325 -- MALAYSIA WEST AND SOUTH COASTS; SINGAPORE TO LINGGA =====
4686	Pelabuhan Klang	-0800	3.21	156	1.37	205	0.69	026	0.19	161	0.04	227	0.029	092	0.021
4688	Pintu Gedong	-0800	2.71	165	1.22	215	0.60	035	0.13	200	0.05	301	0.020	-	-
4689	One Fathom Bank	-0800	2.44	154	1.25	204	0.62	027	0.17	161	0.05	-	-	-	-
4690	Pulau Jemur	-0800	2.44	142	1.28	187	0.62	352	0.25	184	0.04	233	0.015	-	-
4693	Tanjung Gabang	-0800	1.83	176	1.01	226	0.51	048	0.08	150	0.13	304	0.029	-	-
4695	Port Dickson	-0800	1.50	192	0.83	241	0.42	094	0.05	149	0.17	315	0.056	176	0.032
4696	Cape Rachado	-0800	1.53	197	0.74	247	0.36	108	0.09	159	0.21	-	-	-	-
4698	Tanjung Keling	-0800	1.48	229	0.61	276	0.30	148	0.09	145	0.21	307	0.075	198	0.053
4699	Melaka	-0800	1.22	239	0.60	286	0.28	144	0.06	144	0.21	303	0.081	-	-
4701	Pulau Undan	-0800	1.27	249	0.66	301	0.32	170	0.12	141	0.20	284	0.093	-	-
4702	Muar	-0800	1.19	264	0.63	314	0.30	164	0.14	148	0.23	276	0.128	-	-
4703	Parit Jawa	-0800	1.45	273	0.65	325	0.32	146	0.10	117	0.16	-	-	-	-
4704	Kuala Batu Pahat	-0800	1.50	291	0.80	342	0.36	165	0.19	136	0.26	276	0.067	103	0.026
4705	Tanjung Laboh	-0800	1.76	305	0.78	344	0.41	157	0.28	129	0.20	274	0.079	-	-
4707	Pulau Pisang	-0800	1.80	314	0.93	006	0.42	166	0.24	127	0.26	271	0.072	155	0.026
4707a	Kukup	-0800	1.80	324	0.92	018	0.43	162	0.26	119	0.25	264	0.062	155	0.043
4713a	Johor Bahru (East Side of Causeway)	-0800	1.87	326	0.86	023	0.34	103	0.30	051	0.30	082	0.079	292	0.034
4713b	Johor Port	-0800	2.10	326	0.87	014	0.34	103	0.29	054	0.29	074	0.059	311	0.026
4714	Sultan Shoal	-0800	1.69	333	0.87	027	0.39	159	0.26	106	0.24	299	0.057	167	0.032
4716	Pulau Bukom	-0800	1.55	333	0.83	029	0.36	139	0.26	084	0.24	331	0.043	200	0.017
4717	Raffles Lighthouse	-0800	1.64	333	0.83	028	0.37	147	0.27	091	0.25	318	0.046	-	-
4718	Tanjong Pagar	-0800	1.66	325	0.80	020	0.33	116	0.30	061	0.29	006	0.018	227	0.024
4718b	Jurong Wharf	-0800	1.65	332	0.85	027	0.38	143	0.27	090	0.24	317	0.047	183	0.016
4718c	Pasir Panjang	-0800	1.80	331	0.84	026	0.37	143	0.26	088	0.24	298	0.045	186	0.018
4719	Angler Bank	-0800	1.67	321	0.75	018	0.29	105	0.28	051	0.29	-	-	-	-
4725	Sembawang Shipyard	-0800	1.87	325	0.85	023	0.33	103	0.31	050	0.30	077	0.067	303	0.022
