# NP203 Ausgabe 2002, Part III (Harmonic Constants) -- Suedchinesisches Meer
# und Indonesien, also der Bereich, den die Ausgabe 2015 nicht mehr enthaelt.
# Von den Scanseiten in tide_tables/att/np203_2002_vollband.pdf abgelesen
# (PDF-Seite = Buchseite - 164). Zahlen visuell gelesen, die OCR ist hier
# unbrauchbar (nur 101 von 849 Zeilen parsebar).
#
# Spalten (Tab-getrennt):
#   att  name  zone  z0  gM2 HM2  gS2 HS2  gK1 HK1  gO1 HO1  f4 F4  f6 F6
# z0 in Metern ueber Kartennull; "w" = Table VI (Wert aus Part II holen).
# Leere Flachwasserspalten stehen als "-".
# Zeilen mit "v" (grosse jahreszeitliche Schwankung) stehen mit dem Mittel
# aus der Monatstabelle derselben Buchseite drin; das ist jeweils vermerkt.
#
# STAND: vollstaendig. Buchseiten 322-338, 791 Stationen,
# att 4495-5542 sowie 6851-7050 (Thailand/Vietnam/China haben im Band einen
# eigenen Nummernblock). Positionen dazu in np203_2002_part2_scs_pos.tsv.
#
# PRUEFSTAND: einmal gelesen, Format maschinell geprueft (Phasen 000-359,
# Amplituden < 4 m, keine Dubletten). Die OCR taugt als Gegenprobe nicht (sie
# trifft im Schnitt nur 4 von 9 Zahlen je Zeile). Stattdessen gegen die
# unabhaengigen Sammlungen geprueft: 421 Stationen liegen naeher als 3 km an
# einer Station aus classic/ticon/utide/noaa; nach Umrechnung auf den
# GMT-Meridian betraegt die mittlere Abweichung 0.03 m in der M2-Amplitude
# und 4.6 Grad in der Phase. Bei classic, classic_original und TICON (71
# Paare) weicht keine einzige Phase um mehr als 60 Grad ab.
#
# att	name	zone	z0	gM2	HM2	gS2	HS2	gK1	HK1	gO1	HO1	f4	F4	f6	F6
# ===== Buchseite 322 -- INDIA EAST COAST; BANGLADESH; BURMA =====
5146	Kuala Baram	-0800	0.90	335	0.17	010	0.08	319	0.35	269	0.30	-	-	-	-
5147	Miri	-0800	1.17	348	0.15	019	0.07	325	0.35	276	0.31	-	-	-	-
5148	Kuala Niah	-0800	1.18	347	0.17	022	0.09	319	0.37	266	0.34	-	-	-	-
5149	Kuala Similajau	-0800	1.16	036	0.13	036	0.07	323	0.39	270	0.35	-	-	-	-
5149a	Teluk Plan (Pelabuhan Bintulu)	-0800	1.42	051	0.17	054	0.06	319	0.42	269	0.35	322	0.496	100	1.034
5150	Kuala Bintulu	-0800	1.36	058	0.16	050	0.05	326	0.47	277	0.32	-	-	-	-
5151	Kuala Tatau	-0800	1.28	056	0.17	041	0.04	322	0.40	270	0.34	-	-	-	-
5152	Kuala Balingian	-0800	1.38	075	0.19	090	0.04	324	0.39	278	0.32	-	-	-	-
5153	Kuala Mukah	-0800	1.61	096	0.34	128	0.07	328	0.42	277	0.34	-	-	-	-
5153a	Kenyana	-0800	1.47	161	0.25	212	0.06	359	0.36	295	0.26	-	-	-	-
5153b	Kuala Oya	-0800	1.59	102	0.37	136	0.10	337	0.41	277	0.38	-	-	-	-
5154	Igan	-0800	1.60	108	0.49	147	0.12	335	0.42	274	0.32	-	-	-	-
5154a	Kut	-0800	1.69	147	0.50	181	0.10	349	0.42	283	0.33	-	-	-	-
5154b	Rantau Panjang	-0800	2.93	205	0.59	248	0.07	019	0.34	298	0.24	297	0.136	-	-
5155	Kuala Matu	-0800	2.09	118	0.63	172	0.16	334	0.46	280	0.32	-	-	-	-
5155a	Daro	-0800	2.40	145	1.00	211	0.22	345	0.44	291	0.35	-	-	-	-
5155c	Singat	-0800	2.68	161	1.25	267	0.16	356	0.51	296	0.23	-	-	-	-
5156	Kuala Paloh	-0800	2.65	114	1.09	176	0.30	337	0.45	288	0.35	-	-	-	-
5157	Rajang	-0800	3.11	121	1.42	175	0.44	345	0.47	286	0.38	-	-	-	-
5157a	Tanjung Mani	-0800	3.36	129	1.53	185	0.48	342	0.49	284	0.38	-	-	-	-
5158	Sarikei	-0800	2.93	142	1.48	200	0.45	349	0.54	293	0.38	-	-	-	-
5158a	Leba An	-0800	2.82	177	1.08	250	0.29	001	0.44	304	0.31	-	-	-	-
5159	Sibu	-0800	2.41	212	0.68	276	0.15	019	0.32	316	0.23	-	-	-	-
5159a	Kanowit	-0800	0.93	276	0.35	338	0.08	049	0.19	333	0.14	-	-	-	-
5160	Kabong	-0800	3.33	124	1.25	184	0.43	340	0.61	262	0.36	-	-	-	-
5162	Pusa	-0800	4.07	140	1.94	205	0.52	352	0.59	296	0.37	-	-	-	-
5164	Triso Darat	-0800	3.50	143	1.70	213	0.52	351	0.41	313	0.33	308	0.044	-	-
5164a	Simanggang	-0800	2.22	196	1.09	254	0.36	005	0.24	307	0.10	322	0.305	267	0.078
5170	Pending	-0800	3.42	127	1.61	181	0.50	343	0.51	289	0.36	-	-	-	-
5171a	Batu Kitang	-0800	1.75	196	0.87	259	0.23	017	0.20	297	0.18	-	-	-	-
5172	Pulau Lakei	-0800	3.10	113	1.35	164	0.42	336	0.48	287	0.37	-	-	-	-
5173	Santubong	-0800	2.90	116	1.30	172	0.39	338	0.44	292	0.35	-	-	-	-
5174	Pulau Satang Besar	-0800	2.58	112	1.21	172	0.37	342	0.45	291	0.34	-	-	-	-
5174a	Kuala Lundu	-0800	2.43	123	1.09	181	0.33	344	0.37	302	0.32	-	-	-	-
5174b	Pasar Lundu	-0800	2.66	144	1.05	200	0.33	359	0.41	303	0.29	-	-	-	-
5175	Sematan	-0800	2.66	115	1.14	166	0.31	342	0.47	287	0.31	-	-	-	-
5176	Tanjung Serabang	-0800	2.53	110	1.08	158	0.35	338	0.41	287	0.33	-	-	-	-
# ===== Buchseite 332 -- TUDJUH KEPULAUAN; KALIMANTAN =====
5177	Selat Peninting	-0700	1.00	238	0.19	283	0.06	358	0.39	314	0.29	-	-	-	-
5177a	Impul Passage	-0700	1.00	208	0.20	252	0.10	003	0.40	320	0.30	-	-	-	-
5178	Pulau Laut	-0700	0.70	056	0.09	056	0.04	333	0.36	269	0.18	-	-	-	-
5179	Sedanau	-0700	1.00	088	0.20	128	0.07	340	0.38	311	0.28	-	-	-	-
5180	Subi Kecil	-0700	1.40	080	0.50	124	0.14	335	0.35	289	0.24	-	-	-	-
5181	Pelabuhan Serasan	-0700	1.40	077	0.65	136	0.28	317	0.09	301	0.15	-	-	-	-
5182	Malu	-0700	0.80	080	0.45	103	0.15	326	0.08	317	0.10	-	-	-	-
5185	Teluk Tambelan	-0700	0.60	102	0.09	150	0.04	093	0.20	024	0.23	-	-	-	-
5187	Tebon	-0700	0.70	176	0.05	128	0.03	114	0.28	031	0.27	-	-	-	-
5189	Tanjung Datu	-0700	1.90	088	0.90	111	0.17	320	0.35	242	0.15	-	-	-	-
5190	Sungai Paloh	-0700	1.30	077	0.60	126	0.25	341	0.27	282	0.14	-	-	-	-
5191	Pemangkat	-0700	0.60	096	0.26	169	0.05	050	0.14	356	0.16	-	-	-	-
5193	Pulau Temaju	-0700	0.80	106	0.17	156	0.09	119	0.31	041	0.27	-	-	-	-
5194	Pontianak Outer Bar (Kleine Kapoeas)	-0700	0.90	127	0.16	150	0.09	124	0.39	056	0.32	-	-	-	-
5195	Pontianak	-0700	0.80	161	0.12	172	0.06	138	0.32	056	0.24	-	-	-	-
5196	Tanjung Saleh	-0700	0.80	126	0.09	143	0.10	146	0.24	065	0.16	-	-	-	-
5200	Sukadana	-0700	1.19	312	0.16	323	0.13	141	0.66	084	0.42	-	-	-	-
5201	Sungai Pawan (Tanjung Bawang)	-0700	1.10	309	0.18	332	0.13	142	0.50	087	0.38	-	-	-	-
5204	Tanjung Kuala Jelai	-0700	0.50	201	0.12	143	0.03	326	0.16	222	0.10	-	-	-	-
5205	Kuala Sapu	-0700	1.00	178	0.22	116	0.06	325	0.36	229	0.16	-	-	-	-
5207	Sungai Aru Tobal	-0700	0.70	185	0.21	113	0.06	328	0.33	249	0.21	-	-	-	-
5208	Kuala Pembuang	-0700	1.30	157	0.24	038	0.06	310	0.41	261	0.21	-	-	-	-
5209	Sampit Baai	-0700	1.40	149	0.49	053	0.11	336	0.60	264	0.31	-	-	-	-
5210	Pegatan	-0700	1.30	147	0.42	066	0.12	313	0.62	266	0.34	-	-	-	-
5211	Tanjung Damaran	-0800	1.50	161	0.42	089	0.06	340	0.67	282	0.37	-	-	-	-
5212	Pangkoh	-0800	1.50	205	0.39	172	0.06	015	0.47	296	0.36	-	-	-	-
5214	Sungai Barito (Outer Bar)	-0800	1.60	152	0.34	081	0.05	340	0.64	281	0.33	-	-	-	-
5215	Banjermasin	-0800	1.30	189	0.31	136	0.05	000	0.59	297	0.32	-	-	-	-
5216	Sungai Tabanio	-0800	1.30	161	0.23	026	0.05	342	0.55	284	0.26	-	-	-	-
5219	Kampungbaru	-0800	1.40	159	0.37	224	0.49	344	0.41	308	0.14	-	-	-	-
5221	Teluk Klumpeng	-0800	1.40	135	0.49	223	0.54	309	0.33	258	0.20	-	-	-	-
5222	Tanjung Pamukan	-0800	1.40	150	0.63	209	0.43	264	0.23	191	0.15	-	-	-	-
5224	Gosong Aru	-0800	2.00	146	0.56	206	0.56	295	0.23	248	0.20	-	-	-	-
5225	Sungai Pasir Outer Bar	-0800	1.40	154	0.64	215	0.51	289	0.28	257	0.18	171	0.044	-	-
5226	Tanahgrogot	-0800	1.40	195	0.67	253	0.50	317	0.34	277	0.17	-	-	-	-
5228	Balikpapan	-0800	1.40	148	0.59	217	0.59	280	0.13	246	0.13	-	-	-	-
5230	Muara Pegah (Outer Bar)	-0800	1.30	147	0.51	208	0.40	279	0.21	255	0.15	-	-	-	-
5232	Muara Bayor (Outer Bar)	-0800	1.40	150	0.46	201	0.33	271	0.19	240	0.14	-	-	-	-
5233	Muara Bayor	-0800	1.40	169	0.59	224	0.43	287	0.24	249	0.15	-	-	-	-
5234	Tanjung Dewa	-0800	1.30	195	0.49	262	0.32	322	0.17	279	0.14	-	-	-	-
5235	Samarinda	-0800	1.30	207	0.42	267	0.26	303	0.18	265	0.22	-	-	-	-
5236	Tanjung Marangkayu	-0800	1.30	152	0.58	218	0.22	271	0.22	245	0.15	-	-	-	-
5237	Berasbasah	-0800	1.30	152	0.64	201	0.42	283	0.19	255	0.14	-	-	-	-
5237a	Lhotuan Approaches	-0800	1.27	156	0.53	209	0.41	280	0.20	252	0.14	-	-	-	-
5238	Teluk Lombok	-0800	1.20	153	0.58	202	0.38	278	0.19	250	0.14	-	-	-	-
5239	Miang Besar	-0800	1.30	149	0.52	206	0.34	291	0.19	257	0.19	-	-	-	-
5240	Benoa Baru	-0800	1.20	160	0.69	218	0.56	276	0.22	246	0.15	-	-	-	-
5244	Tanjung Birai	-0800	1.60	164	0.86	225	0.47	268	0.18	236	0.15	-	-	-	-
5245	Muara Kassei	-0800	1.80	166	0.83	220	0.53	288	0.20	235	0.18	-	-	-	-
5246	Kampung Sokkan	-0800	1.70	192	0.92	250	0.54	282	0.20	249	0.16	291	0.071	-	-
5247	Tanjung Redeb	-0800	1.30	221	0.71	283	0.39	304	0.13	277	0.16	258	0.139	-	-
5249	Tanjung Selor	-0800	0.60	232	0.32	311	0.19	342	0.10	278	0.11	-	-	-	-
5250	Muara Biwan	-0800	1.80	169	0.79	216	0.51	273	0.19	244	0.14	-	-	-	-
5251	Lingkas	-0800	1.70	145	0.87	195	0.52	258	0.20	226	0.15	-	-	-	-
5252	Bunyu	-0800	1.50	195	0.67	220	0.32	281	0.17	251	0.05	-	-	-	-
5254	Karatoeng	-0800	1.00	167	0.53	195	0.26	220	0.17	195	0.13	-	-	-	-
5255	Lirung	-0800	1.00	148	0.44	194	0.31	220	0.16	188	0.10	-	-	-	-
5257	Tahoena	-0800	1.20	148	0.51	198	0.34	260	0.17	214	0.14	-	-	-	-
5258	Menalu	-0800	1.30	150	0.54	200	0.37	248	0.22	227	0.12	-	-	-	-
# ===== Buchseite 333 -- SULAWESI; THE MOLUCCA ISLANDS =====
5260	Menado	-0800	1.20	158	0.56	202	0.35	262	0.16	221	0.16	-	-	-	-
5262	Kwandang Bay	-0800	1.20	155	0.50	200	0.30	273	0.20	220	0.20	-	-	-	-
5264	Teluk Tolitoli	-0800	1.20	151	0.42	197	0.35	285	0.14	218	0.14	-	-	-	-
5267	Donggala	-0800	1.20	151	0.47	209	0.40	278	0.22	231	0.11	-	-	-	-
5268	Tobintah	-0800	0.90	148	0.30	200	0.30	300	0.20	240	0.10	-	-	-	-
5270	Majene	-0800	0.80	144	0.12	192	0.24	312	0.24	250	0.15	-	-	-	-
5271	Teluk Parepare	-0800	0.80	125	0.12	207	0.16	293	0.31	253	0.15	-	-	-	-
5272	Tanjung Lasonrae	-0800	0.80	128	0.13	220	0.22	297	0.25	267	0.20	-	-	-	-
5272a	Pulau Karangrang	-0800	0.90	108	0.13	216	0.17	295	0.32	265	0.20	-	-	-	-
5273	Ujungpandang (Makassar)	-0800	0.90	063	0.08	195	0.11	301	0.28	270	0.17	-	-	-	-
5274	Pulau Sabaru	-0800	0.70	154	0.08	236	0.09	295	0.30	280	0.18	-	-	-	-
5275	Pulau Kalukalukuang	-0800	0.60	116	0.08	208	0.10	306	0.25	241	0.17	-	-	-	-
5276	Pulau Dewakang Besar	-0800	0.60	041	0.11	190	0.13	292	0.21	262	0.14	-	-	-	-
5277	Karang Takarewataya	-0800	0.80	012	0.21	158	0.05	299	0.30	269	0.18	-	-	-	-
5279	Bantaeng	-0800	1.20	349	0.20	115	0.06	299	0.27	267	0.09	-	-	-	-
5280	Benteng	-0800	1.00	355	0.39	066	0.10	300	0.32	272	0.21	-	-	-	-
5282	Pasi Telu Tengah	-0800	1.30	033	0.37	075	0.14	303	0.30	273	0.21	-	-	-	-
5283	Bone Rate	-0800	1.30	001	0.45	057	0.11	294	0.31	282	0.19	-	-	-	-
5286	Kajang	-0800	1.20	354	0.31	092	0.16	305	0.19	258	0.13	-	-	-	-
5289	Kolaka	-0800	1.20	006	0.56	069	0.16	292	0.31	279	0.21	-	-	-	-
5292	Pulau Baleara	-0800	1.40	358	0.56	057	0.18	292	0.37	276	0.19	-	-	-	-
5293	Pulau Galla Besar	-0800	1.40	011	0.68	074	0.23	303	0.35	280	0.20	-	-	-	-
5294	Tampunawu	-0800	1.40	008	0.57	063	0.17	303	0.33	279	0.21	-	-	-	-
5295	Buton	-0800	1.20	007	0.53	071	0.16	311	0.31	281	0.20	-	-	-	-
5296	Bola	-0800	1.40	008	0.50	056	0.14	306	0.27	282	0.21	-	-	-	-
5297	Wadjo Baai	-0800	1.40	009	0.49	089	0.15	304	0.31	277	0.17	-	-	-	-
5302	Lasolo Bay	-0800	1.20	026	0.48	109	0.18	319	0.28	265	0.17	-	-	-	-
5303	Kokoila	-0800	1.20	020	0.54	084	0.17	304	0.28	292	0.19	-	-	-	-
5304	Salabangka	-0800	1.50	021	0.48	086	0.19	304	0.28	285	0.19	-	-	-	-
5305	Bungku	-0800	1.20	000	0.44	067	0.18	293	0.27	259	0.18	-	-	-	-
5306	Lingkobu	-0800	1.20	352	0.47	091	0.17	297	0.30	245	0.18	-	-	-	-
5307	Mumu	-0800	1.10	019	0.44	093	0.14	306	0.32	260	0.14	-	-	-	-
5308	Kintong	-0800	1.00	023	0.30	109	0.18	313	0.26	266	0.18	-	-	-	-
5309	Teluk Lamala	-0800	1.00	026	0.25	120	0.15	285	0.19	250	0.13	-	-	-	-
5312	Teluk Togian	-0800	0.80	111	0.23	173	0.21	257	0.17	231	0.14	-	-	-	-
5314	Tobelombangi	-0800	0.80	110	0.19	189	0.19	274	0.16	235	0.14	-	-	-	-
5315	Poso	-0800	0.80	113	0.23	164	0.23	263	0.16	222	0.12	-	-	-	-
5316	Menelili	-0800	0.80	117	0.21	175	0.18	272	0.22	221	0.15	-	-	-	-
5318	Gorontalo	-0800	0.80	101	0.15	167	0.21	281	0.25	216	0.10	-	-	-	-
5320	Kema	-0800	1.20	143	0.21	180	0.27	255	0.17	238	0.11	-	-	-	-
5321	Bitung	-0800	1.20	150	0.36	195	0.24	263	0.21	227	0.14	353	0.033	-	-
5322	Talisei	-0800	1.20	186	0.55	186	0.35	247	0.18	208	0.11	-	-	-	-
5324	Banggai	-0800	1.00	013	0.31	090	0.15	297	0.27	253	0.16	-	-	-	-
5325	Gela	-0800	1.00	109	0.13	203	0.19	264	0.17	225	0.09	-	-	-	-
5326	Teluk Vesuvius	-0800	1.00	011	0.50	088	0.20	304	0.28	284	0.19	-	-	-	-
5327	Sanana	-0800	1.00	035	0.28	130	0.12	291	0.31	263	0.21	-	-	-	-
5328	Dofa	-0800	1.00	091	0.18	182	0.18	264	0.24	226	0.16	-	-	-	-
# ===== Buchseite 334 -- JAWA; MADURA; BALI; LOMBOK TO FLORES =====
5329	Sangkapura Bay	-0700	0.80	050	0.04	001	0.05	318	0.43	285	0.25	-	-	-	-
5331	Rembang	-0700	0.70	339	0.05	307	0.02	337	0.41	242	0.15	-	-	-	-
5332	Karimun Jawa Road	-0700	0.60	229	0.02	333	0.05	351	0.23	249	0.04	-	-	-	-
5333	Semerang (Tanjung Emas)	-0700	0.60	258	0.10	157	0.08	353	0.22	232	0.08	-	-	-	-
5334	Tegal	-0700	0.60	291	0.09	195	0.10	030	0.21	214	0.05	-	-	-	-
5335	Cirebon	-0700	0.60	304	0.16	177	0.10	048	0.14	155	0.05	-	-	-	-
5337	Pulau Rakit	-0700	0.60	311	0.11	211	0.06	098	0.14	107	0.07	-	-	-	-
5339	Tanjung Priok	-0700	0.60	351	0.05	296	0.05	144	0.25	124	0.13	-	-	-	-
5341	Damar Besar	-0700	0.70	284	0.05	304	0.07	139	0.27	120	0.08	-	-	-	-
5341a	Pulau Pari	-0700	0.60	293	0.02	266	0.03	124	0.22	106	0.12	-	-	-	-
5342	Pulau Pulau Seribu	-0700	0.40	256	0.01	008	0.05	163	0.28	130	0.07	-	-	-	-
5344	Merak Besar	-0700	0.40	205	0.20	280	0.10	171	0.10	145	0.00	-	-	-	-
5345	Tanjung Cikoneng (Fourth Point)	-0700	0.40	202	0.24	278	0.12	225	0.07	208	0.03	-	-	-	-
5346	Labuhan	-0700	0.70	207	0.35	286	0.12	259	0.13	219	0.11	-	-	-	-
5349	Tanjung Layar (First Point)	-0700	0.70	206	0.40	285	0.10	267	0.10	213	0.10	-	-	-	-
5351	Genteng (Westbaai)	-0700	1.00	221	0.37	292	0.19	248	0.12	233	0.07	-	-	-	-
5352	Tjilauteurem	-0700	1.10	227	0.40	297	0.20	262	0.20	243	0.10	-	-	-	-
5353	Cilacap (Tjillatjap)	-0700	1.10	235	0.50	303	0.25	275	0.19	257	0.12	-	-	-	-
5355	Segoro Wedi Bay	-0700	1.20	244	0.50	312	0.20	276	0.20	243	0.20	-	-	-	-
5358	Benyuwangi	-0700	1.60	266	0.49	330	0.24	279	0.24	248	0.13	-	-	-	-
5359	Duiven Island	-0700	1.30	290	0.18	313	0.14	291	0.30	250	0.15	-	-	-	-
5360	Gosong Karangmas	-0700	0.90	301	0.25	316	0.11	297	0.37	255	0.21	-	-	-	-
5362	Karang Koko	-0700	1.35	296	0.43	326	0.25	290	0.46	261	0.22	-	-	-	-
5363	Pasuruan	-0700	1.60	318	0.60	327	0.30	296	0.45	261	0.26	-	-	-	-
5364	Karang Kleta	-0700	1.50	319	0.59	330	0.29	296	0.45	260	0.27	-	-	-	-
5365	Surabaya	-0700	1.59	318	0.35	334	0.21	312	0.47	265	0.26	-	-	-	-
5366	Ujung Pangka	-0700	1.05	111	0.03	357	0.06	318	0.51	264	0.24	-	-	-	-
5367	Karang Jamuang	-0700	1.10	016	0.05	356	0.08	318	0.54	259	0.26	-	-	-	-
5368	Tanjung Modung	-0700	1.05	082	0.02	000	0.06	318	0.52	247	0.24	-	-	-	-
5369	Sembilangan	-0700	1.20	334	0.18	349	0.16	311	0.46	262	0.25	-	-	-	-
5370	Gading	-0700	1.50	322	0.59	330	0.30	300	0.46	254	0.26	-	-	-	-
5372	Kalianget	-0700	1.40	285	0.39	298	0.19	284	0.42	250	0.24	-	-	-	-
5373	Ambunten	-0700	0.60	305	0.05	325	0.08	305	0.31	259	0.11	-	-	-	-
5374	Sapudi	-0700	1.00	312	0.26	317	0.13	297	0.37	259	0.23	-	-	-	-
5375	Pulau Goagoa	-0700	1.00	307	0.25	309	0.15	292	0.40	258	0.22	-	-	-	-
5376	Saubi	-0700	1.10	304	0.26	336	0.14	290	0.27	263	0.17	-	-	-	-
5379	Buleleng	-0800	1.00	336	0.29	358	0.15	316	0.31	264	0.21	-	-	-	-
5380	Teluk Padang	-0800	1.10	316	0.34	352	0.17	303	0.32	269	0.17	-	-	-	-
5381	Sanur	-0800	1.30	291	0.57	348	0.14	328	0.38	263	0.20	-	-	-	-
5382	Benoa	-0800	1.30	289	0.64	352	0.36	300	0.25	279	0.16	133	0.031	320	0.034
5384	Ampenan	-0800	1.10	310	0.16	325	0.19	331	0.32	231	0.15	-	-	-	-
5385	Teluk Labuhantereng	-0800	1.10	308	0.27	317	0.16	284	0.36	264	0.24	-	-	-	-
5386	Tanjung Pandanan	-0800	1.10	300	0.24	354	0.22	292	0.36	276	0.18	-	-	-	-
5389	Sailus Besar	-0800	1.10	006	0.30	067	0.11	295	0.33	274	0.26	-	-	-	-
5390	Sapuka Besar	-0800	1.10	359	0.34	344	0.10	301	0.35	282	0.20	-	-	-	-
5395	Bima	-0800	0.90	003	0.35	055	0.10	304	0.30	256	0.10	-	-	-	-
5396	Teluk Sape	-0800	1.20	348	0.49	038	0.18	288	0.20	269	0.20	-	-	-	-
5397	Teluk Waworada	-0800	1.60	288	0.81	358	0.45	295	0.24	267	0.17	-	-	-	-
5399	Teluk Slawi	-0800	1.80	314	0.69	013	0.30	323	0.21	282	0.17	-	-	-	-
5400	Teluk Sendikari	-0800	1.60	279	0.89	343	0.52	286	0.22	265	0.15	-	-	-	-
5401	Waingapu Road	-0800	1.60	298	0.83	350	0.41	287	0.26	275	0.16	-	-	-	-
5402	Linteh	-0800	1.90	306	0.86	359	0.44	300	0.20	283	0.14	-	-	-	-
5403	Teluk Perapat	-0800	1.90	301	0.89	004	0.48	292	0.23	275	0.19	-	-	-	-
5404	Ende	-0800	1.80	296	0.83	008	0.46	307	0.31	285	0.17	-	-	-	-
5406	Maumere	-0800	1.30	003	0.53	062	0.16	301	0.30	275	0.24	-	-	-	-
5408	Bajo	-0800	1.90	343	0.46	039	0.16	289	0.27	285	0.17	-	-	-	-
5409	Lamakera	-0800	1.40	330	0.58	012	0.30	300	0.28	253	0.16	-	-	-	-
5411	Kabir	-0800	1.30	357	0.53	065	0.21	298	0.25	264	0.24	-	-	-	-
5412	Kalabahi	-0800	1.30	343	0.71	035	0.29	297	0.27	281	0.17	-	-	-	-
# ===== Buchseite 335 -- TIMOR TO BURU ISLAND; MOLUKKEN; HALMAHERA; IRIAN =====
5413	Atapoepoe	-0800	1.30	319	0.56	015	0.31	298	0.21	262	0.15	-	-	-	-
5414	Kupang	-0800	1.10	303	0.46	012	0.26	311	0.16	317	0.10	-	-	-	-
5417	Saenamo	-0900	1.70	352	0.69	074	0.32	317	0.48	272	0.21	-	-	-	-
5418	Dili	-0900	1.35	017	0.57	070	0.20	317	0.28	298	0.17	-	-	-	-
5419	Liran	-0900	1.40	030	0.63	110	0.24	312	0.31	298	0.23	-	-	-	-
5421	Pantai Wonreli	-0900	1.30	003	0.54	096	0.18	319	0.22	097	0.08	-	-	-	-
5424	Teluk Solat	-0900	1.30	032	0.47	105	0.22	322	0.31	285	0.14	-	-	-	-
5425	Tepa Road	-0900	1.30	031	0.57	102	0.19	312	0.13	295	0.12	-	-	-	-
5427	Ritabel Bay	-0900	1.30	051	0.60	105	0.17	332	0.23	318	0.17	-	-	-	-
5428	Barakan	-0900	1.20	106	0.29	188	0.12	068	0.54	006	0.05	-	-	-	-
5429	Dobo	-0900	1.30	042	0.61	121	0.19	326	0.28	307	0.17	-	-	-	-
5430	Bandan Ellat	-0900	1.30	039	0.59	115	0.18	327	0.24	311	0.18	-	-	-	-
5431	Tual	-0900	1.20	036	0.44	111	0.22	327	0.18	323	0.12	-	-	-	-
5432	Tayandu	-0900	1.30	053	0.61	125	0.18	323	0.25	310	0.13	-	-	-	-
5433	Rumah Lusi	-0900	1.30	045	0.57	111	0.21	322	0.32	310	0.20	-	-	-	-
5435	Banda Harbour (Naira)	-0900	1.30	037	0.57	112	0.22	319	0.29	294	0.18	-	-	-	-
5436	Pulau Geser	-0900	1.30	037	0.54	108	0.18	332	0.28	293	0.19	-	-	-	-
5437	Bula Bay	-0900	1.00	054	0.44	148	0.15	309	0.21	295	0.15	-	-	-	-
5438	Taniwel	-0900	0.90	050	0.30	173	0.14	315	0.21	271	0.12	-	-	-	-
5439	Ambon	-0900	1.10	042	0.47	110	0.17	324	0.29	313	0.21	-	-	-	-
5441	Teluk Kayeli	-0900	1.10	029	0.34	127	0.12	315	0.20	278	0.11	-	-	-	-
5442	Teluk Bara	-0900	1.20	035	0.40	115	0.13	318	0.33	293	0.17	-	-	-	-
5443	Teluk Tifu	-0900	1.10	016	0.36	135	0.09	336	0.34	307	0.06	-	-	-	-
5444	Wai Lower	-0900	0.60	071	0.27	147	0.18	290	0.22	269	0.15	-	-	-	-
5445	Laiwui	-0900	0.60	119	0.22	189	0.13	284	0.17	264	0.13	-	-	-	-
5446	Labuha	-0900	0.60	068	0.09	189	0.10	281	0.21	222	0.08	-	-	-	-
5447	Sabatang	-0900	0.70	160	0.22	214	0.17	276	0.19	248	0.15	-	-	-	-
5449	Ternate	-0900	0.90	175	0.27	212	0.22	269	0.14	247	0.10	-	-	-	-
5450	Asmiro	-0900	1.10	190	0.40	239	0.18	243	0.16	214	0.12	-	-	-	-
5452	Teluk Galela	-0900	1.10	186	0.41	225	0.23	225	0.11	193	0.10	-	-	-	-
5453	Kau	-0900	1.20	217	0.56	229	0.26	255	0.29	188	0.18	-	-	-	-
5454	Buli	-0900	0.90	186	0.47	222	0.19	222	0.17	190	0.10	-	-	-	-
5455	Bicholi	-0900	0.90	177	0.42	215	0.20	226	0.15	190	0.16	-	-	-	-
5456	Tepeleu	-0900	0.80	171	0.36	215	0.16	242	0.15	216	0.13	-	-	-	-
5457	Patani	-0900	0.80	148	0.14	203	0.15	273	0.14	214	0.10	-	-	-	-
5459	Teluk Gane	-0900	0.70	114	0.16	177	0.14	285	0.20	277	0.10	-	-	-	-
5460	Teluk Kaja (Hollandia Baai)	-0900	0.70	192	0.25	233	0.04	205	0.21	174	0.13	-	-	-	-
5460a	Jayapura	-0900	0.80	190	0.30	219	0.06	200	0.24	175	0.14	-	-	-	-
5461	Demta Baai	-0900	0.90	193	0.32	233	0.08	207	0.25	182	0.15	-	-	-	-
5463	Sarmi	-0900	1.00	195	0.35	242	0.09	208	0.25	194	0.11	-	-	-	-
5467	Korim	-0900	1.10	189	0.42	229	0.12	208	0.19	186	0.15	-	-	-	-
5468	Mios Wundi	-0900	1.10	190	0.44	211	0.19	225	0.25	188	0.14	-	-	-	-
5469	Korido	-0900	1.30	195	0.55	242	0.23	202	0.24	187	0.15	-	-	-	-
5470	Sorido	-0900	1.10	195	0.48	228	0.16	208	0.20	187	0.15	-	-	-	-
5471	Bosnik	-0900	1.10	193	0.45	230	0.17	216	0.25	179	0.15	-	-	-	-
5472	Yenmanu	-0900	1.10	203	0.44	230	0.16	214	0.20	203	0.12	-	-	-	-
# ===== Buchseite 336 -- IRIAN JAYA =====
5474	Seroei	-0900	1.40	196	0.62	231	0.22	208	0.24	185	0.14	-	-	-	-
5476	Pulau Pulau Moor	-0900	1.20	207	0.54	239	0.24	213	0.21	184	0.14	-	-	-	-
5476a	Nabire	-0900	1.20	197	0.60	239	0.19	213	0.27	188	0.15	-	-	-	-
5477	Kwatisore	-0900	1.20	199	0.61	237	0.21	214	0.20	189	0.13	-	-	-	-
