Ortsname;Bundesstaat/Region;Land;Latitude;Longitude;Zeitzone;Löschgrund
Orange Park, St. Johns River, Florida (3);St. Johns River;Florida;30,1683;-81,6950;-5:00 :America/New_York;US State: Florida
Ortega River Entrance, Florida;;Florida;30,2783;-81,7050;-5:00 :America/New_York;US State: Florida
Ortega River Entrance, Florida (2);;Florida;30,2783;-81,7050;-5:00 :America/New_York;US State: Florida
Ortega River Entrance, Florida (3);;Florida;30,2783;-81,7050;-5:00 :America/New_York;US State: Florida
Ortega River Entrance, Florida (4);;Florida;30,2783;-81,7050;-5:00 :America/New_York;US State: Florida
Oslo, Indian River, Florida;Indian River;Florida;27,5933;-80,3567;-5:00 :America/New_York;US State: Florida
Oyster Point Marina, San Francisco Bay, California;San Francisco Bay;California;37,6650;-122,3767;-08:00 :America/Los_Angeles;US State: California
Oyster Point Marina, San Francisco Bay, California (2);San Francisco Bay;California;37,6667;-122,3833;-08:00 :America/Los_Angeles;US State: California
Oyster Point, California Current;;California Current;37,6650;-122,3233;-08:00 :America/Los_Angeles;US State: California
Ozello North, Crystal Bay, Florida;Crystal Bay;Florida;28,8633;-82,6667;-5:00 :America/New_York;US State: Florida
Ozello, St. Martin's River, Florida;St. Martin's River;Florida;28,8250;-82,6583;-5:00 :America/New_York;US State: Florida
Pablo Creek entrance, St. Johns River, Florida;St. Johns River;Florida;30,3767;-81,4483;-5:00 :America/New_York;US State: Florida
Padre Island (South), Texas;;Texas;26,0683;-97,1567;-06:00 :America/Chicago;US State: Texas
Pago Pago, American Samoa;;American Samoa;-14,2783;-170,6817;-11:00 :Pacific/Pago_Pago;US Territory: American Samoa
Palatka, St. Johns River, Florida;St. Johns River;Florida;29,6433;-81,6317;-5:00 :America/New_York;US State: Florida
Palatka, St. Johns River, Florida (2);St. Johns River;Florida;29,6433;-81,6317;-5:00 :America/New_York;US State: Florida
Palatka, St. Johns River, Florida (3);St. Johns River;Florida;29,6433;-81,6317;-5:00 :America/New_York;US State: Florida
Palatka, St. Johns River, Florida (4);St. Johns River;Florida;29,6433;-81,6317;-5:00 :America/New_York;US State: Florida
Palatka, St. Johns River, Florida (5);St. Johns River;Florida;29,6433;-81,6317;-5:00 :America/New_York;US State: Florida
Palatka, St. Johns River, Florida (6);St. Johns River;Florida;29,6433;-81,6317;-5:00 :America/New_York;US State: Florida
Palm Valley, ICWW, Florida;ICWW;Florida;30,1333;-81,3867;-5:00 :America/New_York;US State: Florida
Palmetto Bluff, St. Johns River, Florida;St. Johns River;Florida;29,7633;-81,5617;-5:00 :America/New_York;US State: Florida
Palmetto Bluff, St. Johns River, Florida (2);St. Johns River;Florida;29,7633;-81,5617;-5:00 :America/New_York;US State: Florida
Palmetto Bluff, St. Johns River, Florida (3);St. Johns River;Florida;29,7633;-81,5617;-5:00 :America/New_York;US State: Florida
Palmetto Bluff, St. Johns River, Florida (4);St. Johns River;Florida;30,7633;-81,5617;-5:00 :America/New_York;US State: Florida
Palmetto Bluff, St. Johns River, Florida (5);St. Johns River;Florida;29,7633;-81,5617;-5:00 :America/New_York;US State: Florida
Palo Alto Yacht Harbor, California;;California;37,4500;-122,1000;-08:00 :America/Los_Angeles;US State: California
Panama City Beach, Florida;;Florida;30,2133;-85,8800;-06:00 :America/Chicago;US State: Florida
Passaic, Passaic River, New Jersey;Passaic River;New Jersey;40,8483;-74,1200;-5:00 :America/New_York;US State: New Jersey
Patos Island, Washington;;Washington;48,7833;-122,9667;-08:00 :America/Los_Angeles;US State: Washington
Peekskill, Hudson River, New York;Hudson River;New York;41,2883;-73,9317;-05:00 :America/New_York;US State: New York
Pensacola, Florida;;Florida;30,4033;-87,2133;-06:00 :America/Chicago;US State: Florida
Philadelphia, Delaware River;;Delaware River;39,9333;-75,1417;-05:00 :America/New_York;US State: Delaware
Philadelphia, Municipal Pier 11, Pennsylvania;Municipal Pier 11;Pennsylvania;39,9517;-75,1350;-05:00 :America/New_York;US State: Pennsylvania
Philadelphia, Pennsylvania;;Pennsylvania;39,9533;-75,1383;-05:00 :America/New_York;US State: Pennsylvania
Philadelphia, Pennsylvania Current;;Pennsylvania Current;39,9500;-75,1333;-05:00 :America/New_York;US State: Pennsylvania
Phoenix Park, Florida;;Florida;30,3833;-81,6367;-5:00 :America/New_York;US State: Florida
Phoenix Park, Florida (2);;Florida;30,3833;-81,6367;-5:00 :America/New_York;US State: Florida
Phoenix Park, Florida (3);;Florida;30,3833;-81,6367;-5:00 :America/New_York;US State: Florida
Phoenix Park, Florida (4);;Florida;30,3833;-81,6367;-5:00 :America/New_York;US State: Florida
Pigeon Key, north side, Florida Bay, Florida;Florida Bay;Florida;24,7050;-81,1567;-05:00 :America/New_York;US State: Florida
Pigeon Key, south side, Hawk Channel, Florida;Hawk Channel;Florida;24,7033;-81,1550;-05:00 :America/New_York;US State: Florida
Piney Point, St. Johns River, Florida;St. Johns River;Florida;30,2283;-81,6633;-5:00 :America/New_York;US State: Florida
Piney Point, St. Johns River, Florida (2);St. Johns River;Florida;30,2283;-81,6633;-5:00 :America/New_York;US State: Florida
Playalinda Beach, Florida;;Florida;28,6500;-80,6000;-5:00 :America/New_York;US State: Florida
Pleasant Bay, Quonset Pont, Massachusetts;Quonset Pont;Massachusetts;41,7367;-69,9817;-05:00 :America/New_York;US State: Massachusetts
Plymouth, Massachusetts;;Massachusetts;41,9600;-70,6633;-05:00 :America/New_York;US State: Massachusetts
Point Judith Harbor of Refuge, Rhode Island;;Rhode Island;41,3633;-71,4900;-05:00 :America/New_York;US State: Rhode Island
Point Lookout, Maryland;;Maryland;38,0400;-76,3233;-5:00 :America/New_York;US State: Maryland
Point Reyes, California;;California;37,9967;-122,9750;-8:00 :America/Los_Angeles;US State: California
Point Reyes, California (2);;California;37,9967;-122,9750;-8:00 :America/Los_Angeles;US State: California
Point Ybel (0.4 Mi. NW of), Florida Current;;Florida Current;26,4567;-82,0183;-5:00 :America/New_York;US State: Florida
Point Ybel, San Carlos Bay Entrance, Florida;San Carlos Bay Entrance;Florida;26,4500;-82,0167;-5:00 :America/New_York;US State: Florida
Pollock Rip Channel, Massachusetts Current;;Massachusetts Current;41,5467;-69,9850;-05:00 :America/New_York;US State: Massachusetts
Ponce de Leon Inlet (inside), Florida;;Florida;29,0633;-80,9150;-5:00 :America/New_York;US State: Florida
Ponquogue Bridge, Shinnecock Bay, Long Island, New York;Long Island;New York;40,8500;-72,5000;-05:00 :America/New_York;US State: New York
Port Angeles, Washington;;Washington;48,1167;-123,4333;-08:00 :America/Los_Angeles;US State: Washington
Port Angeles, Washington (2);;Washington;48,1167;-123,4333;-08:00 :America/Los_Angeles;US State: Washington
Port Aransas, Holiday Beach, Texas;Holiday Beach;Texas;27,8267;-97,0500;-06:00 :America/Chicago;US State: Texas
Port Chicago, Suisun Bay, California;Suisun Bay;California;38,0567;-122,0383;-8:00 :America/Los_Angeles;US State: California
Port Clyde, Maine;;Maine;43,9250;-69,2600;-05:00 :America/New_York;US State: Maine
Port Isabel, Texas;;Texas;26,0600;-97,2150;-6:00 :America/Chicago;US State: Texas
Port Jefferson, Long Island Sound, New York;Long Island Sound;New York;40,9500;-73,0767;-05:00 :America/New_York;US State: New York
Port Lavaca, Matagorda Bay, Texas;Matagorda Bay;Texas;28,6500;-96,5950;-6:00 :America/Chicago;US State: Texas
Port Manatee, Tampa Bay, Florida Current;Tampa Bay;Florida Current;27,6617;-82,6000;-5:00 :America/New_York;US State: Florida
Port O'Connor, Matagorda Bay, Texas;Matagorda Bay;Texas;28,4517;-96,3883;-6:00 :America/Chicago;US State: Texas
Port Orford, Oregon;;Oregon;42,7400;-124,4967;-08:00 :America/Los_Angeles;US State: Oregon
Port San Luis, California;;California;35,1767;-120,7600;-08:00 :America/Los_Angeles;US State: California
Port Townsend, Washington;;Washington;48,1117;-122,7583;-08:00 :America/Los_Angeles;US State: Washington
