Ortsname;Bundesstaat/Region;Land;Latitude;Longitude;Zeitzone;Löschgrund
Abbapoola Creek entrance, Stono River, South Carolina;Stono River;South Carolina;32,6767;-80,0067;-5:00 :America/New_York;US State: South Carolina
Aberdeen, Washington;;Washington;46,9667;-123,8533;-08:00 :America/Los_Angeles;US State: Washington
Aberdeen, Washington (3);;Washington;46,9670;-123,8500;-08:00 :America/Los_Angeles;US State: Washington
Admiralty Inlet, Washington Current;;Washington Current;48,0300;-122,6367;-08:00 :America/Los_Angeles;US State: Washington
Akutan Pass, Aleutian Islands, Alaska Current;Aleutian Islands;Alaska Current;54,0217;-166,0517;-9:00 :America/Anchorage;US State: Alaska
Alameda, San Francisco Bay, California;San Francisco Bay;California;37,7717;-122,2983;-8:00 :America/Los_Angeles;US State: California
Alameda, San Francisco Bay, California (2);San Francisco Bay;California;37,7717;-122,2983;-8:00 :America/Los_Angeles;US State: California
Alameda, San Francisco Bay, California (3);San Francisco Bay;California;37,7717;-122,2983;-08:00 :America/Los_Angeles;US State: California
Albany, New York;;New York;42,6500;-73,7467;-05:00 :America/New_York;US State: New York
Alcatraz (North Point), San Francisco Bay, California Current;San Francisco Bay;California Current;37,8267;-122,4167;-8:00 :America/Los_Angeles;US State: California
Alligator Reef Light, Florida;;Florida;24,8500;-80,6183;-05:00 :America/New_York;US State: Florida
Amelia City, South Amelia River, Florida;South Amelia River;Florida;30,5867;-81,4633;-5:00 :America/New_York;US State: Florida
Amelia City, South Amelia River, Florida (2);South Amelia River;Florida;30,5867;-81,4633;-5:00 :America/New_York;US State: Florida
Anacortes, Guemes Channel, Washington;Guemes Channel;Washington;48,5167;-122,6167;-8:00 :America/Los_Angeles;US State: Washington
Anchorage (Knik Arm), Alaska;;Alaska;61,2383;-149,9167;-09:00 :America/Anchorage;US State: Alaska
Anchorage, Alaska;;Alaska;61,2383;-149,8883;-09:00 :America/Anchorage;US State: Alaska
Annapolis, Maryland;;Maryland;38,9850;-76,4867;-05:00 :America/New_York;US State: Maryland
Apalachicola, Apalachicola Bay, Florida;Apalachicola Bay;Florida;29,7267;-84,9817;-05:00 :America/New_York;US State: Florida
Apalachicola, Apalachicola Bay, Florida (2);Apalachicola Bay;Florida;29,7233;-84,9800;-05:00 :America/New_York;US State: Florida
Aquia Creek, Virginia;;Virginia;38,4183;-77,3533;-05:00 :America/New_York;US State: Virginia
Aransas Channel, Texas;;Texas;27,8383;-97,0517;-06:00 :America/Chicago;US State: Texas
Aransas Pass, Texas Current;;Texas Current;27,8333;-97,0450;-6:00 :America/Chicago;US State: Texas
Arena Cove, California;;California;38,9133;-123,7083;-08:00 :America/Los_Angeles;US State: California
Astoria (Tongue Point), Oregon;;Oregon;46,2083;-123,7667;-08:00 :America/Los_Angeles;US State: Oregon
Astoria (Tongue Point), Oregon (3);;Oregon;46,2080;-123,7670;-08:00 :America/Los_Angeles;US State: Oregon
Atlantic City (Steel Pier), New Jersey;;New Jersey;39,3550;-74,4183;-05:00 :America/New_York;US State: New Jersey
Atlantic City (Steel Pier), New Jersey (3);;New Jersey;39,3550;-74,4183;-05:00 :America/New_York;US State: New Jersey
Avila, California;;California;35,1700;-120,7400;-8:00 :America/Los_Angeles;US State: California
Avon, North Carolina;;North Carolina;35,3467;-75,5000;-05:00 :America/New_York;US State: North Carolina
Bahia Honda Harbor (Bridge) Florida Current;;;24,6567;-81,2883;-5:00 :America/New_York;US Timezone: America/New_York
Bahia Honda Key (Bridge), Florida;;Florida;24,6550;-81,2817;-05:00 :America/New_York;US State: Florida
Bailey's Landing, Okatee Wharf, South Carolina;Okatee Wharf;South Carolina;32,3467;-80,8900;-05:00 :America/New_York;US State: South Carolina
Baltimore (Chesapeake Bay), Maryland;;Maryland;39,1600;-76,3470;-05:00 :America/New_York;US State: Maryland
Baltimore (Fort McHenry), Maryland;;Maryland;39,2667;-76,5783;-05:00 :America/New_York;US State: Maryland
Baltimore Harbor Approach, Maryland Current;;Maryland Current;39,0133;-76,3683;-05:00 :America/New_York;US State: Maryland
Bangor, Penobscot River, Maine;Penobscot River;Maine;44,7950;-68,7717;-05:00 :America/New_York;US State: Maine
Bangor, Washington;;Washington;47,7483;-122,7267;-08:00 :America/Los_Angeles;US State: Washington
Bar Harbor, Frenchman Bay, Maine;Frenchman Bay;Maine;44,3917;-68,2050;-5:00 :America/New_York;US State: Maine
Barnegat Inlet, Barnegat Bay, New Jersey Current;Barnegat Bay;New Jersey Current;39,7667;-74,1167;-05:00 :America/New_York;US State: New Jersey
Bath, Kennebec River, Maine;Kennebec River;Maine;43,9183;-69,8133;-05:00 :America/New_York;US State: Maine
Bay Shore, Watchogue Creek Entrance, Long Island, New York;Long Island;New York;40,7167;-73,2400;-05:00 :America/New_York;US State: New York
Bay St. Louis, Mississippi;;Mississippi;30,3067;-89,3283;-06:00 :America/Chicago;US State: Mississippi
Bay Waveland Yacht Club, Bay St. Louis, Mississippi;Bay St. Louis;Mississippi;30,3250;-89,3250;-06:00 :America/Chicago;US State: Mississippi
Bayonne Bridge, Kill van Kull, New York Current;Kill van Kull;New York Current;40,6417;-74,1433;-05:00 :America/New_York;US State: New York
Bayonne Bridge, Kill van Kull, New York Current (2);Kill van Kull;New York Current;40,6417;-74,1433;-5:00 :America/New_York;US State: New York
Bayonne Bridge, Staten Island, New York;Staten Island;New York;40,6400;-74,1467;-05:00 :America/New_York;US State: New York
Bayou Rigaud, Grand Isle, Mississippi River Delta, Louisiana;Mississippi River Delta;Louisiana;29,2550;-89,9683;-06:00 :America/Chicago;US State: Mississippi
Beaufort, Beaufort River, South Carolina;Beaufort River;South Carolina;32,4333;-80,6667;-05:00 :America/New_York;US State: South Carolina
Beaufort, Duke Marine Lab, North Carolina;Duke Marine Lab;North Carolina;34,7200;-76,6700;-5:00 :America/New_York;US State: North Carolina
Belleville, Passaic River, New Jersey;Passaic River;New Jersey;40,7767;-74,1517;-5:00 :America/New_York;US State: New Jersey
Bellingham, Washington;;Washington;48,7500;-122,5000;-08:00 :America/Los_Angeles;US State: Washington
Bellingham, Washington (2);;Washington;48,7500;-122,5000;-08:00 :America/Los_Angeles;US State: Washington
Benner Bay, St. Thomas, Virgin Islands;St. Thomas;Virgin Islands;18,3200;-64,8700;-4:00 :America/St_Thomas;US Territory: Virgin Islands
Berkeley Yacht Harbor, California Current;;California Current;37,8522;-122,3112;-08:00 :America/Los_Angeles;US State: California
Berkeley, California;;California;37,8667;-122,3000;-08:00 :America/Los_Angeles;US State: California
Big Paradise Island, Wando River, South Carolina;Wando River;South Carolina;32,9150;-79,7467;-05:00 :America/New_York;US State: South Carolina
Black Creek, S.C.L. RR. bridge, Florida;S.C.L. RR. bridge;Florida;30,0800;-81,7617;-5:00 :America/New_York;US State: Florida
Black Creek, S.C.L. RR. bridge, Florida (2);S.C.L. RR. bridge;Florida;30,0800;-81,7617;-5:00 :America/New_York;US State: Florida
Black Creek, S.C.L. RR. bridge, Florida (3);S.C.L. RR. bridge;Florida;30,0800;-81,7617;-5:00 :America/New_York;US State: Florida
Blaine, Semiahmoo Bay, Washington;Semiahmoo Bay;Washington;49,0000;-122,7667;-08:00 :America/Los_Angeles;US State: Washington
Blaine, Semiahmoo Bay, Washington (2);Semiahmoo Bay;Washington;49,0000;-122,7667;-08:00 :America/Los_Angeles;US State: Washington
Block Island (Old Harbor), Rhode Island;;Rhode Island;41,1733;-71,5567;-05:00 :America/New_York;US State: Rhode Island
Bloody Point, Daufuskie Island, New River, South Carolina;New River;South Carolina;32,0833;-80,8833;-05:00 :America/New_York;US State: South Carolina
Blount Island Bridge, St. Johns River, Florida;St. Johns River;Florida;30,4133;-81,5450;-5:00 :America/New_York;US State: Florida
Bluffton, South Carolina;;South Carolina;32,0833;-80,8667;-05:00 :America/New_York;US State: South Carolina
Boca De Cangrejos, Isla Verde, San Juan, Puerto Rico;San Juan;Puerto Rico;18,4600;-65,9933;-4:00 :America/Puerto_Rico;US Territory: Puerto Rico
Boca Grande Channel, Florida Current;;Florida Current;24,5667;-82,0667;-5:00 :America/New_York;US State: Florida
Boca Grande Pass, Charlotte Harbor, Florida Current;Charlotte Harbor;Florida Current;26,7150;-82,2567;-5:00 :America/New_York;US State: Florida
Bolivar Roads, Texas Current;;Texas Current;29,3433;-94,7817;-06:00 :America/Chicago;US State: Texas
Boot Key Harbor, Vaca Key, Florida;Vaca Key;Florida;24,7067;-81,0967;-05:00 :America/New_York;US State: Florida
Boothbay Harbor, Maine;;Maine;43,8500;-69,6283;-05:00 :America/New_York;US State: Maine
Boston Harbor, Massachusetts Current;;Massachusetts Current;42,3383;-70,9567;-05:00 :America/New_York;US State: Massachusetts
Boston, Massachusetts;;Massachusetts;42,3550;-71,0517;-05:00 :America/New_York;US State: Massachusetts
Breakwater Harbor, Delaware;;Delaware;38,7817;-75,1200;-5:00 :America/New_York;US State: Delaware
Bridgeport, Connecticut;;Connecticut;41,1733;-73,1817;-05:00 :America/New_York;US State: Connecticut
Broad Creek, Hilton Head Island, South Carolina;Hilton Head Island;South Carolina;32,1833;-80,7500;-05:00 :America/New_York;US State: South Carolina
Buffalo Bluff, St. Johns River, Florida;St. Johns River;Florida;29,5950;-81,6817;-5:00 :America/New_York;US State: Florida
Buffalo Bluff, St. Johns River, Florida (2);St. Johns River;Florida;29,5950;-81,6817;-5:00 :America/New_York;US State: Florida
Caesar Creek, Biscayne Bay, Florida Current;Biscayne Bay;Florida Current;25,3867;-80,2267;-05:00 :America/New_York;US State: Florida
Calcasieu Pass, Lighthouse wharf, Louisiana;Lighthouse wharf;Louisiana;29,7783;-93,3450;-6:00 :America/Chicago;US State: Louisiana
Cambridge, Choptank River, Maryland;Choptank River;Maryland;38,5733;-76,0683;-5:00 :America/New_York;US State: Maryland
Canaveral Harbor Entrance, Florida;;Florida;28,4083;-80,6017;-5:00 :America/New_York;US State: Florida
Cape Alava, Washington;;Washington;48,1667;-124,7333;-08:00 :America/Los_Angeles;US State: Washington
Cape Alava, Washington (2);;Washington;48,1667;-124,7333;-08:00 :America/Los_Angeles;US State: Washington
Cape Canaveral, Florida;;Florida;28,4333;-80,5667;-05:00 :America/New_York;US State: Florida
Cape Charles Coast Guard Station, Virginia;;Virginia;37,2633;-76,0150;-05:00 :America/New_York;US State: Virginia
Cape Cod Canal (East Entrance), Massachusetts;;Massachusetts;41,7717;-70,5067;-05:00 :America/New_York;US State: Massachusetts
Cape Cod Canal, Buzzards Bay Entrance, Massachusetts;Buzzards Bay Entrance;Massachusetts;41,7417;-70,6183;-05:00 :America/New_York;US State: Massachusetts
Cape Cod Canal, Massachusetts Current;;Massachusetts Current;41,7417;-70,6133;-05:00 :America/New_York;US State: Massachusetts
Cape Hatteras (fishing pier), North Carolina;;North Carolina;35,2233;-75,6350;-5:00 :America/New_York;US State: North Carolina
Cape Hatteras (fishing pier), North Carolina (3);;North Carolina;35,2233;-75,6350;-5:00 :America/New_York;US State: North Carolina
Cape May, ferry terminal, Delaware Bay, New Jersey;Delaware Bay;New Jersey;38,9683;-74,9600;-5:00 :America/New_York;US State: New Jersey
Cape May, ferry terminal, Delaware Bay, New Jersey (2);Delaware Bay;New Jersey;38,9683;-74,9600;-05:00 :America/New_York;US State: New Jersey
Cape Poge, Chappaquiddick Island, Massachusetts;Chappaquiddick Island;Massachusetts;41,4167;-70,4500;-05:00 :America/New_York;US State: Massachusetts
Carquinez Strait, California Current;;California Current;38,0617;-122,2183;-08:00 :America/Los_Angeles;US State: California
Catalina Harbor, California;;California;33,4317;-118,5033;-08:00 :America/Los_Angeles;US State: California
Cedar Heights, Broward River, St. Johns River, Florida;St. Johns River;Florida;30,4367;-81,6417;-5:00 :America/New_York;US State: Florida
Cedar Heights, Broward River, St. Johns River, Florida (2);St. Johns River;Florida;30,4367;-81,6417;-5:00 :America/New_York;US State: Florida
Cedar Key, Way Key, Florida;Way Key;Florida;29,1350;-83,0317;0:00 :America/New_York;US State: Florida
Cedar Point, Maryland;;Maryland;38,2983;-76,3700;-5:00 :America/New_York;US State: Maryland
Cedar Tree Neck, Martha's Vineyard, Massachusetts;Martha's Vineyard;Massachusetts;41,4333;-70,7000;-05:00 :America/New_York;US State: Massachusetts
Channel Key, west side, Florida;west side;Florida;24,6033;-81,7250;-05:00 :America/New_York;US State: Florida
Charles Island, Washington;;Washington;48,4500;-122,9000;-08:00 :America/Los_Angeles;US State: Washington
Charleston Harbor Entrance, South Carolina Current;;South Carolina Current;32,7567;-79,8700;-5:00 :America/New_York;US State: South Carolina
Charleston, Oregon;;Oregon;43,3450;-124,3217;-8:00 :America/Los_Angeles;US State: Oregon
Charleston, South Carolina;;South Carolina;32,7817;-79,9250;-05:00 :America/New_York;US State: South Carolina
Charlestown, Northeast River, Maryland;Northeast River;Maryland;39,5733;-75,9700;-05:00 :America/New_York;US State: Maryland
Charlotte Amalie, St. Thomas, Virgin Islands;St. Thomas;Virgin Islands;18,3350;-64,9183;-4:00 :America/St_Thomas;US Territory: Virgin Islands
Chassahowitzka, Chassahowitzka River, Florida;Chassahowitzka River;Florida;28,7150;-82,5767;-5:00 :America/New_York;US State: Florida
Chatham (inside), Cape Cod, Massachusetts;Cape Cod;Massachusetts;41,6883;-69,9500;-5:00 :America/New_York;US State: Massachusetts
Chatham (outer coast), Cape Cod, Massachusetts;Cape Cod;Massachusetts;41,6667;-69,9333;-5:00 :America/New_York;US State: Massachusetts
Cherry Point, Washington;;Washington;48,8633;-122,7583;-8:00 :America/Los_Angeles;US State: Washington
Chesapeake Bay Bridge-Tunnel, Virginia;;Virginia;36,9667;-76,1133;-5:00 :America/New_York;US State: Virginia
Chesapeake Bay Entrance, Virginia Current;;Virginia Current;36,9800;-75,9983;-05:00 :America/New_York;US State: Virginia
Chesapeake Beach, Maryland;;Maryland;38,6833;-76,5333;-05:00 :America/New_York;US State: Maryland
Chesapeake and Delaware Canal, Maryland/Delaware Current;;Maryland/Delaware Current;39,5333;-75,8167;-05:00 :America/New_York;US Timezone: America/New_York
Chincoteague Channel (south end), Chincoteague Bay, Virginia;Chincoteague Bay;Virginia;37,9067;-75,4050;-5:00 :America/New_York;US State: Virginia
City Island, New York;;New York;40,8500;-73,7833;-05:00 :America/New_York;US State: New York
Clapboard Creek, Pelotes Island, St. Johns River, Florida;St. Johns River;Florida;30,4067;-81,5100;-5:00 :America/New_York;US State: Florida
Clapboard Creek, Pelotes Island, St. Johns River, Florida (2);St. Johns River;Florida;30,4067;-81,5100;-5:00 :America/New_York;US State: Florida
Clapboard Creek, Pelotes Island, St. Johns River, Florida (3);St. Johns River;Florida;30,4067;-81,5100;-5:00 :America/New_York;US State: Florida
Clapboard Creek, Pelotes Island, St. Johns River, Florida (4);St. Johns River;Florida;30,4067;-81,5100;-5:00 :America/New_York;US State: Florida
Clear Lake, Harris Co. Park, Texas;Harris Co. Park;Texas;29,5633;-95,0667;-6:00 :America/Chicago;US State: Texas
Clearwater Beach, Florida;;Florida;27,9767;-82,8317;-05:00 :America/New_York;US State: Florida
Cobb Point Bar Light, Maryland;;Maryland;38,2500;-76,8333;-05:00 :America/New_York;US State: Maryland
Cocodrie, Terrebonne Bay, Louisiana;Terrebonne Bay;Louisiana;29,2450;-90,6617;-06:00 :America/Chicago;US State: Louisiana
Coffin Point, Maine;;Maine;44,8667;-67,1333;-04:00 :America/New_York;US State: Maine
Colonial Beach, Potomac River, Virginia;Potomac River;Virginia;38,2517;-76,9600;-05:00 :America/New_York;US State: Virginia
Constantine Harbor, Amchitka, Alaska;Amchitka;Alaska;51,4083;179,2817;-10:00 :America/Atka;US State: Alaska
Cordova, Alaska;;Alaska;60,5583;-145,7533;-9:00 :America/Anchorage;US State: Alaska
Cornet Bay, Deception Pass, Washington;Deception Pass;Washington;48,3833;-122,6333;-08:00 :America/Los_Angeles;US State: Washington
Corpus Christi, Texas;;Texas;27,5800;-97,2167;-06:00 :America/Chicago;US State: Texas
Corpus Christi, Texas (2) (expired 1999-07-23);;Texas(expired 1999-07-23);27,7933;-97,3900;-6:00 :America/Chicago;US State: Texas
Cove Point (1.1 mi. NE of), Maryland Current;;Maryland Current;38,3817;-76,3600;-5:00 :America/New_York;US State: Maryland
Cove Point, Maryland;;Maryland;38,3850;-76,3817;-5:00 :America/New_York;US State: Maryland
Coyote Point Marina, San Francisco Bay, California;San Francisco Bay;California;37,5917;-122,3133;-8:00 :America/Los_Angeles;US State: California
Coyote Point Marina, San Francisco Bay, California (2);San Francisco Bay;California;37,6000;-122,3167;-08:00 :America/Los_Angeles;US State: California
Crescent Bay, Washington;;Washington;48,1667;-123,7333;-08:00 :America/Los_Angeles;US State: Washington
Crescent Bay, Washington (2);;Washington;48,1667;-123,7333;-08:00 :America/Los_Angeles;US State: Washington
Crescent City, California;;California;41,7450;-124,1833;-08:00 :America/Los_Angeles;US State: California
Cutler, Little River, Maine;Little River;Maine;44,6567;-67,2100;-05:00 :America/New_York;US State: Maine
Cutler, Little River, Maine (2);Little River;Maine;44,6500;-67,2167;-04:00 :America/New_York;US State: Maine
Cuttyhunk Pond entrance, Buzzards Bay, Massachusetts;Buzzards Bay;Massachusetts;41,4250;-70,9167;-5:00 :America/New_York;US State: Massachusetts
Cypremort Point, Louisiana;;Louisiana;29,7117;-91,8783;-6:00 :America/Chicago;US State: Louisiana
Dahlgren, Upper Machodoc Creek, Virginia;Upper Machodoc Creek;Virginia;38,3200;-77,0367;-5:00 :America/New_York;US State: Virginia
Dame Point, Florida;;Florida;30,3867;-81,5583;-5:00 :America/New_York;US State: Florida
Daufuskie Landing, Daufuskie Island, New River, South Carolina;New River;South Carolina;32,1000;-80,9000;-05:00 :America/New_York;US State: South Carolina
Dauphin Island, Alabama;;Alabama;30,2500;-88,0750;-6:00 :America/Chicago;US State: Alabama
Davis Point, California Current;;California Current;38,0620;-122,2767;-08:00 :America/Los_Angeles;US State: California
Daytona Beach (Ocean), Florida;;Florida;29,2283;-81,0050;-05:00 :America/New_York;US State: Florida
Daytona Beach Shores (Sunglow Pier), Florida;;Florida;29,1467;-80,9633;-5:00 :America/New_York;US State: Florida
Daytona Beach Shores (Sunglow Pier), Florida (2);;Florida;29,1467;-80,9633;-5:00 :America/New_York;US State: Florida
Daytona Beach Shores (Sunglow Pier), Florida (3);;Florida;29,1467;-80,9633;-5:00 :America/New_York;US State: Florida
Deception Pass, Washington Current;;Washington Current;48,4000;-122,6333;-08:00 :America/Los_Angeles;US State: Washington
Delaware Bay Entrance, Delaware Current;;Delaware Current;38,7817;-75,0433;-05:00 :America/New_York;US State: Delaware
Denton, Choptank River, Maryland;Choptank River;Maryland;38,8833;-75,8333;-05:00 :America/New_York;US State: Maryland
Dixie Bay, Salt River, Crystal Bay, Florida;Crystal Bay;Florida;28,8817;-82,6350;-5:00 :America/New_York;US State: Florida
Doctors Lake, Peoria Point, Florida;Peoria Point;Florida;30,1200;-81,7583;-5:00 :America/New_York;US State: Florida
Doctors Lake, Peoria Point, Florida (2);Peoria Point;Florida;30,1200;-81,7583;-5:00 :America/New_York;US State: Florida
Doctors Lake, Peoria Point, Florida (3);Peoria Point;Florida;30,1200;-81,7583;-5:00 :America/New_York;US State: Florida
Dublon Island, Chuuk, F.S.M.;Chuuk;F.S.M.;7,3300;151,5800;10:00 :Pacific/Truk;Associated State: F.S.M.
Duck Key, Hawk Channel, Florida;Hawk Channel;Florida;24,7650;-80,9133;-05:00 :America/New_York;US State: Florida
Duck Pier, outside, North Carolina;outside;North Carolina;36,1833;-75,7467;-05:00 :America/New_York;US State: North Carolina
Dumbarton Bridge, San Francisco Bay, California;San Francisco Bay;California;37,5067;-122,1150;-8:00 :America/Los_Angeles;US State: California
Dumbarton Bridge, San Francisco Bay, California (2);San Francisco Bay;California;37,5000;-122,1167;-08:00 :America/Los_Angeles;US State: California
Dumbarton Bridge, San Francisco Bay, California Current;San Francisco Bay;California Current;37,5100;-122,1200;-08:00 :America/Los_Angeles;US State: California
Dutch Harbor, Alaska (expired 1988-12-31);;Alaska (expired 1988-12-31);53,8917;-166,5367;-09:00 :America/Anchorage;US State: Alaska
East Chop, Martha's Vineyard, Massachusetts;Martha's Vineyard;Massachusetts;41,4667;-70,5667;-05:00 :America/New_York;US State: Massachusetts
East Tocoi, St. Johns River, Florida;St. Johns River;Florida;29,8583;-81,5533;-5:00 :America/New_York;US State: Florida
East Tocoi, St. Johns River, Florida (2);St. Johns River;Florida;29,8583;-81,5533;-5:00 :America/New_York;US State: Florida
East Tocoi, St. Johns River, Florida (3);St. Johns River;Florida;29,8583;-81,5533;-5:00 :America/New_York;US State: Florida
Eastern Point Harbor, Frenchman Bay, Maine;Frenchman Bay;Maine;44,4667;-68,1667;-5:00 :America/New_York;US State: Maine
Eastport, Maine;;Maine;44,9033;-66,9850;-05:00 :America/New_York;US State: Maine
Eastport, Maine (3);;Maine;44,9000;-66,9833;-04:00 :America/New_York;US State: Maine
Edgartown, Martha's Vineyard, Massachusetts;Martha's Vineyard;Massachusetts;41,3883;-70,5117;-05:00 :America/New_York;US State: Massachusetts
Elkhorn, California;;California;36,8183;-121,7450;-08:00 :America/Los_Angeles;US State: California
Estus Point, Hagemeister Strait, Alaska;Hagemeister Strait;Alaska;58,8083;-161,1000;-9:00 :America/Anchorage;US State: Alaska
Eureka, Humboldt Bay, California;Humboldt Bay;California;40,8067;-124,1667;-8:00 :America/Los_Angeles;US State: California
Fernandina Beach, Amelia River, Florida;Amelia River;Florida;30,6717;-81,4667;-5:00 :America/New_York;US State: Florida
Fernandina Beach, Amelia River, Florida (2);Amelia River;Florida;30,6717;-81,4667;-5:00 :America/New_York;US State: Florida
Fernandina Beach, Amelia River, Florida (3);Amelia River;Florida;30,6717;-81,4667;-5:00 :America/New_York;US State: Florida
Fernandina Beach, Amelia River, Florida (4);Amelia River;Florida;30,6717;-81,4667;-5:00 :America/New_York;US State: Florida
Fernandina Beach, Amelia River, Florida (5);Amelia River;Florida;30,6717;-81,4667;-5:00 :America/New_York;US State: Florida
Fernandina Beach, Amelia River, Florida (6);Amelia River;Florida;30,6717;-81,4667;-5:00 :America/New_York;US State: Florida
Fernandina Beach, Amelia River, Florida (7);Amelia River;Florida;30,6717;-81,4667;-5:00 :America/New_York;US State: Florida
Fernandina Beach, Amelia River, Florida (8);Amelia River;Florida;30,6717;-81,4667;-5:00 :America/New_York;US State: Florida
Ferndale, Strait of Georgia, Washington;Strait of Georgia;Washington;48,8333;-122,7167;-08:00 :America/Los_Angeles;US State: Washington
Florida Bay (East), Florida;;Florida;24,8367;-80,7667;-05:00 :America/New_York;US State: Florida
Florida Bay (West), Florida;;Florida;24,8400;-80,7800;-05:00 :America/New_York;US State: Florida
Fort George Island, Fort George River, Florida;Fort George River;Florida;30,4400;-81,4383;-5:00 :America/New_York;US State: Florida
Fort George Island, Fort George River, Florida (2);Fort George River;Florida;30,4400;-81,4383;-5:00 :America/New_York;US State: Florida
Fort Myers, Florida;;Florida;26,6467;-81,8717;-05:00 :America/New_York;US State: Florida
Fort Pierce (inside), Indian River, Florida;Indian River;Florida;27,4567;-80,3233;-5:00 :America/New_York;US State: Florida
Freeport Harbor, Texas;;Texas;28,9467;-95,3083;-6:00 :America/Chicago;US State: Texas
Freeport, DOW Barge Canal, Texas;DOW Barge Canal;Texas;28,9483;-95,3083;-06:00 :America/Chicago;US State: Texas
Friday Harbor, San Juan Channel, Washington;San Juan Channel;Washington;48,5500;-123,0000;-08:00 :America/Los_Angeles;US State: Washington
Friday Harbor, San Juan Channel, Washington (2);San Juan Channel;Washington;48,5500;-123,0000;-08:00 :America/Los_Angeles;US State: Washington
Friday Harbor, San Juan Island, Washington;San Juan Island;Washington;48,5467;-123,0100;-08:00 :America/Los_Angeles;US State: Washington
Fulton, St. Johns River, Florida;St. Johns River;Florida;30,3900;-81,5067;-5:00 :America/New_York;US State: Florida
Fulton, St. Johns River, Florida (2);St. Johns River;Florida;30,3900;-81,5067;-5:00 :America/New_York;US State: Florida
Fulton, St. Johns River, Florida (3);St. Johns River;Florida;30,3900;-81,5067;-5:00 :America/New_York;US State: Florida
Fulton, St. Johns River, Florida (4);St. Johns River;Florida;30,3900;-81,5067;-5:00 :America/New_York;US State: Florida
Galveston (Galveston Channel), Texas;;Texas;29,3100;-94,7933;-6:00 :America/Chicago;US State: Texas
Galveston (Galveston Channel), Texas (2) (expired 1993-12-31);;Texas(expired 1993-12-31);29,3133;-94,7867;-06:00 :America/Chicago;US State: Texas
Galveston (Pleasure Pier), Texas;;Texas;29,2867;-94,7900;-06:00 :America/Chicago;US State: Texas
Galveston Bay Entrance, Texas Current;;Texas Current;29,3467;-94,7050;-06:00 :America/Chicago;US State: Texas
Garden Key, Dry Tortugas, Florida;Dry Tortugas;Florida;24,6267;-82,8717;-05:00 :America/New_York;US State: Florida
Garibaldi, Oregon;;Oregon;45,5583;-123,9117;-08:00 :America/Los_Angeles;US State: Oregon
Garnet Point, Maine;;Maine;44,9167;-67,1167;-04:00 :America/New_York;US State: Maine
Gay Head, Martha's Vineyard, Massachusetts;Martha's Vineyard;Massachusetts;41,3533;-70,8300;-05:00 :America/New_York;US State: Massachusetts
General Dynamics Pier, Cooper River, South Carolina;Cooper River;South Carolina;33,0150;-79,9233;-5:00 :America/New_York;US State: South Carolina
George Washington Bridge (Hudson River), New York Current;;New York Current;40,8500;-73,9500;-05:00 :America/New_York;US State: New York
George Washington Bridge, Hudson River, New York;Hudson River;New York;40,8500;-73,9500;-05:00 :America/New_York;US State: New York
Georgetown, St. Johns River, Florida;St. Johns River;Florida;29,3850;-81,6367;-5:00 :America/New_York;US State: Florida
Georgetown, St. Johns River, Florida (2);St. Johns River;Florida;29,3850;-81,6367;-5:00 :America/New_York;US State: Florida
Georgetown, St. Johns River, Florida (3);St. Johns River;Florida;29,3850;-81,6367;-5:00 :America/New_York;US State: Florida
Georgetown, St. Johns River, Florida (4);St. Johns River;Florida;29,3850;-81,6367;-5:00 :America/New_York;US State: Florida
Gibbs Island, Pleasant River, Maine;Pleasant River;Maine;44,5500;-67,7667;-05:00 :America/New_York;US State: Maine
Gingerville Creek, Maryland;;Maryland;38,9583;-76,5550;-05:00 :America/New_York;US State: Maryland
Gloucester Harbor (Ten Pound Island), Massachusetts;;Massachusetts;42,6033;-70,6650;-05:00 :America/New_York;US State: Massachusetts
Gloucester Point, York River, Virginia;York River;Virginia;37,2467;-76,5000;-05:00 :America/New_York;US State: Virginia
Grand Isle, USCG Station, East Point, Louisiana;East Point;Louisiana;29,2633;-89,9567;-6:00 :America/Chicago;US State: Louisiana
Grassy Key (North), Florida;;Florida;24,7667;-80,9333;-05:00 :America/New_York;US State: Florida
Grassy Key, south side, Hawk Channel, Florida;Hawk Channel;Florida;24,7550;-80,9583;-05:00 :America/New_York;US State: Florida
Grays Harbor Entrance, Washington Current;;Washington Current;46,9167;-124,1250;-08:00 :America/Los_Angeles;US State: Washington
Green Cove Springs, St. Johns River, Florida;St. Johns River;Florida;29,9900;-81,6633;-5:00 :America/New_York;US State: Florida
Green Cove Springs, St. Johns River, Florida (2);St. Johns River;Florida;29,9900;-81,6633;-5:00 :America/New_York;US State: Florida
Green Cove Springs, St. Johns River, Florida (3);St. Johns River;Florida;29,9900;-81,6633;-5:00 :America/New_York;US State: Florida
Green Cove Springs, St. Johns River, Florida (4);St. Johns River;Florida;29,9900;-81,6633;-5:00 :America/New_York;US State: Florida
Green Cove Springs, St. Johns River, Florida (5);St. Johns River;Florida;29,9900;-81,6633;-5:00 :America/New_York;US State: Florida
Guam, Marianas;;Marianas;13,3300;144,6600;10:00 :Pacific/Guam;US Territory: Guam
Gulfport, Gulfport Harbor, Mississippi;Gulfport Harbor;Mississippi;30,3600;-89,0817;-6:00 :America/Chicago;US State: Mississippi
